split,rows,active_hours,mean_ic,net_sum_10bps,net_mean_10bps,turnover_mean,gross_exposure_mean,candidate_id,base_candidate_id,object_type,control_mode,production_family,expression,horizon,orientation,base_train_ic_for_orientation,variant_train_ic,net_sum_20bps
recent_oos_2025H2_2026Apr,7296,7296,0.037006578947369105,-0.1052443188544383,-1.4424934053514021e-05,0.06263706140350878,1.0,a7v3_rolling_self_reproduction_12_4ad10b772ccf,a7v3_rolling_self_reproduction_12_4ad10b772ccf,candidate,original,rolling_self_reproduction,"Decay(agg_trade_count_gt_1m,4)",12,1.0,0.07732604486960536,0.07732604486960536,-0.562244318854439
fresh_may_2026,505,480,0.09791666666666723,-0.1979639431369471,-0.00039200780819197443,0.03861386138613861,0.9504950495049505,a7v3_rolling_self_reproduction_12_4ad10b772ccf,a7v3_rolling_self_reproduction_12_4ad10b772ccf,candidate,original,rolling_self_reproduction,"Decay(agg_trade_count_gt_1m,4)",12,1.0,0.07732604486960536,0.07732604486960536,-0.2174639431369471
train_2024,8784,8781,0.022434802414304168,-3.392979622422221,-0.0003862681719515279,0.08435792349726776,0.9996584699453552,a7v3_rolling_self_reproduction_12_4beec949fff2,a7v3_rolling_self_reproduction_12_4beec949fff2,candidate,original,rolling_self_reproduction,"Decay(agg_underlying_trade_count,4)",12,1.0,0.022434802414304168,0.022434802414304168,-4.133979622422221
validation_2025H1,4344,4344,-0.004719152854511372,-1.3091683189750212,-0.0003013739224159809,0.059507366482504605,1.0,a7v3_rolling_self_reproduction_12_4beec949fff2,a7v3_rolling_self_reproduction_12_4beec949fff2,candidate,original,rolling_self_reproduction,"Decay(agg_underlying_trade_count,4)",12,1.0,0.022434802414304168,0.022434802414304168,-1.567668318975021
recent_oos_2025H2_2026Apr,7296,7296,0.04810855263157946,3.0489184901986337,0.00041788904745047065,0.034333881578947366,1.0,a7v3_rolling_self_reproduction_12_4beec949fff2,a7v3_rolling_self_reproduction_12_4beec949fff2,candidate,original,rolling_self_reproduction,"Decay(agg_underlying_trade_count,4)",12,1.0,0.022434802414304168,0.022434802414304168,2.7984184901986335
fresh_may_2026,505,480,-0.02083333333333266,-0.6037654770786246,-0.0011955752021358902,0.02277227722772277,0.9504950495049505,a7v3_rolling_self_reproduction_12_4beec949fff2,a7v3_rolling_self_reproduction_12_4beec949fff2,candidate,original,rolling_self_reproduction,"Decay(agg_underlying_trade_count,4)",12,1.0,0.022434802414304168,0.022434802414304168,-0.6152654770786248
train_2024,8784,8781,0.07037922787837413,3.0200308592140215,0.0003438104347921245,0.09443306010928962,0.9996584699453552,a7v3_rolling_self_reproduction_12_519354de8b22,a7v3_rolling_self_reproduction_12_519354de8b22,candidate,original,rolling_self_reproduction,"Decay(agg_trade_count_1k_10k,4)",12,1.0,0.07037922787837413,0.07037922787837413,2.1905308592140216
validation_2025H1,4344,4344,0.05340699815837999,1.2995232735149274,0.0002991536080835468,0.05179558011049724,1.0,a7v3_rolling_self_reproduction_12_519354de8b22,a7v3_rolling_self_reproduction_12_519354de8b22,candidate,original,rolling_self_reproduction,"Decay(agg_trade_count_1k_10k,4)",12,1.0,0.07037922787837413,0.07037922787837413,1.0745232735149266
recent_oos_2025H2_2026Apr,7296,7296,0.031935307017544504,1.0386660421687521,0.00014236102551655046,0.045572916666666664,1.0,a7v3_rolling_self_reproduction_12_519354de8b22,a7v3_rolling_self_reproduction_12_519354de8b22,candidate,original,rolling_self_reproduction,"Decay(agg_trade_count_1k_10k,4)",12,1.0,0.07037922787837413,0.07037922787837413,0.7061660421687519
fresh_may_2026,505,480,0.07500000000000055,-0.27048309280749,-0.000535610084767307,0.07227722772277227,0.9504950495049505,a7v3_rolling_self_reproduction_12_519354de8b22,a7v3_rolling_self_reproduction_12_519354de8b22,candidate,original,rolling_self_reproduction,"Decay(agg_trade_count_1k_10k,4)",12,1.0,0.07037922787837413,0.07037922787837413,-0.30698309280749003
