stage,count
proposal_attempts,500000
grammar_legal,500000
PIT_unit_pass,500000
exact_unique,261798
numeric_unique,42194
behavior_unique,42409
control_valid,47535
materialization_pass,8192
dynamic_support_pass,7686
standalone_evaluation_pass,16384
incremental_sleeve_pass,8192
adaptive_matched_positive,3
challenge_evaluation_pass,7686
challenge_matched_positive,10
robust_positive,1
cross_seed_reproduced,2
