candidate_id,family_id,split,split_pass_count,median_net_book_return,median_control_ratio
a7ffcore33_000,F1b_taker_flow_market_panel,recent_2026JanApr,3,0.034892727,1.0933621
a7ffcore33_000,F1b_taker_flow_market_panel,test_2025H2,0,0.034889266,2.6236854
a7ffcore33_000,F1b_taker_flow_market_panel,train_2024,1,0.033945538,1.8329455
a7ffcore33_000,F1b_taker_flow_market_panel,validation_2025H1,0,-0.053230025,0.5057776
a7ffcore33_001,F1b_taker_flow_market_panel,recent_2026JanApr,0,0.016864803,2.9298325
a7ffcore33_001,F1b_taker_flow_market_panel,test_2025H2,0,-0.0006005027,111.12366
a7ffcore33_001,F1b_taker_flow_market_panel,validation_2025H1,0,0.00028637436,82.92111
a7ffcore33_002,F2a_basis_funding_independent,recent_2026JanApr,0,0.02323127,3.6203117
a7ffcore33_002,F2a_basis_funding_independent,test_2025H2,0,-0.0034126362,7.8864145
a7ffcore33_002,F2a_basis_funding_independent,validation_2025H1,0,0.0011602431,31.18752
a7ffcore33_003,F2a_basis_funding_independent,recent_2026JanApr,0,0.028590975,4.2875695
a7ffcore33_003,F2a_basis_funding_independent,test_2025H2,1,0.064570904,1.413132
a7ffcore33_003,F2a_basis_funding_independent,train_2024,0,-0.07355357,1.7606075
a7ffcore33_003,F2a_basis_funding_independent,validation_2025H1,0,0.02000714,1.9884429
a7ffcore33_004,F2a_basis_funding_independent,recent_2026JanApr,0,-0.00075023976,53.031548
a7ffcore33_004,F2a_basis_funding_independent,test_2025H2,0,0.012980979,3.3494053
a7ffcore33_004,F2a_basis_funding_independent,validation_2025H1,0,-0.00060073135,26.605362
a7ffcore33_005,F2a_basis_funding_independent,recent_2026JanApr,0,-0.0076453667,3.5630798
a7ffcore33_005,F2a_basis_funding_independent,test_2025H2,0,0.014494281,5.523699
a7ffcore33_005,F2a_basis_funding_independent,train_2024,0,0.041617166,1.7918062
a7ffcore33_005,F2a_basis_funding_independent,validation_2025H1,0,0.044238087,11.378815
a7ffcore33_006,F1b_taker_flow_market_panel,recent_2026JanApr,0,0.0055525023,0.9826523
a7ffcore33_006,F1b_taker_flow_market_panel,test_2025H2,0,-0.07875171,1.4902964
a7ffcore33_006,F1b_taker_flow_market_panel,train_2024,0,0.05572473,1.5417823
a7ffcore33_006,F1b_taker_flow_market_panel,validation_2025H1,0,0.027827658,6.349144
a7ffcore33_007,F1a_aggtrades_flow_microstructure,recent_2026JanApr,0,-0.0006129708,5.2833953
a7ffcore33_007,F1a_aggtrades_flow_microstructure,test_2025H2,2,0.00034718314,4.2821403
a7ffcore33_007,F1a_aggtrades_flow_microstructure,train_2024,0,-0.005176046,4.156652
a7ffcore33_007,F1a_aggtrades_flow_microstructure,validation_2025H1,0,-0.0013340808,2.5010881
a7ffcore33_008,F1a_aggtrades_flow_microstructure,recent_2026JanApr,0,-0.0019856724,1.8501155
a7ffcore33_008,F1a_aggtrades_flow_microstructure,test_2025H2,0,-0.0030019456,1.2420094
a7ffcore33_008,F1a_aggtrades_flow_microstructure,train_2024,1,-0.0026055227,3.2088408
