label_family,cost_tier,rows,unique_blueprints
L0_raw_forward_return,cost5_followup,9,9
L0_raw_forward_return,strict_cost10,11,11
L1_cross_sectional_relative_return,cost5_followup,10,10
L1_cross_sectional_relative_return,strict_cost10,10,10
L3_liquidity_tier_relative_return,cost5_followup,20,20
L5_vol_adjusted_return,strict_cost10,20,20
