cluster_id,excluded_symbol,recent_net_5bp_annualized
crypto_a4_1h_001,ADAUSDT,0.51306747765909
crypto_a4_1h_001,AVAXUSDT,0.4817853366012553
crypto_a4_1h_001,BCHUSDT,0.5856766536852367
crypto_a4_1h_001,BNBUSDT,0.4508614451698356
crypto_a4_1h_001,BTCUSDT,0.46799993719803046
crypto_a4_1h_001,DOGEUSDT,0.369794642521406
crypto_a4_1h_001,ETHUSDT,0.5064242761489817
crypto_a4_1h_001,LINKUSDT,0.6120824628659364
crypto_a4_1h_001,LTCUSDT,0.5969432568534677
crypto_a4_1h_001,SOLUSDT,0.5354906707306677
crypto_a4_1h_001,SUIUSDT,0.5013630783319237
crypto_a4_1h_001,XRPUSDT,0.38484542227620794
crypto_a4_1h_002,ADAUSDT,0.5566400311306876
crypto_a4_1h_002,AVAXUSDT,0.5858671137060295
crypto_a4_1h_002,BCHUSDT,0.5358690492661797
crypto_a4_1h_002,BNBUSDT,0.5057900072831869
crypto_a4_1h_002,BTCUSDT,0.40723406508616306
crypto_a4_1h_002,DOGEUSDT,0.47662277052441876
crypto_a4_1h_002,ETHUSDT,0.4934568598498049
crypto_a4_1h_002,LINKUSDT,0.5869818588210888
crypto_a4_1h_002,LTCUSDT,0.5248360663438458
crypto_a4_1h_002,SOLUSDT,0.5465648932999977
crypto_a4_1h_002,SUIUSDT,0.3854845205323647
crypto_a4_1h_002,XRPUSDT,0.4383492641501455
crypto_a4_1h_003,ADAUSDT,0.4530131427722865
crypto_a4_1h_003,AVAXUSDT,0.5526017721691957
crypto_a4_1h_003,BCHUSDT,0.4474083968524091
crypto_a4_1h_003,BNBUSDT,0.46083986082389766
crypto_a4_1h_003,BTCUSDT,0.3899957510079352
crypto_a4_1h_003,DOGEUSDT,0.33766523863425024
crypto_a4_1h_003,ETHUSDT,0.315897130861552
crypto_a4_1h_003,LINKUSDT,0.7509551409121685
crypto_a4_1h_003,LTCUSDT,0.28947005844608387
crypto_a4_1h_003,SOLUSDT,0.515349133174591
crypto_a4_1h_003,SUIUSDT,0.4366659964905242
crypto_a4_1h_003,XRPUSDT,0.1979968615346691
crypto_a4_1h_004,ADAUSDT,0.35100414122890944
crypto_a4_1h_004,AVAXUSDT,0.35867241887912005
crypto_a4_1h_004,BCHUSDT,0.33956911724959743
crypto_a4_1h_004,BNBUSDT,0.3782016599728963
crypto_a4_1h_004,BTCUSDT,0.3294499608247335
crypto_a4_1h_004,DOGEUSDT,0.31793447982772455
crypto_a4_1h_004,ETHUSDT,0.4123960514256751
crypto_a4_1h_004,LINKUSDT,0.47049643757716164
crypto_a4_1h_004,LTCUSDT,0.33932133002029136
crypto_a4_1h_004,SOLUSDT,0.40700761089073795
crypto_a4_1h_004,SUIUSDT,0.1918948525558038
crypto_a4_1h_004,XRPUSDT,0.17633638039460217
crypto_a4_1h_006,ADAUSDT,0.32923322997943166
crypto_a4_1h_006,AVAXUSDT,0.47609867998480404
crypto_a4_1h_006,BCHUSDT,0.28440746333615285
crypto_a4_1h_006,BNBUSDT,0.29729773170503104
crypto_a4_1h_006,BTCUSDT,0.2674178232984028
crypto_a4_1h_006,DOGEUSDT,0.23552767610606354
crypto_a4_1h_006,ETHUSDT,0.44708200119802505
crypto_a4_1h_006,LINKUSDT,0.4297955339793771
crypto_a4_1h_006,LTCUSDT,0.29050031297635054
crypto_a4_1h_006,SOLUSDT,0.42363534796968005
crypto_a4_1h_006,SUIUSDT,0.23338356575358024
crypto_a4_1h_006,XRPUSDT,0.24948339812045517
crypto_a4_1h_005,ADAUSDT,0.19835951102630783
crypto_a4_1h_005,AVAXUSDT,0.4604937926965469
crypto_a4_1h_005,BCHUSDT,0.12877831150845923
crypto_a4_1h_005,BNBUSDT,0.16869510166637247
crypto_a4_1h_005,BTCUSDT,0.2564230276166493
crypto_a4_1h_005,DOGEUSDT,0.14930007460121694
crypto_a4_1h_005,ETHUSDT,0.3849230810187262
crypto_a4_1h_005,LINKUSDT,0.3048235014161862
crypto_a4_1h_005,LTCUSDT,0.2659697486929109
crypto_a4_1h_005,SOLUSDT,0.3103953402018607
crypto_a4_1h_005,SUIUSDT,0.40484072031254825
crypto_a4_1h_005,XRPUSDT,0.1704666711329562
crypto_a4_1h_008,ADAUSDT,0.22437139047168514
crypto_a4_1h_008,AVAXUSDT,0.16423653518305856
crypto_a4_1h_008,BCHUSDT,0.3805884908749544
crypto_a4_1h_008,BNBUSDT,0.3086374261583146
crypto_a4_1h_008,BTCUSDT,0.2543121929082287
crypto_a4_1h_008,DOGEUSDT,0.31632253083931305
crypto_a4_1h_008,ETHUSDT,0.3719533925480103
crypto_a4_1h_008,LINKUSDT,0.10728024799027565
crypto_a4_1h_008,LTCUSDT,0.192310321433809
crypto_a4_1h_008,SOLUSDT,0.18741601970586097
crypto_a4_1h_008,SUIUSDT,0.23067827293793955
crypto_a4_1h_008,XRPUSDT,0.25492489737411156
crypto_a4_1h_007,ADAUSDT,0.2908215935842648
crypto_a4_1h_007,AVAXUSDT,0.38241387407314675
crypto_a4_1h_007,BCHUSDT,0.19440593111373827
crypto_a4_1h_007,BNBUSDT,0.14318049425673415
crypto_a4_1h_007,BTCUSDT,0.28793037868141425
crypto_a4_1h_007,DOGEUSDT,0.13247781993666505
crypto_a4_1h_007,ETHUSDT,0.2542982337481892
crypto_a4_1h_007,LINKUSDT,0.32923331751806095
crypto_a4_1h_007,LTCUSDT,0.12887327531499834
crypto_a4_1h_007,SOLUSDT,0.3571026753390452
crypto_a4_1h_007,SUIUSDT,0.16480303174320474
crypto_a4_1h_007,XRPUSDT,0.12263207513830122
crypto_a4_5m_001,ADAUSDT,0.21418558061280799
crypto_a4_5m_001,AVAXUSDT,0.25088748624293533
crypto_a4_5m_001,BCHUSDT,0.35431797025672646
crypto_a4_5m_001,BNBUSDT,0.4060765734371116
crypto_a4_5m_001,BTCUSDT,0.4010971432966661
crypto_a4_5m_001,DOGEUSDT,0.38333338692256436
crypto_a4_5m_001,ETHUSDT,0.3824052430955148
crypto_a4_5m_001,LINKUSDT,0.3085404365255052
crypto_a4_5m_001,LTCUSDT,0.428118731130222
crypto_a4_5m_001,SOLUSDT,0.2856289333844648
crypto_a4_5m_001,SUIUSDT,0.4248962659827705
crypto_a4_5m_001,XRPUSDT,0.31976332880500596
