candidate_id,variant,entry_label,split,n_dates,mean_oriented_spread,hourly_tstat_naive,positive_rate,avg_one_way_turnover,avg_top_count,avg_bottom_count,net_mean_spread_2bps,net_mean_spread_5bps,net_mean_spread_10bps,abs_control_spread
a7al2q_1378ff7d2322adee,symbol_shuffle,label_t1_to_t25,known_may2026_stress,575,0.0033988979405398,10.305321289932762,0.6417391304347826,0.0051258581235697,19.0,19.0,0.0033978727689151,0.0033963350114781,0.0033937720824163,0.0033988979405398
a7al2q_1378ff7d2322adee,symbol_shuffle,label_t2_to_t26,known_may2026_stress,574,0.0033757190981998,10.231624966687567,0.6411149825783972,0.0051347881899871,19.0,19.0,0.0033746921405618,0.0033731517041048,0.0033705843100098,0.0033757190981998
a7al2q_f00f22bbcc48dc2c,symbol_shuffle,label_t1_to_t25,known_may2026_stress,575,-0.0021997740007256,-5.2554976342165896,0.4713043478260869,0.0043020594965675,19.0,19.0,-0.0022006344126249,-0.0022019250304739,-0.0022040760602222,0.0021997740007256
a7al2q_1378ff7d2322adee,wrong_lag_future_24h,label_t1_to_t25,known_may2026_stress,575,-0.0021813211262164,-4.389487630858009,0.4956521739130435,0.0052173913043478,19.0,19.0,-0.0021823646044773,-0.0021839298218686,-0.0021865385175208,0.0021813211262164
a7al2q_f00f22bbcc48dc2c,symbol_shuffle,label_t2_to_t26,known_may2026_stress,574,-0.0021808317241846,-5.198704433666412,0.470383275261324,0.0043095543737392,19.0,19.0,-0.0021816936350593,-0.0021829865013714,-0.0021851412785583,0.0021808317241846
a7al2q_d6f7ebc0dbbdda7a,wrong_lag_future_24h,label_t2_to_t26,known_may2026_stress,574,-0.0021396968185982,-4.313205872777147,0.5087108013937283,0.0042178617274894,19.0,19.0,-0.0021405403909437,-0.002141805749462,-0.0021439146803257,0.0021396968185982
a7al2q_d6f7ebc0dbbdda7a,wrong_lag_future_24h,label_t1_to_t25,known_may2026_stress,575,-0.0021288026950483,-4.298830356860529,0.5078260869565218,0.0042105263157894,19.0,19.0,-0.0021296448003115,-0.0021309079582062,-0.0021330132213641,0.0021288026950483
a7al2q_1378ff7d2322adee,wrong_lag_future_24h,label_t2_to_t26,known_may2026_stress,574,-0.0021040283281332,-4.232460319457977,0.4982578397212543,0.0052264808362369,19.0,19.0,-0.0021050736243005,-0.0021066415685514,-0.0021092548089695,0.0021040283281332
a7al2q_f00f22bbcc48dc2c,wrong_lag_future_24h,label_t2_to_t26,known_may2026_stress,574,-0.0020543984839463,-4.101606367136953,0.5069686411149826,0.0043095543737392,19.0,19.0,-0.002055260394821,-0.0020565532611331,-0.00205870803832,0.0020543984839463
a7al2q_f00f22bbcc48dc2c,wrong_lag_future_24h,label_t1_to_t25,known_may2026_stress,575,-0.0020425674032899,-4.086299287380271,0.5060869565217392,0.0043020594965675,19.0,19.0,-0.0020434278151892,-0.0020447184330382,-0.0020468694627865,0.0020425674032899
