blueprint_id,expression,semantic_pair,motif,parse_ok,roundtrip_ok,rendered_expression,error,node_count,max_depth,field_count,operator_count,raw_inputs,operator_path
a7ff55r3_bbbd5285e33d0ad8,open_interest_last,open_interest_like,single,True,True,open_interest_last,,1,1,1,0,open_interest_last,
a7ff55r3_1e3b86a259d800e6,"Delta(open_interest_last,4)",open_interest_like,single,True,True,"Delta(open_interest_last,4)",,3,2,1,1,open_interest_last,Delta
a7ff55r3_975ba475a2fd2db7,"Mean(open_interest_last,4)",open_interest_like,single,True,True,"Mean(open_interest_last,4)",,3,2,1,1,open_interest_last,Mean
a7ff55r3_10367d55d99f826b,"ZScore(Mean(open_interest_last,4))",open_interest_like,single,True,True,"ZScore(Mean(open_interest_last,4))",,4,3,1,2,open_interest_last,ZScore>Mean
a7ff55r3_ee6bbabd05eab8e3,"Delta(open_interest_last,8)",open_interest_like,single,True,True,"Delta(open_interest_last,8)",,3,2,1,1,open_interest_last,Delta
a7ff55r3_cac8e24a9e935b66,"Mean(open_interest_last,8)",open_interest_like,single,True,True,"Mean(open_interest_last,8)",,3,2,1,1,open_interest_last,Mean
a7ff55r3_a5a3fcbe929ec068,"ZScore(Mean(open_interest_last,8))",open_interest_like,single,True,True,"ZScore(Mean(open_interest_last,8))",,4,3,1,2,open_interest_last,ZScore>Mean
a7ff55r3_a381e1136fa161f1,"Delta(open_interest_last,24)",open_interest_like,single,True,True,"Delta(open_interest_last,24)",,3,2,1,1,open_interest_last,Delta
a7ff55r3_f779a6623a3e6b14,"Mean(open_interest_last,24)",open_interest_like,single,True,True,"Mean(open_interest_last,24)",,3,2,1,1,open_interest_last,Mean
a7ff55r3_4497feb0aa82f077,"ZScore(Mean(open_interest_last,24))",open_interest_like,single,True,True,"ZScore(Mean(open_interest_last,24))",,4,3,1,2,open_interest_last,ZScore>Mean
a7ff55r3_f9c3d40b559fdadb,"Delta(open_interest_last,72)",open_interest_like,single,True,True,"Delta(open_interest_last,72)",,3,2,1,1,open_interest_last,Delta
a7ff55r3_05b974fe9b6bf7ab,"Mean(open_interest_last,72)",open_interest_like,single,True,True,"Mean(open_interest_last,72)",,3,2,1,1,open_interest_last,Mean
a7ff55r3_9bcab10e5f535ab9,open_interest_mean,open_interest_like,single,True,True,open_interest_mean,,1,1,1,0,open_interest_mean,
a7ff55r3_31132f2aa9d3db5f,"Delta(open_interest_mean,4)",open_interest_like,single,True,True,"Delta(open_interest_mean,4)",,3,2,1,1,open_interest_mean,Delta
a7ff55r3_ecd01d6f21278257,"Mean(open_interest_mean,4)",open_interest_like,single,True,True,"Mean(open_interest_mean,4)",,3,2,1,1,open_interest_mean,Mean
a7ff55r3_7b59b15010ae9a3b,"ZScore(Mean(open_interest_mean,4))",open_interest_like,single,True,True,"ZScore(Mean(open_interest_mean,4))",,4,3,1,2,open_interest_mean,ZScore>Mean
a7ff55r3_948ad19e998498a3,"Delta(open_interest_mean,8)",open_interest_like,single,True,True,"Delta(open_interest_mean,8)",,3,2,1,1,open_interest_mean,Delta
a7ff55r3_842cef66e3e7a1b8,"Mean(open_interest_mean,8)",open_interest_like,single,True,True,"Mean(open_interest_mean,8)",,3,2,1,1,open_interest_mean,Mean
a7ff55r3_9e63fe3bd75e0bb9,"ZScore(Mean(open_interest_mean,8))",open_interest_like,single,True,True,"ZScore(Mean(open_interest_mean,8))",,4,3,1,2,open_interest_mean,ZScore>Mean
a7ff55r3_5140d6cd7f030778,"Delta(open_interest_mean,24)",open_interest_like,single,True,True,"Delta(open_interest_mean,24)",,3,2,1,1,open_interest_mean,Delta
a7ff55r3_7800852c5b72d5db,"Mean(open_interest_mean,24)",open_interest_like,single,True,True,"Mean(open_interest_mean,24)",,3,2,1,1,open_interest_mean,Mean
a7ff55r3_9b80a93586e6ce86,"ZScore(Mean(open_interest_mean,24))",open_interest_like,single,True,True,"ZScore(Mean(open_interest_mean,24))",,4,3,1,2,open_interest_mean,ZScore>Mean
a7ff55r3_bde93492328da2d9,"Delta(open_interest_mean,72)",open_interest_like,single,True,True,"Delta(open_interest_mean,72)",,3,2,1,1,open_interest_mean,Delta
a7ff55r3_1fd0524c8abf4ff7,"Mean(open_interest_mean,72)",open_interest_like,single,True,True,"Mean(open_interest_mean,72)",,3,2,1,1,open_interest_mean,Mean
a7ff55r3_a47bfb2fe97c1936,open_interest_value_last,open_interest_like,single,True,True,open_interest_value_last,,1,1,1,0,open_interest_value_last,
a7ff55r3_35cb616bcda1bc84,"Delta(open_interest_value_last,4)",open_interest_like,single,True,True,"Delta(open_interest_value_last,4)",,3,2,1,1,open_interest_value_last,Delta
a7ff55r3_ae1fd3daa6ae4135,"Mean(open_interest_value_last,4)",open_interest_like,single,True,True,"Mean(open_interest_value_last,4)",,3,2,1,1,open_interest_value_last,Mean
a7ff55r3_678d34d0b55e09ff,"ZScore(Mean(open_interest_value_last,4))",open_interest_like,single,True,True,"ZScore(Mean(open_interest_value_last,4))",,4,3,1,2,open_interest_value_last,ZScore>Mean
a7ff55r3_708a901a7d2f2e1f,"Delta(open_interest_value_last,8)",open_interest_like,single,True,True,"Delta(open_interest_value_last,8)",,3,2,1,1,open_interest_value_last,Delta
a7ff55r3_539ec0a7a3a4cf5b,"Mean(open_interest_value_last,8)",open_interest_like,single,True,True,"Mean(open_interest_value_last,8)",,3,2,1,1,open_interest_value_last,Mean
a7ff55r3_56959b82f9048f83,"ZScore(Mean(open_interest_value_last,8))",open_interest_like,single,True,True,"ZScore(Mean(open_interest_value_last,8))",,4,3,1,2,open_interest_value_last,ZScore>Mean
a7ff55r3_c3af47ca65fffe08,"Delta(open_interest_value_last,24)",open_interest_like,single,True,True,"Delta(open_interest_value_last,24)",,3,2,1,1,open_interest_value_last,Delta
a7ff55r3_dc34ece992c1849c,"Mean(open_interest_value_last,24)",open_interest_like,single,True,True,"Mean(open_interest_value_last,24)",,3,2,1,1,open_interest_value_last,Mean
a7ff55r3_898fdb95d4298728,"ZScore(Mean(open_interest_value_last,24))",open_interest_like,single,True,True,"ZScore(Mean(open_interest_value_last,24))",,4,3,1,2,open_interest_value_last,ZScore>Mean
a7ff55r3_05396f9438c05592,"Delta(open_interest_value_last,72)",open_interest_like,single,True,True,"Delta(open_interest_value_last,72)",,3,2,1,1,open_interest_value_last,Delta
a7ff55r3_efd43213cb817d27,"Mean(open_interest_value_last,72)",open_interest_like,single,True,True,"Mean(open_interest_value_last,72)",,3,2,1,1,open_interest_value_last,Mean
a7ff55r3_d20e7caaf8a0af7f,open_interest_value_mean,open_interest_like,single,True,True,open_interest_value_mean,,1,1,1,0,open_interest_value_mean,
a7ff55r3_abd178ebba0aa939,"Delta(open_interest_value_mean,4)",open_interest_like,single,True,True,"Delta(open_interest_value_mean,4)",,3,2,1,1,open_interest_value_mean,Delta
a7ff55r3_9a67d110d80cd2fe,"Mean(open_interest_value_mean,4)",open_interest_like,single,True,True,"Mean(open_interest_value_mean,4)",,3,2,1,1,open_interest_value_mean,Mean
a7ff55r3_bed51c39b20888c9,"ZScore(Mean(open_interest_value_mean,4))",open_interest_like,single,True,True,"ZScore(Mean(open_interest_value_mean,4))",,4,3,1,2,open_interest_value_mean,ZScore>Mean
a7ff55r3_ee86c209a3b299db,"Delta(open_interest_value_mean,8)",open_interest_like,single,True,True,"Delta(open_interest_value_mean,8)",,3,2,1,1,open_interest_value_mean,Delta
a7ff55r3_845bacc524c707c7,"Mean(open_interest_value_mean,8)",open_interest_like,single,True,True,"Mean(open_interest_value_mean,8)",,3,2,1,1,open_interest_value_mean,Mean
a7ff55r3_57769e082e31af82,"ZScore(Mean(open_interest_value_mean,8))",open_interest_like,single,True,True,"ZScore(Mean(open_interest_value_mean,8))",,4,3,1,2,open_interest_value_mean,ZScore>Mean
a7ff55r3_c32522ef39297200,"Delta(open_interest_value_mean,24)",open_interest_like,single,True,True,"Delta(open_interest_value_mean,24)",,3,2,1,1,open_interest_value_mean,Delta
a7ff55r3_8a81c56d8c850047,"Mean(open_interest_value_mean,24)",open_interest_like,single,True,True,"Mean(open_interest_value_mean,24)",,3,2,1,1,open_interest_value_mean,Mean
a7ff55r3_b1dc18531a4f6eda,"ZScore(Mean(open_interest_value_mean,24))",open_interest_like,single,True,True,"ZScore(Mean(open_interest_value_mean,24))",,4,3,1,2,open_interest_value_mean,ZScore>Mean
