blueprint_id,node_type,node_value,semantic_pair,motif
a7ff55r3_bbbd5285e33d0ad8,Field,open_interest_last,open_interest_like,single
a7ff55r3_1e3b86a259d800e6,Field,open_interest_last,open_interest_like,single
a7ff55r3_1e3b86a259d800e6,Operator,Delta,open_interest_like,single
a7ff55r3_975ba475a2fd2db7,Field,open_interest_last,open_interest_like,single
a7ff55r3_975ba475a2fd2db7,Operator,Mean,open_interest_like,single
a7ff55r3_10367d55d99f826b,Field,open_interest_last,open_interest_like,single
a7ff55r3_10367d55d99f826b,Operator,ZScore,open_interest_like,single
a7ff55r3_10367d55d99f826b,Operator,Mean,open_interest_like,single
a7ff55r3_ee6bbabd05eab8e3,Field,open_interest_last,open_interest_like,single
a7ff55r3_ee6bbabd05eab8e3,Operator,Delta,open_interest_like,single
a7ff55r3_cac8e24a9e935b66,Field,open_interest_last,open_interest_like,single
a7ff55r3_cac8e24a9e935b66,Operator,Mean,open_interest_like,single
a7ff55r3_a5a3fcbe929ec068,Field,open_interest_last,open_interest_like,single
a7ff55r3_a5a3fcbe929ec068,Operator,ZScore,open_interest_like,single
a7ff55r3_a5a3fcbe929ec068,Operator,Mean,open_interest_like,single
a7ff55r3_a381e1136fa161f1,Field,open_interest_last,open_interest_like,single
a7ff55r3_a381e1136fa161f1,Operator,Delta,open_interest_like,single
a7ff55r3_f779a6623a3e6b14,Field,open_interest_last,open_interest_like,single
a7ff55r3_f779a6623a3e6b14,Operator,Mean,open_interest_like,single
a7ff55r3_4497feb0aa82f077,Field,open_interest_last,open_interest_like,single
a7ff55r3_4497feb0aa82f077,Operator,ZScore,open_interest_like,single
a7ff55r3_4497feb0aa82f077,Operator,Mean,open_interest_like,single
a7ff55r3_f9c3d40b559fdadb,Field,open_interest_last,open_interest_like,single
a7ff55r3_f9c3d40b559fdadb,Operator,Delta,open_interest_like,single
a7ff55r3_05b974fe9b6bf7ab,Field,open_interest_last,open_interest_like,single
a7ff55r3_05b974fe9b6bf7ab,Operator,Mean,open_interest_like,single
a7ff55r3_9bcab10e5f535ab9,Field,open_interest_mean,open_interest_like,single
a7ff55r3_31132f2aa9d3db5f,Field,open_interest_mean,open_interest_like,single
a7ff55r3_31132f2aa9d3db5f,Operator,Delta,open_interest_like,single
a7ff55r3_ecd01d6f21278257,Field,open_interest_mean,open_interest_like,single
a7ff55r3_ecd01d6f21278257,Operator,Mean,open_interest_like,single
a7ff55r3_7b59b15010ae9a3b,Field,open_interest_mean,open_interest_like,single
a7ff55r3_7b59b15010ae9a3b,Operator,ZScore,open_interest_like,single
a7ff55r3_7b59b15010ae9a3b,Operator,Mean,open_interest_like,single
a7ff55r3_948ad19e998498a3,Field,open_interest_mean,open_interest_like,single
a7ff55r3_948ad19e998498a3,Operator,Delta,open_interest_like,single
a7ff55r3_842cef66e3e7a1b8,Field,open_interest_mean,open_interest_like,single
a7ff55r3_842cef66e3e7a1b8,Operator,Mean,open_interest_like,single
a7ff55r3_9e63fe3bd75e0bb9,Field,open_interest_mean,open_interest_like,single
a7ff55r3_9e63fe3bd75e0bb9,Operator,ZScore,open_interest_like,single
a7ff55r3_9e63fe3bd75e0bb9,Operator,Mean,open_interest_like,single
a7ff55r3_5140d6cd7f030778,Field,open_interest_mean,open_interest_like,single
a7ff55r3_5140d6cd7f030778,Operator,Delta,open_interest_like,single
a7ff55r3_7800852c5b72d5db,Field,open_interest_mean,open_interest_like,single
a7ff55r3_7800852c5b72d5db,Operator,Mean,open_interest_like,single
a7ff55r3_9b80a93586e6ce86,Field,open_interest_mean,open_interest_like,single
a7ff55r3_9b80a93586e6ce86,Operator,ZScore,open_interest_like,single
a7ff55r3_9b80a93586e6ce86,Operator,Mean,open_interest_like,single
a7ff55r3_bde93492328da2d9,Field,open_interest_mean,open_interest_like,single
a7ff55r3_bde93492328da2d9,Operator,Delta,open_interest_like,single
a7ff55r3_1fd0524c8abf4ff7,Field,open_interest_mean,open_interest_like,single
a7ff55r3_1fd0524c8abf4ff7,Operator,Mean,open_interest_like,single
a7ff55r3_a47bfb2fe97c1936,Field,open_interest_value_last,open_interest_like,single
a7ff55r3_35cb616bcda1bc84,Field,open_interest_value_last,open_interest_like,single
a7ff55r3_35cb616bcda1bc84,Operator,Delta,open_interest_like,single
a7ff55r3_ae1fd3daa6ae4135,Field,open_interest_value_last,open_interest_like,single
a7ff55r3_ae1fd3daa6ae4135,Operator,Mean,open_interest_like,single
