node_value,field_node_count
taker_buy_quote_volume,3612
open_interest_last,3512
trade_count,1812
open_interest_mean,1112
trade_close,800
trade_return_1h,600
open_interest_value_last,512
trade_low,500
global_long_short_account_ratio_last,500
age_x_volatility,500
global_long_short_account_ratio_mean,500
trade_high,500
top_long_short_account_ratio_last,500
mark_index_basis_bps,400
trade_return_24h,400
mark_high,400
index_close,400
mark_close,400
open_interest_value_mean,312
realized_vol_168h,312
top_long_short_account_ratio_mean,300
mark_low,200
age_x_liquidity,12
log_quote_volume_168h,12
median_quote_volume_168h,12
open_interest_change_24h,12
liquidity_rank_active_universe,12
realized_vol_24h,12
taker_buy_sell_volume_ratio_mean,12
taker_buy_volume,12
taker_buy_sell_volume_ratio_last,12
trade_quote_volume,12
trade_count_168h,12
trade_volume,12
volume_volatility_ratio_168h,12
