field_id,surface_role,prior_max_redundancy_spearman,prior_redundancy_cluster_id,selection_samples,selection_normalized_value_entropy,selection_target_entropy,selection_target_conditional_entropy,selection_target_mutual_information,selection_target_null_q95,selection_target_mi_excess_q95,selection_residual_entropy,selection_residual_conditional_entropy,selection_residual_mutual_information,selection_residual_null_q95,selection_residual_mi_excess_q95,selection_positive_month_ratio,selection_residual_positive_month_ratio,stability_samples,stability_normalized_value_entropy,stability_target_entropy,stability_target_conditional_entropy,stability_target_mutual_information,stability_target_null_q95,stability_target_mi_excess_q95,stability_residual_entropy,stability_residual_conditional_entropy,stability_residual_mutual_information,stability_residual_null_q95,stability_residual_mi_excess_q95,stability_positive_month_ratio,stability_residual_positive_month_ratio,stable_target_information,stable_residual_information
top_global_account_divergence,CONTROL,0.3028220686295717,BROAD_PANEL_BASELINE:top_global_account_divergence,200000,0.8325047902097147,2.672394396271941,2.6705619707843415,0.0018324254875994907,0.004179548729105044,-0.002347123241505553,2.671057045290728,2.6692370214513406,0.0018200238393873667,0.003783585993060108,-0.0019635621536727415,0.0,0.0,200000,0.8057161611693937,2.7606991101528813,2.758269207549852,0.002429902603029409,0.0034589294070016723,-0.0010290268039722635,2.7585876373395686,2.7558410733136425,0.0027465640259260755,0.0033190063496491983,-0.0005724423237231228,0.0,0.0,False,False
mark_trade_basis_bps,CONTROL,0.5460362227940192,BROAD_PANEL_BASELINE:mark_trade_basis_bps,200000,0.9095194703090563,2.672394396271941,2.6680872502331443,0.0043071460387969175,0.004287896187983727,1.9249850813190562e-05,2.671057045290728,2.666667795190594,0.004389250100133746,0.004471633121598824,-8.238302146507809e-05,0.5,0.5,200000,0.8984184654163557,2.7606225260225514,2.7573809763724,0.0032415496501514342,0.0026704669506976736,0.0005710826994537606,2.758537976028192,2.7551039684013388,0.0034340076268535003,0.0027806874745837746,0.0006533201522697257,1.0,1.0,True,False
trade_quote_volume,CONTROL,0.9969492744321894,BROAD_PANEL_BASELINE:taker_buy_quote_volume,200000,0.9604211050385528,2.672394396271941,2.6614142774923972,0.010980118779543838,0.010112658566919725,0.0008674602126241132,2.671057045290728,2.65937735220313,0.011679693087598,0.010637615979232243,0.0010420771083657562,0.5,1.0,200000,0.9990588603805481,2.7605506481668667,2.7474470554195736,0.013103592747293105,0.012061677554512488,0.001041915192780617,2.7584730343242225,2.7448243584571426,0.013648675867079747,0.01245802593207381,0.0011906499350059375,1.0,1.0,True,True
account_position_divergence,CONTROL,0.84163296973608,BROAD_PANEL_BASELINE:account_position_divergence,200000,0.9480879958129784,2.672394396271941,2.6678927682864964,0.004501627985444858,0.00606588703530182,-0.0015642590498569624,2.671057045290728,2.6662079773890244,0.004849067901703527,0.006144688047816732,-0.0012956201461132048,0.0,0.5,200000,0.9901367943492925,2.7606991101528813,2.754751418122904,0.005947692029977167,0.007140051614069972,-0.001192359584092805,2.7585876373395686,2.7518812107812876,0.006706426558280983,0.007524222384311361,-0.0008177958260303783,0.0,0.0,False,False
global_long_short_account_ratio_last,CONTROL,0.9982284046590113,BROAD_PANEL_BASELINE:global_long_short_account_ratio_last,200000,0.8922904299334928,2.672394396271941,2.6677585560202988,0.004635840251642266,0.006764310658450605,-0.002128470406808339,2.671057045290728,2.666025117202747,0.0050319280879808186,0.0070255977657876665,-0.001993669677806848,0.0,0.0,200000,0.9841223380539488,2.7606991101528813,2.7546273216943855,0.0060717884584959286,0.008710537550454518,-0.0026387490919585893,2.7585876373395686,2.751921851255232,0.006665786084336765,0.009102489512704648,-0.002436703428367883,0.0,0.0,False,False
open_interest_value_last,CONTROL,0.9994588535303242,BROAD_PANEL_BASELINE:open_interest_value_last,200000,0.9595813711067859,2.672394396271941,2.667939322590133,0.004455073681808211,0.005470163083399597,-0.0010150894015913863,2.671057045290728,2.6660923712096283,0.004964674081099387,0.005840421016941921,-0.0008757469358425338,0.5,0.5,200000,0.9913697517815854,2.7606991101528813,2.7549257792616344,0.005773330891246981,0.005903146767564005,-0.0001298158763170243,2.7585876373395686,2.7525337802017704,0.006053857137798104,0.006199713884552146,-0.00014585674675404205,0.0,0.0,False,False
open_interest_value_mean,CONTROL,0.9994588535303242,BROAD_PANEL_BASELINE:open_interest_value_last,200000,0.9596458854600514,2.672394396271941,2.667864896540871,0.0045294997310701855,0.005511368588480567,-0.0009818688574103817,2.671057045290728,2.666002654325369,0.005054390965358511,0.0058699553016410486,-0.0008155643362825378,0.5,0.5,200000,0.9913376674726347,2.7606991101528813,2.7549303049224836,0.005768805230397816,0.005929298555828924,-0.00016049332543110768,2.7585876373395686,2.7525542744268963,0.006033362912672133,0.0062123280107501296,-0.0001789650980779968,0.0,0.0,False,False
top_long_short_account_ratio_last,CONTROL,0.9981880579901743,BROAD_PANEL_BASELINE:top_long_short_account_ratio_last,200000,0.8352826539677208,2.672394396271941,2.6677054089262846,0.004688987345656471,0.006797619879259612,-0.002108632533603141,2.671057045290728,2.6661556131274553,0.004901432163272725,0.006983867814008445,-0.00208243565073572,0.0,0.0,200000,0.9486396170893195,2.7606991101528813,2.752720653735235,0.0079784564176465,0.009565846580017535,-0.0015873901623710343,2.7585876373395686,2.749711054054928,0.008876583284640497,0.010436262117733571,-0.0015596788330930738,0.0,0.0,False,False
trade_close,CONTROL,0.9999922742433613,BROAD_PANEL_BASELINE:index_high,200000,0.9673250532012856,2.672394396271941,2.666495646464428,0.005898749807513225,0.005936307636669401,-3.755782915617657e-05,2.671057045290728,2.6644076455692685,0.006649399721459199,0.0067028541283311385,-5.345440687193944e-05,0.0,0.0,200000,0.9812840050160674,2.7605506481668667,2.753916030331865,0.006634617835001988,0.006885858855203537,-0.0002512410202015489,2.7584730343242225,2.7512309513946365,0.007242082929586072,0.007190455509543699,5.162742004237268e-05,0.0,0.0,False,False
top_long_short_position_ratio_last,CONTROL,0.9996422853794301,BROAD_PANEL_BASELINE:top_long_short_position_ratio_last,200000,0.6513129399776248,2.672394396271941,2.670297479972451,0.002096916299490312,0.004348697827772284,-0.002251781528281972,2.671057045290728,2.668681928267448,0.00237511702327971,0.004966476054734986,-0.0025913590314552756,0.0,0.0,200000,0.7942710139582202,2.7606991101528813,2.7592373032358144,0.0014618069170666953,0.0021885533856991664,-0.0007267464686324711,2.7585876373395686,2.7568079976193247,0.0017796397202437986,0.0022525286706764347,-0.0004728889504326361,0.0,0.0,False,False
