seed_id,semantic_pair,operator,operator_origin,expression,materialization_status,rows,non_null_rows,finite_rows,nan_rows,inf_rows,active_rows,non_null_ratio,active_ratio,std,stale_signal,sign_flip_signal,time_shuffle_signal,symbol_shuffle_signal,stale_signal_corr,sign_flip_signal_corr,time_shuffle_signal_corr,symbol_shuffle_signal_corr
a7ffcore48se_0000,basis_premium_like,AbsDelta,repaired_native_proxy,"Abs(Delta(index_close,4))",pass,6949596,6937156,6937156,12440,0,6935738,0.99821,0.998006,45.4731976729,6937156,6937156,6925702,6916136,0.8229218359488898,-1.0,0.5192020638426552,-0.001304477720576642
a7ffcore48se_0001,basis_premium_like,CSRank,native,CSRank(mark_trade_basis_bps),pass,6949596,6946888,6946888,2708,0,6946888,0.99961,0.99961,0.282981677,6946888,6946888,6935434,6925864,0.10858978364510374,-0.9999999999999998,0.07415275569318407,0.002292546735022484
a7ffcore48se_0002,basis_premium_like,Delta,native,"Delta(mark_trade_basis_bps,4)",pass,6949596,6944882,6944882,4714,0,6177599,0.999322,0.888915,45.0772939776,6944882,6944882,6933428,6923862,0.7113693484595378,-0.9999999999999999,-0.021438640022066933,0.0019943760755383394
a7ffcore48se_0003,basis_premium_like,Identity,native,ZScore(index_close),pass,6949596,6939162,6939162,10434,0,6939162,0.998499,0.998499,0.9984840424,6939162,6939162,6927708,6918138,0.9999998102870432,-1.0,0.9999959373744821,-0.003691715854263191
a7ffcore48se_0004,basis_premium_like,SignedRankDelta,repaired_native_proxy,"CSRank(Delta(index_close,4))",pass,6949596,6937156,6937156,12440,0,6937156,0.99821,0.99821,0.2886741853,6937156,6937156,6925702,6916136,0.5861128699900862,-1.0,-0.01390429798001877,0.015747738437052558
a7ffcore48se_0005,basis_premium_like,SpreadShortLong,repaired_native_proxy,"Sub(ZScore(Mean(index_close,4)),ZScore(Mean(index_close,16)))",pass,6949596,6931617,6931617,17979,0,6931616,0.997413,0.997413,0.0012854512,6931617,6931617,6920163,6910608,0.9514478927506275,-1.0,0.1121071742035987,0.004259787696384362
a7ffcore48se_0006,basis_premium_like,WinsorZ,repaired_native_proxy,"Clip(ZScore(Delta(index_close,4)),-3,3)",pass,6949596,6937156,6937156,12440,0,6937156,0.99821,0.99821,0.2408028855,6937156,6937156,6925702,6916136,0.5257580149803401,-1.0,-0.0015705975060812448,0.02889450925516138
a7ffcore48se_0007,basis_premium_like|basis_premium_like,AbsDelta,repaired_native_proxy,"Mul(Abs(Delta(index_close,4)),Sign(Delta(mark_index_basis_bps,4)))",pass,6949596,6934936,6934936,14660,0,6923764,0.997891,0.996283,45.5273056972,6934936,6934936,6923482,6913916,0.19892009329004362,-1.0,0.03270017202635677,7.796061975144249e-05
a7ffcore48se_0008,basis_premium_like|basis_premium_like,CSRank,native,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(premium_close_bps,4)))",pass,6949596,6939954,6939954,9642,0,5466151,0.998613,0.786542,0.5142172824,6939954,6939954,6928500,6918934,0.05135493599825394,-1.0,0.006938127490195978,0.07736240031452012
a7ffcore48se_0009,basis_premium_like|basis_premium_like,Delta,native,"Mul(Delta(mark_trade_basis_bps,4),ZScore(Delta(premium_close_bps,4)))",pass,6949596,6939942,6939942,9654,0,6173649,0.998611,0.888346,703.0999409836,6939942,6939942,6928488,6918922,0.7485513095194172,-0.9999999999999999,0.00026074879528280905,2.386218080920373e-06
a7ffcore48se_0010,basis_premium_like|basis_premium_like,Identity,native,"Mul(ZScore(index_close),Sign(Delta(mark_index_basis_bps,4)))",pass,6949596,6934936,6934936,14660,0,6924957,0.997891,0.996455,0.9987336272,6934936,6934936,6923482,6913916,0.1521948774753487,-0.9999999999999999,0.03411490127640568,-0.0001606226570456449
a7ffcore48se_0011,basis_premium_like|basis_premium_like,SignedRankDelta,repaired_native_proxy,"Mul(CSRank(Delta(index_close,4)),Sign(Delta(mark_index_basis_bps,4)))",pass,6949596,6934936,6934936,14660,0,6924957,0.997891,0.996455,0.578195331,6934936,6934936,6923482,6913916,0.0689589098229545,-1.0,0.003758492341008087,0.06381388046228674
a7ffcore48se_0012,basis_premium_like|basis_premium_like,SpreadShortLong,repaired_native_proxy,"Sub(ZScore(Mean(index_close,4)),ZScore(Mean(mark_index_basis_bps,16)))",pass,6949596,6929364,6929364,20232,0,6929364,0.997089,0.997089,1.4095782568,6929364,6929364,6917910,6908355,0.9969931256332675,-1.0,0.8458865108549187,-0.012027450641624695
a7ffcore48se_0013,basis_premium_like|basis_premium_like,WinsorZ,repaired_native_proxy,"Mul(Clip(ZScore(Delta(index_close,4)),-3,3),Sign(Delta(mark_index_basis_bps,4)))",pass,6949596,6934936,6934936,14660,0,6924957,0.997891,0.996455,0.2408189564,6934936,6934936,6923482,6913916,0.08107299043798781,-0.9999999999999999,0.008624072512493731,0.0024953869836156603
a7ffcore48se_0014,basis_premium_like|funding_like,AbsDelta,repaired_native_proxy,"Mul(Abs(Delta(index_close,4)),Sign(Delta(source_market_funding,4)))",pass,6949596,6937156,6937156,12440,0,24,0.99821,3e-06,5.2565e-06,6937156,6937156,6925702,6916136,0.7555978779855337,-1.0,-3.670171453004801e-07,-3.680851842451e-07
a7ffcore48se_0015,basis_premium_like|funding_like,CSRank,native,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(source_market_funding,4)))",pass,6949596,6944896,6944896,4700,0,14,0.999324,2e-06,0.0009297441,6944896,6944896,6933442,6923876,0.6084733837655817,-1.0,-6.651040539692725e-07,-1.6634912243925671e-06
a7ffcore48se_0016,basis_premium_like|funding_like,Delta,native,"Mul(Delta(mark_trade_basis_bps,4),ZScore(Delta(source_market_funding,4)))",pass,6949596,5133,5133,6944463,0,4749,0.000739,0.000683,0.4200518213,5133,5133,5133,5113,0.015952999586795986,-0.9999999999999999,,0.1478526589806748
a7ffcore48se_0017,basis_premium_like|funding_like,Identity,native,"Mul(ZScore(index_close),Sign(Delta(source_market_funding,4)))",pass,6949596,6937250,6937250,12346,0,26,0.998223,4e-06,0.0001438745,6937250,6937250,6925796,6916230,0.7108100211444364,-1.0,-8.12755818920862e-09,-8.151105589235552e-09
a7ffcore48se_0018,basis_premium_like|funding_like,SignedRankDelta,repaired_native_proxy,"Mul(CSRank(Delta(index_close,4)),Sign(Delta(source_market_funding,4)))",pass,6949596,6937156,6937156,12440,0,24,0.99821,3e-06,0.0010508322,6937156,6937156,6925702,6916136,0.725860126655287,-1.0,-4.2328254909152095e-07,-4.2451432335202673e-07
a7ffcore48se_0019,basis_premium_like|funding_like,SpreadShortLong,repaired_native_proxy,"Sub(ZScore(Mean(index_close,4)),ZScore(Mean(source_market_funding,16)))",pass,6949596,365077,365077,6584519,0,365077,0.052532,0.052532,1.4047625881,365077,365077,365077,363551,0.9999998470841643,-1.0,0.999990248653293,-0.011601064081626051
a7ffcore48se_0020,basis_premium_like|funding_like,WinsorZ,repaired_native_proxy,"Mul(Clip(ZScore(Delta(index_close,4)),-3,3),Sign(Delta(source_market_funding,4)))",pass,6949596,6937156,6937156,12440,0,24,0.99821,3e-06,0.0001484979,6937156,6937156,6925702,6916136,0.3837536167673497,-1.0,-1.8486492357191402e-06,-1.8540289089558663e-06
a7ffcore48se_0021,basis_premium_like|generic_numeric,AbsDelta,repaired_native_proxy,"Mul(Abs(Delta(index_close,4)),Sign(Delta(is_forward_only,4)))",fail_inactive_or_empty,6949596,6937156,6937156,12440,0,0,0.99821,0.0,0.0,6937156,6937156,6925702,6916136,,,,
a7ffcore48se_0022,basis_premium_like|generic_numeric,CSRank,native,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(source_metrics,4)))",pass,6949596,6944896,6944896,4700,0,1562,0.999324,0.000225,0.0086645315,6944896,6944896,6933442,6923876,0.5783383455051487,-1.0,-0.00524301844181247,0.7212980465603667
