seed_id,semantic_pair,operator,stale_risk_tier,metric_rows,clean_label_count,min_control_ratio,median_control_ratio,max_original_spread,median_original_spread,max_original_tstat,clean_label_families,clean_horizons,arbitration_status
a7ffcore48se_1156,funding_like|funding_like,Identity,medium,8,0,1.0341967692268754,1.063260149887404,0.0031761375021908,0.00131371331475575,4.967239116885345,0,0,rejected
a7ffcore48se_0054,basis_premium_like|state_or_taxonomy,SpreadShortLong,high,8,0,1.0,1.0646152978320647,-1.236287759979227e-05,-0.00018197722011329998,-0.6384523862089675,0,0,rejected
a7ffcore48se_0390,funding_like|volatility_like,WinsorZ,medium,8,0,1.0454405646106562,1.065986956385235,0.0015373300811441,0.0010374831189818,4.11774510156238,0,0,rejected
a7ffcore48se_0758,price_like|price_like,AbsDelta,low,8,0,0.9733048398791024,1.0680750892099724,-6.40800693935822e-05,-0.0001038390515431352,-0.4867129174236421,0,0,rejected
a7ffcore48se_1162,funding_like|generic_numeric,Delta,high,8,0,1.0037945173009184,1.0688310403500156,0.0044052651997281,0.00088159404724485,9.187440123296003,0,0,rejected
a7ffcore48se_1560,price_like|price_like,WinsorZ,medium,8,0,1.0041842481968344,1.0702276860461462,-2.01155814496263e-05,-0.0001509629058235,-0.7227972734263005,0,0,rejected
a7ffcore48se_0171,liquidity_like|volatility_like,SignedRankDelta,medium,8,0,0.9993889629156112,1.0702770581832626,-2.9963859987668125e-05,-0.0002389722775204,-1.057760644574777,0,0,rejected
a7ffcore48se_0232,price_like|volatility_like,Delta,low,8,0,1.0,1.0712861195091319,-6.899841248361857e-05,-7.275042697371518e-05,-0.647898551849308,0,0,rejected
a7ffcore48se_0194,positioning_like|price_like,WinsorZ,low,8,0,1.0,1.078308853317175,0.0001160798565873,-3.995675354543838e-05,0.970704624682284,0,0,rejected
a7ffcore48se_0215,price_like,WinsorZ,medium,8,0,0.9802889300871508,1.0828589365581909,0.0001294334879101,-0.00010021829783681262,0.9129054255037684,0,0,rejected
a7ffcore48se_0445,liquidity_like|volatility_like,WinsorZ,medium,8,0,0.9954691627999006,1.0842754011425022,-2.162158141333321e-05,-0.0003114099413743,-0.786788541357993,0,0,rejected
a7ffcore48se_1708,funding_like|price_like,Identity,low,8,0,0.9329228432722528,1.0854987571355825,4.403482248566532e-05,-5.855726551247554e-05,0.3729405909323035,0,0,rejected
