checkpoint_id,cell_id,candidate_decision,count
03,C0128,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
03,C0128,A7O_PILOT_PRE_MAY_NEAR_MISS,1
03,C0128,A7O_PILOT_REJECTED,1
03,C0129,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
03,C0129,A7O_PILOT_PRE_MAY_NEAR_MISS,2
03,C0130,A7O_PILOT_REJECTED,3
03,C0131,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0132,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0133,A7O_PILOT_PRE_MAY_NEAR_MISS,1
03,C0133,A7O_PILOT_REJECTED,1
03,C0133,A7O_PILOT_RESEARCH_CANDIDATE,1
03,C0134,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0135,A7O_PILOT_REJECTED,3
03,C0136,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
03,C0136,A7O_PILOT_PRE_MAY_NEAR_MISS,1
03,C0136,A7O_PILOT_REJECTED,1
03,C0137,A7O_PILOT_REJECTED,2
03,C0137,A7O_PILOT_RESEARCH_CANDIDATE,1
03,C0138,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
03,C0138,A7O_PILOT_PRE_MAY_NEAR_MISS,1
03,C0138,A7O_PILOT_RESEARCH_CANDIDATE,1
03,C0139,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
03,C0139,A7O_PILOT_REJECTED,2
03,C0140,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0141,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
03,C0141,A7O_PILOT_PRE_MAY_NEAR_MISS,2
03,C0142,NEGATIVE_CONTROL,3
03,C0143,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0144,NEGATIVE_CONTROL,3
03,C0145,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0146,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0147,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
03,C0147,A7O_PILOT_RESEARCH_CANDIDATE,1
03,C0148,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0149,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
03,C0149,A7O_PILOT_REJECTED,2
03,C0150,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0151,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0152,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
03,C0152,A7O_PILOT_PRE_MAY_NEAR_MISS,1
03,C0152,A7O_PILOT_REJECTED,1
03,C0153,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
03,C0153,A7O_PILOT_PRE_MAY_NEAR_MISS,1
03,C0153,A7O_PILOT_RESEARCH_CANDIDATE,1
03,C0154,A7O_PILOT_PRE_MAY_NEAR_MISS,1
03,C0154,A7O_PILOT_REJECTED,2
03,C0155,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
03,C0155,A7O_PILOT_PRE_MAY_NEAR_MISS,1
03,C0155,A7O_PILOT_REJECTED,1
03,C0156,NEGATIVE_CONTROL,3
03,C0157,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
03,C0157,A7O_PILOT_PRE_MAY_NEAR_MISS,1
03,C0157,A7O_PILOT_REJECTED,1
03,C0158,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
03,C0158,A7O_PILOT_REJECTED,2
03,C0159,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0160,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0161,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
03,C0161,A7O_PILOT_PRE_MAY_NEAR_MISS,2
03,C0162,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0163,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
03,C0163,A7O_PILOT_REJECTED,2
03,C0164,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
03,C0164,A7O_PILOT_RESEARCH_CANDIDATE,1
03,C0165,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0166,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0167,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0168,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0169,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
03,C0169,A7O_PILOT_RESEARCH_CANDIDATE,2
03,C0170,A7O_PILOT_PRE_MAY_NEAR_MISS,3
03,C0171,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0172,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
03,C0173,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
