seed_lane,second_pass_family,rows,label_family_count,horizon_count,operator_count,left_field_count,right_field_count,lag_ok_count,median_control_ratio
S1_liquidity_basis_positioning,H1_I5_deconcentration,33,3,2,2,4,2,33,0.7187603607278056
S0_positioning_price_basis,H0_I3_deconcentration,31,3,1,2,3,4,31,0.5553186909556819
S3_cross_family_bridge,H3_cross_family_bridge,20,4,4,2,6,3,15,0.8304841155851694
S2_taker_flow_liquidity_oi,H2_I4_near_miss_repair,12,4,3,2,2,6,5,0.7414735845413947
