candidate_id,interval,horizon,motif_family,expression,full_recent_ls,best_low_order_name,best_low_order_expression,best_low_order_recent_ls,marginal_ls,ablation_pass
crypto_a1_1h_1_price_basis_confirmation_a3ece719e014,1h,1,price_basis_confirmation,"Mul(Rank(ret_3),Rank(premium_index))",0.5080448578454824,B,Rank(ret_3),1.0680917897724145,-0.5600469319269321,False
crypto_a1_1h_1_price_basis_confirmation_419b4b2e5a89,1h,1,price_basis_confirmation,"Mul(Rank(ret_24),Rank(premium_index))",0.7853500566862783,B,Rank(ret_24),1.0231961586132576,-0.2378461019269793,False
crypto_a1_1h_1_price_basis_confirmation_cd03f009af21,1h,1,price_basis_confirmation,"Mul(Rank(ret_24),Rank(mark_minus_index))",1.085684092387024,B,Rank(ret_24),1.0231961586132576,0.06248793377376627,True
crypto_a1_1h_1_price_basis_confirmation_e46bae96309e,1h,1,price_basis_confirmation,"Mul(Rank(ret_6),Rank(premium_index))",0.7943118698246583,B,Rank(ret_6),0.9709069490994164,-0.17659507927475815,False
crypto_a1_1h_1_price_basis_confirmation_bdae62c87774,1h,1,price_basis_confirmation,"Mul(Rank(ret_6),Rank(mark_minus_index))",0.986069301059528,B,Rank(ret_6),0.9709069490994164,0.015162351960111509,True
crypto_a1_1h_1_price_funding_state_1281e210fe56,1h,1,price_funding_state,"Mul(Rank(ret_3),ZScore(latest_known_funding_rate))",0.8480686090379798,B,Rank(ret_3),1.0680917897724145,-0.22002318073443472,False
crypto_a1_1h_1_price_funding_state_454007b64299,1h,1,price_funding_state,"Mul(Rank(ret_3),ZScore(funding_rate_persistence_3))",0.6791266862308477,B,Rank(ret_3),1.0680917897724145,-0.38896510354156677,False
crypto_a1_1h_1_price_funding_state_15ee2a8dd6cf,1h,1,price_funding_state,"Mul(Rank(ret_24),ZScore(latest_known_funding_rate))",0.7239318853695264,B,Rank(ret_24),1.0231961586132576,-0.2992642732437313,False
crypto_a1_1h_1_price_funding_state_8527c10ad952,1h,1,price_funding_state,"Mul(Rank(ret_24),ZScore(funding_rate_persistence_3))",0.6185215888173079,B,Rank(ret_24),1.0231961586132576,-0.40467456979594973,False
crypto_a1_1h_1_price_funding_state_3410f1bc0853,1h,1,price_funding_state,"Mul(Rank(ret_6),ZScore(latest_known_funding_rate))",0.93081266458303,B,Rank(ret_6),0.9709069490994164,-0.040094284516386414,False
crypto_a1_1h_1_price_funding_state_23dc0eed885a,1h,1,price_funding_state,"Mul(Rank(ret_6),ZScore(funding_rate_persistence_3))",0.9319209289225948,B,Rank(ret_6),0.9709069490994164,-0.03898602017682162,False
crypto_a1_1h_1_basis_funding_state_22dbf13869c1,1h,1,basis_funding_state,"Mul(Rank(premium_index),ZScore(funding_rate_persistence_3))",0.664855388086128,B,Rank(premium_index),0.2504172255134756,0.41443816257265237,True
crypto_a1_1h_1_basis_funding_state_34d2888cadd0,1h,1,basis_funding_state,"Mul(Rank(mark_minus_index),ZScore(latest_known_funding_rate))",0.8104380922728335,B,Rank(mark_minus_index),0.204039249299215,0.6063988429736185,True
crypto_a1_1h_1_basis_funding_state_bcb9a54219dd,1h,1,basis_funding_state,"Mul(Rank(mark_minus_index),ZScore(funding_rate_persistence_3))",0.7740381541890188,B,Rank(mark_minus_index),0.204039249299215,0.5699989048898038,True
crypto_a1_1h_1_momentum_volatility_state_a7e28ba60f6c,1h,1,momentum_volatility_state,"Mul(Rank(ret_3),ZScore(realized_vol_12))",0.3457025054542896,B,Rank(ret_3),1.0680917897724145,-0.7223892843181249,False
crypto_a1_1h_1_momentum_volatility_state_cf6bee74a8a0,1h,1,momentum_volatility_state,"Mul(Rank(ret_24),ZScore(realized_vol_6))",0.7226497941989962,B,Rank(ret_24),1.0231961586132576,-0.3005463644142614,False
crypto_a1_1h_1_momentum_volatility_state_e668b5eab14d,1h,1,momentum_volatility_state,"Mul(Rank(ret_24),ZScore(realized_vol_12))",0.5580968880378118,B,Rank(ret_24),1.0231961586132576,-0.46509927057544587,False
crypto_a1_1h_3_price_basis_confirmation_38918c5ce65c,1h,3,price_basis_confirmation,"Mul(Rank(ret_24),Rank(mark_index_ratio))",0.7185297081579558,B,Rank(ret_24),0.8377866390262959,-0.1192569308683401,False
crypto_a1_1h_3_price_basis_confirmation_86ebbc21172b,1h,3,price_basis_confirmation,"Mul(Rank(ret_3),Rank(mark_index_ratio))",0.4832130643879289,B,Rank(ret_3),0.7848114161086794,-0.30159835172075056,False
crypto_a1_1h_3_price_basis_confirmation_e214c9f23d7a,1h,3,price_basis_confirmation,"Mul(Rank(ret_12),Rank(mark_minus_index))",0.6354677995609327,B,Rank(ret_12),0.4463116068036568,0.1891561927572759,True
crypto_a1_1h_3_price_basis_confirmation_e7abe58d387b,1h,3,price_basis_confirmation,"Mul(Rank(ret_12),Rank(mark_index_ratio))",0.4941189632522701,B,Rank(ret_12),0.4463116068036568,0.047807356448613336,True
