candidate_id,cluster_id,interval,horizon,expression,placebo,ls_annualized,mean_ic,turnover_mean
crypto_a1_1h_6_price_funding_state_9a00b8ca89fa,crypto_a3_1h_001,1h,6,"Mul(Rank(ret_12),ZScore(latest_known_funding_rate))",original,0.7496942905955591,0.031033062639542783,0.3289467671921407
crypto_a1_1h_6_price_funding_state_9a00b8ca89fa,crypto_a3_1h_001,1h,6,"Mul(Rank(ret_12),ZScore(latest_known_funding_rate))",sign_flip,-0.7496942905955591,-0.031033062639542783,0.3289467671921407
crypto_a1_1h_6_price_funding_state_9a00b8ca89fa,crypto_a3_1h_001,1h,6,"Mul(Rank(ret_12),ZScore(latest_known_funding_rate))",label_shuffle,-0.08957731748480577,0.0017229531632425674,0.32922092757596527
crypto_a1_1h_6_price_funding_state_9a00b8ca89fa,crypto_a3_1h_001,1h,6,"Mul(Rank(ret_12),ZScore(latest_known_funding_rate))",time_shift,-3.3054098952560107,-0.09114453423094392,0.3289467671921407
crypto_a1_1h_6_price_funding_state_9a00b8ca89fa,crypto_a3_1h_001,1h,6,"Mul(Rank(ret_12),ZScore(latest_known_funding_rate))",symbol_shuffle,0.2303522149667545,0.0010223145535011937,0.3289467671921407
crypto_a1_1h_6_price_funding_state_9a00b8ca89fa,crypto_a3_1h_001,1h,6,"Mul(Rank(ret_12),ZScore(latest_known_funding_rate))",wrong_lag_funding_future_shift,-0.47861309590226425,0.002555014393620083,0.3299063285355266
crypto_a1_1h_6_basis_funding_state_1713bf7671e4,crypto_a3_1h_002,1h,6,"Mul(Rank(mark_index_ratio),ZScore(latest_known_funding_rate))",original,0.7046233564574574,0.025721168427405763,0.5342928946767191
crypto_a1_1h_6_basis_funding_state_1713bf7671e4,crypto_a3_1h_002,1h,6,"Mul(Rank(mark_index_ratio),ZScore(latest_known_funding_rate))",sign_flip,-0.7046233564574574,-0.025721168427405763,0.5342928946767191
crypto_a1_1h_6_basis_funding_state_1713bf7671e4,crypto_a3_1h_002,1h,6,"Mul(Rank(mark_index_ratio),ZScore(latest_known_funding_rate))",label_shuffle,0.04856029629800671,0.0041147877818995034,0.5349326022389764
crypto_a1_1h_6_basis_funding_state_1713bf7671e4,crypto_a3_1h_002,1h,6,"Mul(Rank(mark_index_ratio),ZScore(latest_known_funding_rate))",time_shift,-3.340011144145368,-0.0939000688090551,0.5346127484578478
crypto_a1_1h_6_basis_funding_state_1713bf7671e4,crypto_a3_1h_002,1h,6,"Mul(Rank(mark_index_ratio),ZScore(latest_known_funding_rate))",symbol_shuffle,-0.19236311116415508,-0.007812631795769064,0.5342928946767191
crypto_a1_1h_6_basis_funding_state_1713bf7671e4,crypto_a3_1h_002,1h,6,"Mul(Rank(mark_index_ratio),ZScore(latest_known_funding_rate))",basis_shuffle,0.6299007571256144,0.024857751840226747,0.6861320539182088
crypto_a1_1h_6_basis_funding_state_1713bf7671e4,crypto_a3_1h_002,1h,6,"Mul(Rank(mark_index_ratio),ZScore(latest_known_funding_rate))",wrong_lag_funding_future_shift,-0.38874018287343653,-0.001862955225514379,0.5431117203564085
