authorizes_alpha_proof,authorizes_shadow_paper_live,candidate_count,control_clean_positive_rows,decision,eval_failure_count,executes_replay,executes_search,generated_at,metric_rows,shard_id,stage,manifest_path
False,False,24,20,PASS_A7FFCORE51PXE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-02T05:22:35Z,192,core51px_shard_00,A7FF-CORE51PXE-SHARD,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore51px_company_sharded_replay_20260602/core51px_shard_00_manifest.json
False,False,24,4,PASS_A7FFCORE51PXE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-02T05:53:30Z,192,core51px_shard_01,A7FF-CORE51PXE-SHARD,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore51px_company_sharded_replay_20260602/core51px_shard_01_manifest.json
False,False,24,8,PASS_A7FFCORE51PXE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-02T05:55:39Z,192,core51px_shard_02,A7FF-CORE51PXE-SHARD,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore51px_company_sharded_replay_20260602/core51px_shard_02_manifest.json
False,False,24,0,PASS_A7FFCORE51PXE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-02T06:14:37Z,192,core51px_shard_03,A7FF-CORE51PXE-SHARD,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore51px_company_sharded_replay_20260602/core51px_shard_03_manifest.json
False,False,24,8,PASS_A7FFCORE51PXE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-02T06:16:23Z,192,core51px_shard_04,A7FF-CORE51PXE-SHARD,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore51px_company_sharded_replay_20260602/core51px_shard_04_manifest.json
False,False,24,14,PASS_A7FFCORE51PXE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-02T06:31:38Z,192,core51px_shard_05,A7FF-CORE51PXE-SHARD,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore51px_company_sharded_replay_20260602/core51px_shard_05_manifest.json
False,False,24,4,PASS_A7FFCORE51PXE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-02T06:33:28Z,192,core51px_shard_06,A7FF-CORE51PXE-SHARD,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore51px_company_sharded_replay_20260602/core51px_shard_06_manifest.json
False,False,24,6,PASS_A7FFCORE51PXE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-02T06:51:34Z,192,core51px_shard_07,A7FF-CORE51PXE-SHARD,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore51px_company_sharded_replay_20260602/core51px_shard_07_manifest.json
False,False,24,2,PASS_A7FFCORE51PXE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-02T06:57:10Z,192,core51px_shard_08,A7FF-CORE51PXE-SHARD,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore51px_company_sharded_replay_20260602/core51px_shard_08_manifest.json
False,False,24,6,PASS_A7FFCORE51PXE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-02T07:50:33Z,192,core51px_shard_09,A7FF-CORE51PXE-SHARD,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore51px_company_sharded_replay_20260602/core51px_shard_09_manifest.json
False,False,24,8,PASS_A7FFCORE51PXE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-02T08:17:31Z,192,core51px_shard_10,A7FF-CORE51PXE-SHARD,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore51px_company_sharded_replay_20260602/core51px_shard_10_manifest.json
False,False,24,0,PASS_A7FFCORE51PXE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-02T08:51:31Z,192,core51px_shard_11,A7FF-CORE51PXE-SHARD,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore51px_company_sharded_replay_20260602/core51px_shard_11_manifest.json
False,False,24,12,PASS_A7FFCORE51PXE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-02T08:58:38Z,192,core51px_shard_12,A7FF-CORE51PXE-SHARD,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore51px_company_sharded_replay_20260602/core51px_shard_12_manifest.json
False,False,24,4,PASS_A7FFCORE51PXE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-02T09:23:27Z,192,core51px_shard_13,A7FF-CORE51PXE-SHARD,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore51px_company_sharded_replay_20260602/core51px_shard_13_manifest.json
False,False,24,6,PASS_A7FFCORE51PXE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-02T09:27:42Z,192,core51px_shard_14,A7FF-CORE51PXE-SHARD,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore51px_company_sharded_replay_20260602/core51px_shard_14_manifest.json
False,False,24,6,PASS_A7FFCORE51PXE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-02T09:37:37Z,192,core51px_shard_15,A7FF-CORE51PXE-SHARD,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore51px_company_sharded_replay_20260602/core51px_shard_15_manifest.json
