blueprint_id,a7ls_arm,semantic_pair,motif,skeleton_key,production_key,expression,eval_success,finite_share,nonzero_share,activity_ok,min_value,max_value,std_value,error
a7ls1_007ce202819cdc1b,A7LS_B,basis_premium_like,gated_sign,skel_bcb165b7818f5d85,prod_ff081278678eb75a,"Mul(ZScore(Mean(mark_index_basis_bps,1)),Sign(Delta(mark_trade_basis_bps,8)))",True,0.0,0.0,False,,,,
a7ls1_014982cbad294356,A7LS_B,funding_state_like,single,skel_a311ee3fdacdeca2,prod_652cc8c1b514e638,"ZScore(Mean(funding_rate_state_last_ffill_8h,4))",True,0.970359690844233,1.0,True,-9.694923057650481,9.402262572924407,0.9947718249866067,
a7ls1_037f284752d59522,A7LS_B,liquidity_like,single,skel_1d39996e97d5ace0,prod_9ebf45c2090c952f,"Delta(liquidity_rank_active_universe,72)",True,0.9662386048355133,0.9564077741588797,True,-0.3579545454545454,0.7919431369213029,0.054830979951409904,
a7ls1_00d328fa70ee3bcd,A7LS_B,listing_age_like,single,skel_ca36cd3eaf5a3a94,prod_008a40f55c0a55fa,log1p_listing_age_days,True,0.9707570352754658,0.9999510048096946,True,0.0,6.747537621095109,0.97325262084243,
a7ls1_02aad91061013f37,A7LS_B,open_interest_like,gated_sign,skel_3afee12eb6a9078f,prod_f82dc1f41c57deaf,"Mul(Mean(open_interest_last,4),Sign(Mean(open_interest_mean,72)))",True,0.9976298057867617,1.0,True,20826.34675000608,667260633161.75,21697368319.34019,
a7ls1_0253110c6a54a5a9,A7LS_B,positioning_like,single,skel_a311ee3fdacdeca2,prod_988761e5769be101,"ZScore(Mean(top_long_short_position_ratio_last,1))",True,0.0,0.0,False,,,,
a7ls1_00797bc960399e92,A7LS_B,price_like,gated_sign,skel_af8c1327eb17d836,prod_e7be2b254c65090c,"Mul(ZScore(Mean(trade_close,1)),Sign(ZScore(Mean(mark_close,72))))",True,0.0,0.0,False,,,,
a7ls1_03cf2b05f397b140,A7LS_B,regime_state,single,skel_a311ee3fdacdeca2,prod_efc94d473d596712,"ZScore(Mean(volatility_state,168))",True,0.0,0.0,False,,,,
a7ls1_0505f8e5976928b3,A7LS_B,taker_flow_like,single,skel_8a3e91f81074ce44,prod_d9735e30fdc33718,"Clip(ZScore(taker_buy_sell_volume_ratio_last),-3,3)",True,0.9988664288545382,1.0,True,-3.5160706550222893,5.0,0.9019312941966047,
a7ls1_019e2a6b6db8919f,A7LS_B,volatility_like,single,skel_ca36cd3eaf5a3a94,prod_7e37c60401997d11,realized_vol_72h,True,0.9696155370590567,1.0,True,0.0011888041151431892,0.14302637401320442,0.0054322550537005704,
a7ls1_00a968d7bc7f42bd,A7LS_B,basis_premium_like,gated_sign,skel_3afee12eb6a9078f,prod_b8894d1035954f44,"Mul(Delta(mark_index_basis_bps,1),Sign(Mean(mark_trade_basis_bps,72)))",True,0.9974742370194213,0.9989917061623145,True,-2248.424744016522,1862.7352586359634,11.416051141590456,
a7ls1_048d51e647b93668,A7LS_B,funding_state_like,single,skel_a311ee3fdacdeca2,prod_945d1cae2122f367,"ZScore(Mean(funding_rate_abs_state_168h_z,4))",True,0.9274895957193817,1.0,True,-8.858542460337066,8.960620620964026,0.9945421276813381,
a7ls1_062c77b2051aea47,A7LS_B,liquidity_like,single,skel_a311ee3fdacdeca2,prod_eba655eb1eca3a28,"ZScore(Mean(trade_quote_volume,8))",True,0.9989615537059057,1.0,True,-0.37882444471619986,9.495302053164238,0.9947745838105245,
a7ls1_092cbb5fb1f84b67,A7LS_B,listing_age_like,single,skel_1d39996e97d5ace0,prod_c4293809f5296876,"Mean(age_percentile_active_universe,72)",True,0.9719460959175584,1.0,True,0.0054644808743169425,0.824297188755736,0.11663940890741481,
a7ls1_02df38be29aa0e16,A7LS_B,open_interest_like,gated_sign,skel_bcb165b7818f5d85,prod_3a9bda1ac10477b8,"Mul(ZScore(Mean(open_interest_last,1)),Sign(Mean(open_interest_mean,8)))",True,0.0,0.0,False,,,,
a7ls1_03be3bce2adc8ed1,A7LS_B,positioning_like,single,skel_a311ee3fdacdeca2,prod_82ee2818579be696,"ZScore(Mean(top_long_short_account_ratio_last,72))",True,0.99824811732065,1.0,True,-2.8416204032727013,5.70789678310325,0.9947745813460014,
a7ls1_015e068a707cc50e,A7LS_B,price_like,gated_sign,skel_af8c1327eb17d836,prod_3944def859a968a7,"Mul(ZScore(Mean(trade_close,4)),Sign(ZScore(Mean(mark_close,72))))",True,0.9982005548949663,1.0,True,-0.006516155096606613,9.694064495754644,0.9729570643027106,
a7ls1_0562aa706de3c784,A7LS_B,regime_state,single,skel_1d39996e97d5ace0,prod_afeeab7e7f3d0e24,"Delta(funding_abs_state,168)",True,0.0,0.0,False,,,,
a7ls1_0991f6b92f1c214e,A7LS_B,taker_flow_like,single,skel_a311ee3fdacdeca2,prod_4b84947b1dc71196,"ZScore(Mean(kline_taker_buy_quote_share,24))",True,0.9970590566785573,1.0,True,-6.1499203856224005,6.617558353168607,0.994774577230625,
a7ls1_048ef43969c2334e,A7LS_B,volatility_like,single,skel_a311ee3fdacdeca2,prod_60e128e54a4958f7,"ZScore(Mean(realized_vol_24h,4))",True,0.9700435988902101,1.0,True,-4.897626803054276,9.6209524714699,0.9947744810106707,
