a7ls_arm,arm_name,search_role,level,candidate_role,generation_priority,semantic_pair,motif,primary_field,secondary_field,primary_semantic,secondary_semantic,primary_transform,secondary_transform,modifier_guard_required,expression,skeleton_key,production_key,blueprint_id,in_materialization_queue,in_company_numeric_wave_queue,materialization_shard,checkpoint_key
A7LS_B,raw_multi_axis_discovery,raw_discovery,L2_raw_multi_axis_interaction,role_mixed_allowed,P0,basis_premium_like,gated_sign,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,zmean_1h,delta_8h,False,"Mul(ZScore(Mean(mark_index_basis_bps,1)),Sign(Delta(mark_trade_basis_bps,8)))",skel_bcb165b7818f5d85,prod_ff081278678eb75a,a7ls1_007ce202819cdc1b,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_007ce202819cdc1b
A7LS_B,raw_multi_axis_discovery,raw_discovery,L1_single_axis_raw_transform,ordinary_alpha_probe,P0,funding_state_like,single,funding_rate_state_last_ffill_8h,,funding_state_like,,zmean_4h,,False,"ZScore(Mean(funding_rate_state_last_ffill_8h,4))",skel_a311ee3fdacdeca2,prod_652cc8c1b514e638,a7ls1_014982cbad294356,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_014982cbad294356
A7LS_B,raw_multi_axis_discovery,raw_discovery,L1_single_axis_raw_transform,ordinary_alpha_probe,P0,liquidity_like,single,liquidity_rank_active_universe,,liquidity_like,,delta_72h,,False,"Delta(liquidity_rank_active_universe,72)",skel_1d39996e97d5ace0,prod_9ebf45c2090c952f,a7ls1_037f284752d59522,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_037f284752d59522
A7LS_B,raw_multi_axis_discovery,raw_discovery,L1_single_axis_raw_transform,ordinary_alpha_probe,P0,listing_age_like,single,log1p_listing_age_days,,listing_age_like,,level,,True,log1p_listing_age_days,skel_ca36cd3eaf5a3a94,prod_008a40f55c0a55fa,a7ls1_00d328fa70ee3bcd,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_00d328fa70ee3bcd
A7LS_B,raw_multi_axis_discovery,raw_discovery,L2_raw_multi_axis_interaction,role_mixed_allowed,P0,open_interest_like,gated_sign,open_interest_last,open_interest_mean,open_interest_like,open_interest_like,mean_4h,mean_72h,False,"Mul(Mean(open_interest_last,4),Sign(Mean(open_interest_mean,72)))",skel_3afee12eb6a9078f,prod_f82dc1f41c57deaf,a7ls1_02aad91061013f37,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_02aad91061013f37
A7LS_B,raw_multi_axis_discovery,raw_discovery,L1_single_axis_raw_transform,ordinary_alpha_probe,P0,positioning_like,single,top_long_short_position_ratio_last,,positioning_like,,zmean_1h,,False,"ZScore(Mean(top_long_short_position_ratio_last,1))",skel_a311ee3fdacdeca2,prod_988761e5769be101,a7ls1_0253110c6a54a5a9,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_0253110c6a54a5a9
A7LS_B,raw_multi_axis_discovery,raw_discovery,L2_raw_multi_axis_interaction,role_mixed_allowed,P0,price_like,gated_sign,trade_close,mark_close,price_like,price_like,zmean_1h,zmean_72h,False,"Mul(ZScore(Mean(trade_close,1)),Sign(ZScore(Mean(mark_close,72))))",skel_af8c1327eb17d836,prod_e7be2b254c65090c,a7ls1_00797bc960399e92,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_00797bc960399e92
A7LS_B,raw_multi_axis_discovery,raw_discovery,L1_single_axis_raw_transform,ordinary_alpha_probe,P0,regime_state,single,volatility_state,,regime_state,,zmean_168h,,True,"ZScore(Mean(volatility_state,168))",skel_a311ee3fdacdeca2,prod_efc94d473d596712,a7ls1_03cf2b05f397b140,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_03cf2b05f397b140
A7LS_B,raw_multi_axis_discovery,raw_discovery,L1_single_axis_raw_transform,ordinary_alpha_probe,P0,taker_flow_like,single,taker_buy_sell_volume_ratio_last,,taker_flow_like,,clip_z,,False,"Clip(ZScore(taker_buy_sell_volume_ratio_last),-3,3)",skel_8a3e91f81074ce44,prod_d9735e30fdc33718,a7ls1_0505f8e5976928b3,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_0505f8e5976928b3
A7LS_B,raw_multi_axis_discovery,raw_discovery,L1_single_axis_raw_transform,ordinary_alpha_probe,P0,volatility_like,single,realized_vol_72h,,volatility_like,,level,,False,realized_vol_72h,skel_ca36cd3eaf5a3a94,prod_7e37c60401997d11,a7ls1_019e2a6b6db8919f,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_019e2a6b6db8919f
A7LS_B,raw_multi_axis_discovery,raw_discovery,L2_raw_multi_axis_interaction,role_mixed_allowed,P0,basis_premium_like,gated_sign,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,delta_1h,mean_72h,False,"Mul(Delta(mark_index_basis_bps,1),Sign(Mean(mark_trade_basis_bps,72)))",skel_3afee12eb6a9078f,prod_b8894d1035954f44,a7ls1_00a968d7bc7f42bd,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_00a968d7bc7f42bd
A7LS_B,raw_multi_axis_discovery,raw_discovery,L1_single_axis_raw_transform,ordinary_alpha_probe,P0,funding_state_like,single,funding_rate_abs_state_168h_z,,funding_state_like,,zmean_4h,,False,"ZScore(Mean(funding_rate_abs_state_168h_z,4))",skel_a311ee3fdacdeca2,prod_945d1cae2122f367,a7ls1_048d51e647b93668,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_048d51e647b93668
A7LS_B,raw_multi_axis_discovery,raw_discovery,L1_single_axis_raw_transform,ordinary_alpha_probe,P0,liquidity_like,single,trade_quote_volume,,liquidity_like,,zmean_8h,,False,"ZScore(Mean(trade_quote_volume,8))",skel_a311ee3fdacdeca2,prod_eba655eb1eca3a28,a7ls1_062c77b2051aea47,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_062c77b2051aea47
A7LS_B,raw_multi_axis_discovery,raw_discovery,L1_single_axis_raw_transform,ordinary_alpha_probe,P0,listing_age_like,single,age_percentile_active_universe,,listing_age_like,,mean_72h,,True,"Mean(age_percentile_active_universe,72)",skel_1d39996e97d5ace0,prod_c4293809f5296876,a7ls1_092cbb5fb1f84b67,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_092cbb5fb1f84b67
A7LS_B,raw_multi_axis_discovery,raw_discovery,L2_raw_multi_axis_interaction,role_mixed_allowed,P0,open_interest_like,gated_sign,open_interest_last,open_interest_mean,open_interest_like,open_interest_like,zmean_1h,mean_8h,False,"Mul(ZScore(Mean(open_interest_last,1)),Sign(Mean(open_interest_mean,8)))",skel_bcb165b7818f5d85,prod_3a9bda1ac10477b8,a7ls1_02df38be29aa0e16,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_02df38be29aa0e16
A7LS_B,raw_multi_axis_discovery,raw_discovery,L1_single_axis_raw_transform,ordinary_alpha_probe,P0,positioning_like,single,top_long_short_account_ratio_last,,positioning_like,,zmean_72h,,False,"ZScore(Mean(top_long_short_account_ratio_last,72))",skel_a311ee3fdacdeca2,prod_82ee2818579be696,a7ls1_03be3bce2adc8ed1,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_03be3bce2adc8ed1
A7LS_B,raw_multi_axis_discovery,raw_discovery,L2_raw_multi_axis_interaction,role_mixed_allowed,P0,price_like,gated_sign,trade_close,mark_close,price_like,price_like,zmean_4h,zmean_72h,False,"Mul(ZScore(Mean(trade_close,4)),Sign(ZScore(Mean(mark_close,72))))",skel_af8c1327eb17d836,prod_3944def859a968a7,a7ls1_015e068a707cc50e,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_015e068a707cc50e
A7LS_B,raw_multi_axis_discovery,raw_discovery,L1_single_axis_raw_transform,ordinary_alpha_probe,P0,regime_state,single,funding_abs_state,,regime_state,,delta_168h,,True,"Delta(funding_abs_state,168)",skel_1d39996e97d5ace0,prod_afeeab7e7f3d0e24,a7ls1_0562aa706de3c784,True,False,a7ls_b_materialization_s020,a7ls_b_materialization_s020::a7ls1_0562aa706de3c784
