interaction_family,left_field,left_family,right_field,right_family,transform,operator,blueprint_id
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,trade_quote_volume,liquidity,delta_1h,Mul,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_Mul_trade_quote_volume_delta_1h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,trade_quote_volume,liquidity,delta_1h,SafeDiv,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_SafeDiv_trade_quote_volume_delta_1h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,trade_quote_volume,liquidity,delta_4h,Mul,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_Mul_trade_quote_volume_delta_4h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,trade_quote_volume,liquidity,delta_4h,SafeDiv,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_SafeDiv_trade_quote_volume_delta_4h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,trade_quote_volume,liquidity,shock_24h,Mul,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_Mul_trade_quote_volume_shock_24h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,trade_quote_volume,liquidity,shock_24h,SafeDiv,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_SafeDiv_trade_quote_volume_shock_24h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,trade_quote_volume,liquidity,tsrank_72h,Mul,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_Mul_trade_quote_volume_tsrank_72h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,trade_quote_volume,liquidity,tsrank_72h,SafeDiv,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_SafeDiv_trade_quote_volume_tsrank_72h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,trade_count,liquidity,delta_1h,Mul,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_Mul_trade_count_delta_1h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,trade_count,liquidity,delta_1h,SafeDiv,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_SafeDiv_trade_count_delta_1h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,trade_count,liquidity,delta_4h,Mul,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_Mul_trade_count_delta_4h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,trade_count,liquidity,delta_4h,SafeDiv,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_SafeDiv_trade_count_delta_4h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,trade_count,liquidity,shock_24h,Mul,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_Mul_trade_count_shock_24h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,trade_count,liquidity,shock_24h,SafeDiv,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_SafeDiv_trade_count_shock_24h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,trade_count,liquidity,tsrank_72h,Mul,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_Mul_trade_count_tsrank_72h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,trade_count,liquidity,tsrank_72h,SafeDiv,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_SafeDiv_trade_count_tsrank_72h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_1h,Mul,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_Mul_liquidity_rank_active_universe_delta_1h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_1h,SafeDiv,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_SafeDiv_liquidity_rank_active_universe_delta_1h
I4_taker_flow_x_OI_or_liquidity,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_4h,Mul,core16ge_I4_taker_flow_x_OI_or_liquidity_kline_taker_buy_quote_share_Mul_liquidity_rank_active_universe_delta_4h
