label_family,label_horizon_h,finite_cell_rate,available,fitted_symbols,skipped_symbols,min_group
L0_raw_forward_return,1,0.9982763573685722,,,,
L1_cross_sectional_relative_return,1,0.9982763573685722,,,,
L2_BTC_ETH_beta_residual_return,1,0.9982763573685722,True,96.0,0.0,
L3_liquidity_tier_relative_return,1,0.9254853729771139,,,,8.0
L5_vol_adjusted_return,1,0.8261993679977018,,,,
L6_downside_avoidance,1,0.9982763573685722,,,,
L7_ranked_future_return,1,0.9982763573685722,,,,
L0_raw_forward_return,4,0.9939672507900029,,,,
L1_cross_sectional_relative_return,4,0.9939672507900029,,,,
L2_BTC_ETH_beta_residual_return,4,0.9939672507900029,True,96.0,0.0,
L3_liquidity_tier_relative_return,4,0.9214904720865652,,,,8.0
L5_vol_adjusted_return,4,0.8227520827348463,,,,
L6_downside_avoidance,4,0.9939672507900029,,,,
L7_ranked_future_return,4,0.9939672507900029,,,,
L0_raw_forward_return,24,0.9652398735995403,,,,
L1_cross_sectional_relative_return,24,0.9652398735995403,,,,
L2_BTC_ETH_beta_residual_return,24,0.9652398735995403,True,96.0,0.0,
L3_liquidity_tier_relative_return,24,0.8948577994829072,,,,8.0
L5_vol_adjusted_return,24,0.7997701809824763,,,,
L6_downside_avoidance,24,0.9652398735995403,,,,
L7_ranked_future_return,24,0.9652398735995403,,,,
