field_family,label_family,combos,candidate_count,median_control_ratio
basis_premium,L0_raw_forward_return,45,1,6.682600005001486
basis_premium,L1_cross_sectional_relative_return,45,1,6.682600005001485
basis_premium,L2_BTC_ETH_beta_residual_return,45,3,4.929651997988236
basis_premium,L3_liquidity_tier_relative_return,45,1,2.795865769539784
basis_premium,L5_vol_adjusted_return,45,2,3.3439975624923703
basis_premium,L6_downside_avoidance,45,1,1.6303431440653233
basis_premium,L7_ranked_future_return,45,1,2.2881694145818257
funding,L0_raw_forward_return,27,0,12.366175357885076
funding,L1_cross_sectional_relative_return,27,0,12.366175357885048
funding,L2_BTC_ETH_beta_residual_return,27,0,5.30550900736455
funding,L3_liquidity_tier_relative_return,27,0,7.828099566005801
funding,L5_vol_adjusted_return,27,0,4.2474018328238285
funding,L6_downside_avoidance,27,0,1.1232902615218325
funding,L7_ranked_future_return,27,0,1.0747311466292049
liquidity,L0_raw_forward_return,27,0,12.696424218006424
liquidity,L1_cross_sectional_relative_return,27,0,12.69642421800642
liquidity,L2_BTC_ETH_beta_residual_return,27,2,2.3253641588192706
liquidity,L3_liquidity_tier_relative_return,27,0,17.8844254453597
liquidity,L5_vol_adjusted_return,27,0,8.604159391478163
liquidity,L6_downside_avoidance,27,4,3.874609476793473
liquidity,L7_ranked_future_return,27,0,4.74643773735534
open_interest,L0_raw_forward_return,27,0,19.64933716467706
open_interest,L1_cross_sectional_relative_return,27,0,19.649337164677064
open_interest,L2_BTC_ETH_beta_residual_return,27,0,21.577937098443027
open_interest,L3_liquidity_tier_relative_return,27,0,20.45222509277585
open_interest,L5_vol_adjusted_return,27,0,9.805332955606298
open_interest,L6_downside_avoidance,27,4,2.0579707648298706
open_interest,L7_ranked_future_return,27,0,8.13719873053861
open_interest_interaction,L0_raw_forward_return,9,0,17.227715752846596
open_interest_interaction,L1_cross_sectional_relative_return,9,0,17.227715752846578
open_interest_interaction,L2_BTC_ETH_beta_residual_return,9,0,13.432258140802823
open_interest_interaction,L3_liquidity_tier_relative_return,9,0,16.312245256869055
open_interest_interaction,L5_vol_adjusted_return,9,0,39.993266714178695
open_interest_interaction,L6_downside_avoidance,9,4,2.0115366846540654
open_interest_interaction,L7_ranked_future_return,9,0,3.527615450889502
positioning,L0_raw_forward_return,27,0,8.818075025514322
positioning,L1_cross_sectional_relative_return,27,0,8.818075025514341
positioning,L2_BTC_ETH_beta_residual_return,27,0,2.9325022843987214
positioning,L3_liquidity_tier_relative_return,27,0,13.376008954727752
positioning,L5_vol_adjusted_return,27,0,7.236097796368286
positioning,L6_downside_avoidance,27,5,3.753944313095358
positioning,L7_ranked_future_return,27,0,4.293076777370881
price_return,L0_raw_forward_return,18,0,40.10238075258511
price_return,L1_cross_sectional_relative_return,18,0,40.1023807525851
price_return,L2_BTC_ETH_beta_residual_return,18,2,29.515543331596717
price_return,L3_liquidity_tier_relative_return,18,2,49.010609892510544
price_return,L5_vol_adjusted_return,18,0,31.09094106366826
price_return,L6_downside_avoidance,18,4,3.3083126422397733
price_return,L7_ranked_future_return,18,4,6.212879638689556
taker_flow,L0_raw_forward_return,18,0,12.045394985277335
taker_flow,L1_cross_sectional_relative_return,18,0,12.045394985277309
taker_flow,L2_BTC_ETH_beta_residual_return,18,0,6.546096917973761
taker_flow,L3_liquidity_tier_relative_return,18,0,6.662908856203757
taker_flow,L5_vol_adjusted_return,18,0,8.731635002878956
taker_flow,L6_downside_avoidance,18,2,3.071702400260553
taker_flow,L7_ranked_future_return,18,0,2.742486671518934
volatility,L0_raw_forward_return,18,0,14.363384121699921
volatility,L1_cross_sectional_relative_return,18,0,14.363384121699934
volatility,L2_BTC_ETH_beta_residual_return,18,0,25.638476051077426
volatility,L3_liquidity_tier_relative_return,18,0,14.510717667852948
volatility,L5_vol_adjusted_return,18,0,20.498878619237466
volatility,L6_downside_avoidance,18,3,1.046138646417548
volatility,L7_ranked_future_return,18,4,1.4016943520372565
