candidate_id,generator,status,production_family,derived_feature_id,expression,horizon,source_fields,source_field_families,transform,window_hours,availability_mask,cross_symbol_scope,feature_available_lag_bars,feature_timestamp_rule,execution_rule,requires_residual_baselines,required_negative_controls,paired_ablation_plan,decision,reject_reasons
a7v3_rolling_self_reproduction_12_566291daed88,crypto_a7v3_agg_aware_candidate_dry_run,dry_run_not_replayed,rolling_self_reproduction,Decay_4h__agg_avg_agg_trade_notional,"Decay(agg_avg_agg_trade_notional,4)",12,agg_avg_agg_trade_notional,activity_liquidity,Decay,4,agg_features_available,same_symbol,4,agg hour bucket start t is observable after t+1h; rolling descendants require past-only completed input hours,next-bar or later; same-hour close execution forbidden,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;no_agg_mask;zero_fill_core12_rank,base_agg_field;derived_transform;market_control_if_any;full_formula,A7V3_DRY_RUN_CANDIDATE,
a7v3_rolling_self_reproduction_12_59b35b375ae9,crypto_a7v3_agg_aware_candidate_dry_run,dry_run_not_replayed,rolling_self_reproduction,Decay_4h__agg_avg_underlying_trade_notional,"Decay(agg_avg_underlying_trade_notional,4)",12,agg_avg_underlying_trade_notional,activity_liquidity,Decay,4,agg_features_available,same_symbol,4,agg hour bucket start t is observable after t+1h; rolling descendants require past-only completed input hours,next-bar or later; same-hour close execution forbidden,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;no_agg_mask;zero_fill_core12_rank,base_agg_field;derived_transform;market_control_if_any;full_formula,A7V3_DRY_RUN_CANDIDATE,
a7v3_rolling_self_reproduction_12_b28d7ce95edf,crypto_a7v3_agg_aware_candidate_dry_run,dry_run_not_replayed,rolling_self_reproduction,Decay_4h__agg_max_trade_notional,"Decay(agg_max_trade_notional,4)",12,agg_max_trade_notional,activity_liquidity,Decay,4,agg_features_available,same_symbol,4,agg hour bucket start t is observable after t+1h; rolling descendants require past-only completed input hours,next-bar or later; same-hour close execution forbidden,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;no_agg_mask;zero_fill_core12_rank,base_agg_field;derived_transform;market_control_if_any;full_formula,A7V3_DRY_RUN_CANDIDATE,
a7v3_rolling_self_reproduction_12_b26d29c81a80,crypto_a7v3_agg_aware_candidate_dry_run,dry_run_not_replayed,rolling_self_reproduction,Decay_4h__agg_notional,"Decay(agg_notional,4)",12,agg_notional,activity_liquidity,Decay,4,agg_features_available,same_symbol,4,agg hour bucket start t is observable after t+1h; rolling descendants require past-only completed input hours,next-bar or later; same-hour close execution forbidden,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;no_agg_mask;zero_fill_core12_rank,base_agg_field;derived_transform;market_control_if_any;full_formula,A7V3_DRY_RUN_CANDIDATE,
a7v3_rolling_self_reproduction_12_b3789982a101,crypto_a7v3_agg_aware_candidate_dry_run,dry_run_not_replayed,rolling_self_reproduction,Decay_4h__agg_notional_100_1k,"Decay(agg_notional_100_1k,4)",12,agg_notional_100_1k,activity_liquidity,Decay,4,agg_features_available,same_symbol,4,agg hour bucket start t is observable after t+1h; rolling descendants require past-only completed input hours,next-bar or later; same-hour close execution forbidden,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;no_agg_mask;zero_fill_core12_rank,base_agg_field;derived_transform;market_control_if_any;full_formula,A7V3_DRY_RUN_CANDIDATE,
a7v3_rolling_self_reproduction_12_214b62a005b2,crypto_a7v3_agg_aware_candidate_dry_run,dry_run_not_replayed,rolling_self_reproduction,Decay_4h__agg_notional_100k_1m,"Decay(agg_notional_100k_1m,4)",12,agg_notional_100k_1m,activity_liquidity,Decay,4,agg_features_available,same_symbol,4,agg hour bucket start t is observable after t+1h; rolling descendants require past-only completed input hours,next-bar or later; same-hour close execution forbidden,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;no_agg_mask;zero_fill_core12_rank,base_agg_field;derived_transform;market_control_if_any;full_formula,A7V3_DRY_RUN_CANDIDATE,
a7v3_rolling_self_reproduction_12_3eb1e9032578,crypto_a7v3_agg_aware_candidate_dry_run,dry_run_not_replayed,rolling_self_reproduction,Decay_4h__agg_notional_10k_100k,"Decay(agg_notional_10k_100k,4)",12,agg_notional_10k_100k,activity_liquidity,Decay,4,agg_features_available,same_symbol,4,agg hour bucket start t is observable after t+1h; rolling descendants require past-only completed input hours,next-bar or later; same-hour close execution forbidden,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;no_agg_mask;zero_fill_core12_rank,base_agg_field;derived_transform;market_control_if_any;full_formula,A7V3_DRY_RUN_CANDIDATE,
a7v3_rolling_self_reproduction_12_9fa317374c73,crypto_a7v3_agg_aware_candidate_dry_run,dry_run_not_replayed,rolling_self_reproduction,Decay_4h__agg_notional_1k_10k,"Decay(agg_notional_1k_10k,4)",12,agg_notional_1k_10k,activity_liquidity,Decay,4,agg_features_available,same_symbol,4,agg hour bucket start t is observable after t+1h; rolling descendants require past-only completed input hours,next-bar or later; same-hour close execution forbidden,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;no_agg_mask;zero_fill_core12_rank,base_agg_field;derived_transform;market_control_if_any;full_formula,A7V3_DRY_RUN_CANDIDATE,
a7v3_rolling_self_reproduction_12_e7538e540549,crypto_a7v3_agg_aware_candidate_dry_run,dry_run_not_replayed,rolling_self_reproduction,Decay_4h__agg_notional_gt_1m,"Decay(agg_notional_gt_1m,4)",12,agg_notional_gt_1m,activity_liquidity,Decay,4,agg_features_available,same_symbol,4,agg hour bucket start t is observable after t+1h; rolling descendants require past-only completed input hours,next-bar or later; same-hour close execution forbidden,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;no_agg_mask;zero_fill_core12_rank,base_agg_field;derived_transform;market_control_if_any;full_formula,A7V3_DRY_RUN_CANDIDATE,
a7v3_rolling_self_reproduction_12_df2cbf21af24,crypto_a7v3_agg_aware_candidate_dry_run,dry_run_not_replayed,rolling_self_reproduction,Decay_4h__agg_notional_le_100,"Decay(agg_notional_le_100,4)",12,agg_notional_le_100,activity_liquidity,Decay,4,agg_features_available,same_symbol,4,agg hour bucket start t is observable after t+1h; rolling descendants require past-only completed input hours,next-bar or later; same-hour close execution forbidden,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;no_agg_mask;zero_fill_core12_rank,base_agg_field;derived_transform;market_control_if_any;full_formula,A7V3_DRY_RUN_CANDIDATE,
