a7input_queue,rows,eval_success,activity_ok,median_finite_share,median_nonzero_share
interaction_alpha,576,576,476,0.993105429474289,0.9913102143271715
ordinary_alpha,1875,1875,1595,0.8273484630853203,0.9932770593869732
