source_blueprint_id,blueprint_id,horizon_h,formula,nonoverlap_floor_sortino_control_one_bar_lag,nonoverlap_floor_sortino_original,nonoverlap_floor_sortino_source_lag_1h,nonoverlap_floor_sortino_source_lag_2h,nonoverlap_floor_sortino_source_lag_4h,rankic_mean_control_one_bar_lag,rankic_mean_original,rankic_mean_source_lag_1h,rankic_mean_source_lag_2h,rankic_mean_source_lag_4h,sortino_control_one_bar_lag,sortino_original,sortino_source_lag_1h,sortino_source_lag_2h,sortino_source_lag_4h,source_lag_gate,floor_retention_source_lag_1h,floor_retention_source_lag_2h,floor_retention_source_lag_4h
a7mech1_0020,a7mech1_0020_oi_only_tsrank,4,"TSRank(open_interest_last,504)",13.63673267543762,16.350114184142424,13.63673267543762,13.932805697596448,10.55076135138576,0.023880802479697708,0.028003946045232743,0.023880802479697708,0.02140648674799213,0.01725976966927989,16.816293202518388,19.832988860813117,16.816293202518388,15.081519187006645,12.402323808255165,PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,0.8340451034075074,0.8521534186660015,0.6453019980507956
a7mech1_0021,a7mech1_0021_oi_only_cs_tsrank,4,"CSRank(TSRank(open_interest_last,504))",13.63673267543762,16.350114184142424,13.63673267543762,13.932805697596448,10.55076135138576,0.023880802479697708,0.028003946045232743,0.023880802479697708,0.02140648674799213,0.01725976966927989,16.816293202518388,19.832988860813117,16.816293202518388,15.081519187006645,12.402323808255165,PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,0.8340451034075074,0.8521534186660015,0.6453019980507956
a7mech1_0054,a7mech1_0054_oi_only_tsrank,8,"TSRank(open_interest_last,504)",13.694766292132787,15.994467575310653,13.694766292132787,13.369853472656645,10.107193354729493,0.031204570631760964,0.034435120064827816,0.031204570631760964,0.029774004912201783,0.02745594728591471,15.647507599390083,17.970218488425854,15.647507599390083,14.342789112903914,12.837404927440982,PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,0.8562189536882286,0.8359048783402201,0.6319180871222708
a7mech1_0055,a7mech1_0055_oi_only_cs_tsrank,8,"CSRank(TSRank(open_interest_last,504))",13.694766292132787,15.994467575310653,13.694766292132787,13.369853472656645,10.107193354729493,0.031204570631760964,0.034435120064827816,0.031204570631760964,0.029774004912201783,0.02745594728591471,15.647507599390083,17.970218488425854,15.647507599390083,14.342789112903914,12.837404927440982,PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,0.8562189536882286,0.8359048783402201,0.6319180871222708
a7mech1_0026,a7mech1_0026_oi_only_tsrank,4,"TSRank(open_interest_mean,504)",15.21878387479593,15.254656463456692,15.21878387479593,13.243709327486355,11.672651187279577,0.022896674895477524,0.02646092751117975,0.022896674895477524,0.020357160643815056,0.017029377145192776,16.548096616064626,18.998598635373824,16.548096616064626,14.947788240986668,12.489983840205268,PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,0.9976484171409106,0.868174865767206,0.7651861066319001
a7mech1_0027,a7mech1_0027_oi_only_cs_tsrank,4,"CSRank(TSRank(open_interest_mean,504))",15.21878387479593,15.254656463456692,15.21878387479593,13.243709327486355,11.672651187279577,0.022896674895477524,0.02646092751117975,0.022896674895477524,0.020357160643815056,0.017029377145192776,16.548096616064626,18.998598635373824,16.548096616064626,14.947788240986668,12.489983840205268,PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,0.9976484171409106,0.868174865767206,0.7651861066319001
a7mech1_0018,a7mech1_0018_oi_only_tsrank,4,"TSRank(open_interest_last,336)",13.161270191652477,14.947475899429481,13.161270191652477,13.09600073098004,10.30183026086752,0.025169949905184553,0.028851320839832727,0.025169949905184553,0.022812856379296562,0.01794346044446008,15.512689213762876,17.742571408515364,15.512689213762876,14.314149427747829,12.005698691944552,PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,0.8805011816178824,0.8761345941678281,0.6892019983963127
a7mech1_0019,a7mech1_0019_oi_only_cs_tsrank,4,"CSRank(TSRank(open_interest_last,336))",13.161270191652477,14.947475899429481,13.161270191652477,13.09600073098004,10.30183026086752,0.025169949905184553,0.028851320839832727,0.025169949905184553,0.022812856379296562,0.01794346044446008,15.512689213762876,17.742571408515364,15.512689213762876,14.314149427747829,12.005698691944552,PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,0.8805011816178824,0.8761345941678281,0.6892019983963127
a7mech1_0060,a7mech1_0060_oi_only_tsrank,8,"TSRank(open_interest_mean,504)",13.910472446403096,15.053264029081918,13.910472446403096,12.708393260811965,10.2740741841595,0.03079469628458109,0.03331460394107714,0.03079469628458109,0.029560071306787367,0.026944639322994585,15.5223628701878,17.353526225472283,15.5223628701878,14.355362492405142,13.003069431769816,PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,0.9240834691751222,0.844228416924076,0.682514713374499
a7mech1_0061,a7mech1_0061_oi_only_cs_tsrank,8,"CSRank(TSRank(open_interest_mean,504))",13.910472446403096,15.053264029081918,13.910472446403096,12.708393260811965,10.2740741841595,0.03079469628458109,0.03331460394107714,0.03079469628458109,0.029560071306787367,0.026944639322994585,15.5223628701878,17.353526225472283,15.5223628701878,14.355362492405142,13.003069431769816,PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,0.9240834691751222,0.844228416924076,0.682514713374499
