artifact_id,path,exists,artifact_type
top498_replay_v2,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_20260527,True,directory
core12_aggtrades_all_features,G:\AlphaFactory_CryptoData\gold\features\binance_core12_all_features_metrics_market_structure_aggtrades_v1_20260524.parquet,True,file
cross_exchange_30d_v2,G:\AlphaFactory_CryptoData\gold\features\okx_binance_cross_exchange_unified_1h_30d_v2_20260527,True,directory
A7U0R_source_trace,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7u0r_source_trace_audit\a7u0r_manifest.json,True,manifest
A7S1_metrics_acceptance,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7s1_metrics_acceptance_audit\a7s1_acceptance_manifest.json,True,manifest
A7AP1_cross_exchange,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7ap1_cross_exchange_field_smoke\a7ap1_manifest.json,True,manifest
A7AI-F3_fields,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7aif3_materialization_evaluator_parity\a7aif3_field_materialization_matrix.csv,True,csv
A7AI-F4_promoted_fields,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7aif4_response_backed_field_promotion\a7aif4_promoted_ordinary_alpha_fields.csv,True,csv
