artifact,path,rows,location
full_blueprint_index,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_full_blueprint_index.csv,1000000,external
materialization_queue,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,100000,external
blueprint_sample,G:/Project_V7_Rotation/alpha_pit_engine_crypto_20260519/runtime/a7ls15_million_scale_blueprint_generation/a7ls15_blueprint_index_sample.csv,5000,repo
