symbol,source_path,manifest_declared_full_source_sha256,full_source_sha_recomputed,qualified_prefix_sha256,manifest_file_size,actual_file_size,file_size_verified,qualified_rows,qualified_rows_verified,first_event_utc,last_event_utc,time_coverage_verified,symbol_verified,manifest_status,declared_interval
ADAUSDT,G:/AlphaFactory_CryptoData/raw/binance_api/fundingRate_core12_202401_current/ADAUSDT_fundingRate.csv,8C2267137D77C4A5974F58E8467C64C94A563DF50CCBFD4533887005B2612603,False,3D7BF2B357DB2BD8BB7562E2E8F0955B475457255DFEB51EADCF75F97B2B8DFE,118618,118618,True,2553,True,2024-01-01 00:00:00+00:00,2026-04-30 16:00:00+00:00,True,True,downloaded,8h
AVAXUSDT,G:/AlphaFactory_CryptoData/raw/binance_api/fundingRate_core12_202401_current/AVAXUSDT_fundingRate.csv,D77018653555C565F80AB175BCBE72C005930D496DF46B2B2D58D6A7EE5A269F,False,6445EAFFC2B0654524A0202CA6CA079C9F496ED50FA4BF1361BAC5E7BF0689F4,123865,123865,True,2553,True,2024-01-01 00:00:00+00:00,2026-04-30 16:00:00+00:00,True,True,downloaded,8h
BCHUSDT,G:/AlphaFactory_CryptoData/raw/binance_api/fundingRate_core12_202401_current/BCHUSDT_fundingRate.csv,2630987D8F56F9E5A9B5EADBF19A373A9ED37E4D7C2A2F140BD8FA86CD0E78CF,False,7649E9A3CBAFC41546BED50300B4C2F112F6303531E804A07422B5AF419B24BA,124598,124598,True,2553,True,2024-01-01 00:00:00+00:00,2026-04-30 16:00:00+00:00,True,True,downloaded,8h
BNBUSDT,G:/AlphaFactory_CryptoData/raw/binance_api/fundingRate_core12_202401_current/BNBUSDT_fundingRate.csv,FD25194E52727BE47B2EB99FB3400752966DE067EE9386CC0E1C6904275CF6A8,False,56BC55CB63998EE5B766A145FA4E54E4A38B1B9541E53C95F3203E1C0EAABA76,123889,123889,True,2553,True,2024-01-01 00:00:00+00:00,2026-04-30 16:00:00+00:00,True,True,downloaded,8h
BTCUSDT,G:/AlphaFactory_CryptoData/raw/binance_api/fundingRate_core12_202401_current/BTCUSDT_fundingRate.csv,9F955FEE1B433EF88857D5D1477AEAB552A85362D49D8AEA8BF189F3E34E77F0,False,A72CEA958B8B19A3CB68E0EAB085CC44C4A53AE5A359C6611067A35C878FD33B,129633,129633,True,2553,True,2024-01-01 00:00:00+00:00,2026-04-30 16:00:00+00:00,True,True,downloaded,8h
DOGEUSDT,G:/AlphaFactory_CryptoData/raw/binance_api/fundingRate_core12_202401_current/DOGEUSDT_fundingRate.csv,3DE4FE97E2F0B17AF0995C6659E3D77409A2E0444FE44E756C94063C1A2E0DED,False,BAE98794638E11AAF7420EE570BB12EBACBCBA3D7A2ADF99ADF572E30ABFD4E1,121272,121272,True,2553,True,2024-01-01 00:00:00+00:00,2026-04-30 16:00:00+00:00,True,True,downloaded,8h
ETHUSDT,G:/AlphaFactory_CryptoData/raw/binance_api/fundingRate_core12_202401_current/ETHUSDT_fundingRate.csv,E2A13E6500FECF241A8C34839615433A349E7B4CB6EAFF6F77CAFC4858CE860B,False,48CDB2DD3EE5FC2E6CE56C6EE36691EA5084BB0CAC7C35D15F1943B553B3CE73,126358,126358,True,2553,True,2024-01-01 00:00:00+00:00,2026-04-30 16:00:00+00:00,True,True,downloaded,8h
LINKUSDT,G:/AlphaFactory_CryptoData/raw/binance_api/fundingRate_core12_202401_current/LINKUSDT_fundingRate.csv,211ADD126FF37567283A4E8DF557E27A86697CB7574862B2F57D24EC568BB4A1,False,E5B0A0C39C3137C792C86BDA36202C7FE793BF0C2A48255A09E57A8C0A6D98A8,123451,123451,True,2553,True,2024-01-01 00:00:00+00:00,2026-04-30 16:00:00+00:00,True,True,downloaded,8h
LTCUSDT,G:/AlphaFactory_CryptoData/raw/binance_api/fundingRate_core12_202401_current/LTCUSDT_fundingRate.csv,AD6FEA18CCD3FD5239A52D1ED55CAF11F17E1593FE4E395D24768DD5B9D7221F,False,204040AFF8931939658E21F19AE522E3AF8E5A35CF83ACCA8A1115467FBDC404,121729,121729,True,2553,True,2024-01-01 00:00:00+00:00,2026-04-30 16:00:00+00:00,True,True,downloaded,8h
SOLUSDT,G:/AlphaFactory_CryptoData/raw/binance_api/fundingRate_core12_202401_current/SOLUSDT_fundingRate.csv,500F32713709F95DF99FBD1305FFAA6626E3E90F1653652EB83B5D735ADD16FB,False,586C642F62CC89B030BA97DC4862CF39B9DE47B2296E3C97A7CDBE1E1AD40C85,123691,123691,True,2553,True,2024-01-01 00:00:00+00:00,2026-04-30 16:00:00+00:00,True,True,downloaded,8h
SUIUSDT,G:/AlphaFactory_CryptoData/raw/binance_api/fundingRate_core12_202401_current/SUIUSDT_fundingRate.csv,DDB4D6B0FAF463B6FE2C707A0DB9B4AA9E3D0F479D512117E2F73A7A83D6FBDD,False,594BB030AFB073D5803CD298E9EB3E92E496FBE5CBE519C5963E4103D7CCE998,118809,118809,True,2553,True,2024-01-01 00:00:00+00:00,2026-04-30 16:00:00+00:00,True,True,downloaded,8h
XRPUSDT,G:/AlphaFactory_CryptoData/raw/binance_api/fundingRate_core12_202401_current/XRPUSDT_fundingRate.csv,B2B859E1B8B5EBE4097FB45FA65F9226C0694D877AE0C949DD815BCD3731D2B2,False,A9C516474928884F6C6ED36C4B2660389DC97FBC5A2B008C6639F9AB1379AAF2,118718,118718,True,2553,True,2024-01-01 00:00:00+00:00,2026-04-30 16:00:00+00:00,True,True,downloaded,8h
