venue,instrument,month_utc,expected_events,matched_events,missed_events,coverage_ratio
BINANCE_UM,BNBUSDT,2024-01,93,93,0,1.0
BINANCE_UM,BNBUSDT,2024-02,87,87,0,1.0
BINANCE_UM,BNBUSDT,2024-03,93,93,0,1.0
BINANCE_UM,BNBUSDT,2024-04,90,90,0,1.0
BINANCE_UM,BNBUSDT,2024-05,93,93,0,1.0
BINANCE_UM,BNBUSDT,2024-06,90,90,0,1.0
BINANCE_UM,BNBUSDT,2024-07,93,93,0,1.0
BINANCE_UM,BNBUSDT,2024-08,93,93,0,1.0
BINANCE_UM,BNBUSDT,2024-09,90,90,0,1.0
BINANCE_UM,BNBUSDT,2024-10,93,93,0,1.0
BINANCE_UM,BNBUSDT,2024-11,90,90,0,1.0
BINANCE_UM,BNBUSDT,2024-12,93,93,0,1.0
BINANCE_UM,BNBUSDT,2025-01,93,93,0,1.0
BINANCE_UM,BNBUSDT,2025-02,84,84,0,1.0
BINANCE_UM,BNBUSDT,2025-03,93,93,0,1.0
BINANCE_UM,BNBUSDT,2025-04,90,90,0,1.0
BINANCE_UM,BNBUSDT,2025-05,93,93,0,1.0
BINANCE_UM,BNBUSDT,2025-06,90,90,0,1.0
BINANCE_UM,BNBUSDT,2025-07,93,93,0,1.0
BINANCE_UM,BNBUSDT,2025-08,93,93,0,1.0
BINANCE_UM,BNBUSDT,2025-09,90,90,0,1.0
BINANCE_UM,BNBUSDT,2025-10,93,93,0,1.0
BINANCE_UM,BNBUSDT,2025-11,90,90,0,1.0
BINANCE_UM,BNBUSDT,2025-12,93,93,0,1.0
BINANCE_UM,BNBUSDT,2026-01,93,93,0,1.0
BINANCE_UM,BNBUSDT,2026-02,84,84,0,1.0
BINANCE_UM,BNBUSDT,2026-03,93,93,0,1.0
BINANCE_UM,BNBUSDT,2026-04,90,90,0,1.0
BINANCE_UM,BTCUSDT,2024-01,93,93,0,1.0
BINANCE_UM,BTCUSDT,2024-02,87,87,0,1.0
BINANCE_UM,BTCUSDT,2024-03,93,93,0,1.0
BINANCE_UM,BTCUSDT,2024-04,90,90,0,1.0
BINANCE_UM,BTCUSDT,2024-05,93,93,0,1.0
BINANCE_UM,BTCUSDT,2024-06,90,90,0,1.0
BINANCE_UM,BTCUSDT,2024-07,93,93,0,1.0
BINANCE_UM,BTCUSDT,2024-08,93,93,0,1.0
BINANCE_UM,BTCUSDT,2024-09,90,90,0,1.0
BINANCE_UM,BTCUSDT,2024-10,93,93,0,1.0
BINANCE_UM,BTCUSDT,2024-11,90,90,0,1.0
BINANCE_UM,BTCUSDT,2024-12,93,93,0,1.0
BINANCE_UM,BTCUSDT,2025-01,93,93,0,1.0
BINANCE_UM,BTCUSDT,2025-02,84,84,0,1.0
BINANCE_UM,BTCUSDT,2025-03,93,93,0,1.0
BINANCE_UM,BTCUSDT,2025-04,90,90,0,1.0
BINANCE_UM,BTCUSDT,2025-05,93,93,0,1.0
