event_id,venue,instrument,funding_time_utc,observable_time_utc,funding_rate,payer_side,receiver_side,source_record_id
funding-f9b00a715e7cde0f0860,BINANCE_UM,ADAUSDT,2024-01-01 00:00:00+00:00,2024-01-01 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:0
funding-80f6a1a978be0d7c9455,BINANCE_UM,ADAUSDT,2024-01-01 08:00:00+00:00,2024-01-01 09:00:00+00:00,0.00013064,LONG,SHORT,ADAUSDT_fundingRate.csv:1
funding-dd899d02ab414a5546ab,BINANCE_UM,ADAUSDT,2024-01-01 16:00:00+00:00,2024-01-01 17:00:00+00:00,0.00032977,LONG,SHORT,ADAUSDT_fundingRate.csv:2
funding-518336691bfd051b6f6b,BINANCE_UM,ADAUSDT,2024-01-02 00:00:00+00:00,2024-01-02 01:00:00+00:00,0.00058523,LONG,SHORT,ADAUSDT_fundingRate.csv:3
funding-830c0928b92a001d1c23,BINANCE_UM,ADAUSDT,2024-01-02 08:00:00+00:00,2024-01-02 09:00:00+00:00,0.00046605,LONG,SHORT,ADAUSDT_fundingRate.csv:4
funding-ce0c11258b3e8e3f00d7,BINANCE_UM,ADAUSDT,2024-01-02 16:00:00+00:00,2024-01-02 17:00:00+00:00,0.00056649,LONG,SHORT,ADAUSDT_fundingRate.csv:5
funding-17ea163ffba528b789f8,BINANCE_UM,ADAUSDT,2024-01-03 00:00:00+00:00,2024-01-03 01:00:00+00:00,0.00023673,LONG,SHORT,ADAUSDT_fundingRate.csv:6
funding-f9c348287fa718a7b123,BINANCE_UM,ADAUSDT,2024-01-03 08:00:00+00:00,2024-01-03 09:00:00+00:00,0.00018493,LONG,SHORT,ADAUSDT_fundingRate.csv:7
funding-a274b798d9f334b2d4fa,BINANCE_UM,ADAUSDT,2024-01-03 16:00:00+00:00,2024-01-03 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:8
funding-4302ed91154e3d1238b0,BINANCE_UM,ADAUSDT,2024-01-04 00:00:00+00:00,2024-01-04 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:9
funding-491a3396d420704ecb84,BINANCE_UM,ADAUSDT,2024-01-04 08:00:00+00:00,2024-01-04 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:10
funding-bf7814aba5d7d357daf6,BINANCE_UM,ADAUSDT,2024-01-04 16:00:00+00:00,2024-01-04 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:11
