venue,instrument,interval_hours,event_transitions
BINANCE_UM,ADAUSDT,8.0,2552
BINANCE_UM,AVAXUSDT,8.0,2552
BINANCE_UM,BCHUSDT,8.0,2552
BINANCE_UM,BNBUSDT,8.0,2552
BINANCE_UM,BTCUSDT,8.0,2552
BINANCE_UM,DOGEUSDT,8.0,2552
BINANCE_UM,ETHUSDT,8.0,2552
BINANCE_UM,LINKUSDT,8.0,2552
BINANCE_UM,LTCUSDT,8.0,2552
BINANCE_UM,SOLUSDT,8.0,2552
BINANCE_UM,SUIUSDT,8.0,2552
BINANCE_UM,XRPUSDT,8.0,2552
