expected_index,detected_index,venue,instrument,expected_time_utc,detected_time_utc,timing_error_seconds,expected_funding_rate,detected_funding_rate,funding_rate_abs_error,observable_time_error_seconds,month_utc
0,0,BINANCE_UM,ADAUSDT,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-01
93,93,BINANCE_UM,ADAUSDT,2024-02-01 00:00:00+00:00,2024-02-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-02
180,180,BINANCE_UM,ADAUSDT,2024-03-01 00:00:00+00:00,2024-03-01 00:00:00+00:00,0.0,0.00041314,0.00041314,0.0,0.0,2024-03
273,273,BINANCE_UM,ADAUSDT,2024-04-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,0.0,0.00051829,0.00051829,0.0,0.0,2024-04
363,363,BINANCE_UM,ADAUSDT,2024-05-01 00:00:00+00:00,2024-05-01 00:00:00+00:00,0.0,6.108e-05,6.108e-05,0.0,0.0,2024-05
456,456,BINANCE_UM,ADAUSDT,2024-06-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,0.0,0.00014915,0.00014915,0.0,0.0,2024-06
546,546,BINANCE_UM,ADAUSDT,2024-07-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,0.0,8.549e-05,8.549e-05,0.0,0.0,2024-07
639,639,BINANCE_UM,ADAUSDT,2024-08-01 00:00:00+00:00,2024-08-01 00:00:00+00:00,0.0,-1.452e-05,-1.452e-05,0.0,0.0,2024-08
732,732,BINANCE_UM,ADAUSDT,2024-09-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,0.0,9.483e-05,9.483e-05,0.0,0.0,2024-09
822,822,BINANCE_UM,ADAUSDT,2024-10-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-10
915,915,BINANCE_UM,ADAUSDT,2024-11-01 00:00:00+00:00,2024-11-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-11
1005,1005,BINANCE_UM,ADAUSDT,2024-12-01 00:00:00+00:00,2024-12-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-12
1098,1098,BINANCE_UM,ADAUSDT,2025-01-01 00:00:00.015000+00:00,2025-01-01 00:00:00.015000+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-01
1191,1191,BINANCE_UM,ADAUSDT,2025-02-01 00:00:00+00:00,2025-02-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-02
1275,1275,BINANCE_UM,ADAUSDT,2025-03-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-03
1368,1368,BINANCE_UM,ADAUSDT,2025-04-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,0.0,4.642e-05,4.642e-05,0.0,0.0,2025-04
1458,1458,BINANCE_UM,ADAUSDT,2025-05-01 00:00:00+00:00,2025-05-01 00:00:00+00:00,0.0,-1.999e-05,-1.999e-05,0.0,0.0,2025-05
1551,1551,BINANCE_UM,ADAUSDT,2025-06-01 00:00:00.001000+00:00,2025-06-01 00:00:00.001000+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-06
1641,1641,BINANCE_UM,ADAUSDT,2025-07-01 00:00:00.007000+00:00,2025-07-01 00:00:00.007000+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-07
1734,1734,BINANCE_UM,ADAUSDT,2025-08-01 00:00:00.001000+00:00,2025-08-01 00:00:00.001000+00:00,0.0,8.59e-06,8.59e-06,0.0,0.0,2025-08
1827,1827,BINANCE_UM,ADAUSDT,2025-09-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,0.0,2.908e-05,2.908e-05,0.0,0.0,2025-09
1917,1917,BINANCE_UM,ADAUSDT,2025-10-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-10
2010,2010,BINANCE_UM,ADAUSDT,2025-11-01 00:00:00.001000+00:00,2025-11-01 00:00:00.001000+00:00,0.0,9.727e-05,9.727e-05,0.0,0.0,2025-11
2100,2100,BINANCE_UM,ADAUSDT,2025-12-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,0.0,-2.026e-05,-2.026e-05,0.0,0.0,2025-12
2193,2193,BINANCE_UM,ADAUSDT,2026-01-01 00:00:00.008000+00:00,2026-01-01 00:00:00.008000+00:00,0.0,-0.00019458,-0.00019458,0.0,0.0,2026-01
2286,2286,BINANCE_UM,ADAUSDT,2026-02-01 00:00:00.001000+00:00,2026-02-01 00:00:00.001000+00:00,0.0,-0.00025965,-0.00025965,0.0,0.0,2026-02
2370,2370,BINANCE_UM,ADAUSDT,2026-03-01 00:00:00.005000+00:00,2026-03-01 00:00:00.005000+00:00,0.0,0.0001,0.0001,0.0,0.0,2026-03
2463,2463,BINANCE_UM,ADAUSDT,2026-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,0.0,-0.00028234,-0.00028234,0.0,0.0,2026-04
2553,2553,BINANCE_UM,AVAXUSDT,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.0,0.0002531,0.0002531,0.0,0.0,2024-01
2646,2646,BINANCE_UM,AVAXUSDT,2024-02-01 00:00:00+00:00,2024-02-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-02
2733,2733,BINANCE_UM,AVAXUSDT,2024-03-01 00:00:00+00:00,2024-03-01 00:00:00+00:00,0.0,0.00059715,0.00059715,0.0,0.0,2024-03
2826,2826,BINANCE_UM,AVAXUSDT,2024-04-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,0.0,0.00083806,0.00083806,0.0,0.0,2024-04
2916,2916,BINANCE_UM,AVAXUSDT,2024-05-01 00:00:00+00:00,2024-05-01 00:00:00+00:00,0.0,-0.00010209,-0.00010209,0.0,0.0,2024-05
3009,3009,BINANCE_UM,AVAXUSDT,2024-06-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-06
3099,3099,BINANCE_UM,AVAXUSDT,2024-07-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-07
3192,3192,BINANCE_UM,AVAXUSDT,2024-08-01 00:00:00+00:00,2024-08-01 00:00:00+00:00,0.0,-8.588e-05,-8.588e-05,0.0,0.0,2024-08
3285,3285,BINANCE_UM,AVAXUSDT,2024-09-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,0.0,-2.813e-05,-2.813e-05,0.0,0.0,2024-09
3375,3375,BINANCE_UM,AVAXUSDT,2024-10-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,0.0,-1.538e-05,-1.538e-05,0.0,0.0,2024-10
3468,3468,BINANCE_UM,AVAXUSDT,2024-11-01 00:00:00+00:00,2024-11-01 00:00:00+00:00,0.0,-0.00044336,-0.00044336,0.0,0.0,2024-11
3558,3558,BINANCE_UM,AVAXUSDT,2024-12-01 00:00:00+00:00,2024-12-01 00:00:00+00:00,0.0,0.00023396,0.00023396,0.0,0.0,2024-12
3651,3651,BINANCE_UM,AVAXUSDT,2025-01-01 00:00:00.015000+00:00,2025-01-01 00:00:00.015000+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-01
3744,3744,BINANCE_UM,AVAXUSDT,2025-02-01 00:00:00+00:00,2025-02-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-02
3828,3828,BINANCE_UM,AVAXUSDT,2025-03-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,0.0,6.07e-05,6.07e-05,0.0,0.0,2025-03
3921,3921,BINANCE_UM,AVAXUSDT,2025-04-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,0.0,-8.87e-05,-8.87e-05,0.0,0.0,2025-04
4011,4011,BINANCE_UM,AVAXUSDT,2025-05-01 00:00:00+00:00,2025-05-01 00:00:00+00:00,0.0,3.621e-05,3.621e-05,0.0,0.0,2025-05
4104,4104,BINANCE_UM,AVAXUSDT,2025-06-01 00:00:00.001000+00:00,2025-06-01 00:00:00.001000+00:00,0.0,-4.205e-05,-4.205e-05,0.0,0.0,2025-06
4194,4194,BINANCE_UM,AVAXUSDT,2025-07-01 00:00:00.007000+00:00,2025-07-01 00:00:00.007000+00:00,0.0,5.998e-05,5.998e-05,0.0,0.0,2025-07
4287,4287,BINANCE_UM,AVAXUSDT,2025-08-01 00:00:00.001000+00:00,2025-08-01 00:00:00.001000+00:00,0.0,-5.463e-05,-5.463e-05,0.0,0.0,2025-08
4380,4380,BINANCE_UM,AVAXUSDT,2025-09-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,0.0,-9.98e-06,-9.98e-06,0.0,0.0,2025-09
4470,4470,BINANCE_UM,AVAXUSDT,2025-10-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-10
4563,4563,BINANCE_UM,AVAXUSDT,2025-11-01 00:00:00.001000+00:00,2025-11-01 00:00:00.001000+00:00,0.0,-5.841e-05,-5.841e-05,0.0,0.0,2025-11
4653,4653,BINANCE_UM,AVAXUSDT,2025-12-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,0.0,-0.00022615,-0.00022615,0.0,0.0,2025-12
4746,4746,BINANCE_UM,AVAXUSDT,2026-01-01 00:00:00.008000+00:00,2026-01-01 00:00:00.008000+00:00,0.0,-0.00032128,-0.00032128,0.0,0.0,2026-01
4839,4839,BINANCE_UM,AVAXUSDT,2026-02-01 00:00:00.001000+00:00,2026-02-01 00:00:00.001000+00:00,0.0,-0.00027652,-0.00027652,0.0,0.0,2026-02
4923,4923,BINANCE_UM,AVAXUSDT,2026-03-01 00:00:00.005000+00:00,2026-03-01 00:00:00.005000+00:00,0.0,0.0001,0.0001,0.0,0.0,2026-03
5016,5016,BINANCE_UM,AVAXUSDT,2026-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,0.0,4.414e-05,4.414e-05,0.0,0.0,2026-04
5106,5106,BINANCE_UM,BCHUSDT,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-01
5199,5199,BINANCE_UM,BCHUSDT,2024-02-01 00:00:00+00:00,2024-02-01 00:00:00+00:00,0.0,-0.00015839,-0.00015839,0.0,0.0,2024-02
5286,5286,BINANCE_UM,BCHUSDT,2024-03-01 00:00:00+00:00,2024-03-01 00:00:00+00:00,0.0,0.00031137,0.00031137,0.0,0.0,2024-03
5379,5379,BINANCE_UM,BCHUSDT,2024-04-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,0.0,0.00103245,0.00103245,0.0,0.0,2024-04
5469,5469,BINANCE_UM,BCHUSDT,2024-05-01 00:00:00+00:00,2024-05-01 00:00:00+00:00,0.0,-0.00028846,-0.00028846,0.0,0.0,2024-05
5562,5562,BINANCE_UM,BCHUSDT,2024-06-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,0.0,-5.998e-05,-5.998e-05,0.0,0.0,2024-06
5652,5652,BINANCE_UM,BCHUSDT,2024-07-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-07
5745,5745,BINANCE_UM,BCHUSDT,2024-08-01 00:00:00+00:00,2024-08-01 00:00:00+00:00,0.0,6.975e-05,6.975e-05,0.0,0.0,2024-08
5838,5838,BINANCE_UM,BCHUSDT,2024-09-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,0.0,-0.00021509,-0.00021509,0.0,0.0,2024-09
5928,5928,BINANCE_UM,BCHUSDT,2024-10-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,0.0,-5.662e-05,-5.662e-05,0.0,0.0,2024-10
6021,6021,BINANCE_UM,BCHUSDT,2024-11-01 00:00:00+00:00,2024-11-01 00:00:00+00:00,0.0,8.413e-05,8.413e-05,0.0,0.0,2024-11
6111,6111,BINANCE_UM,BCHUSDT,2024-12-01 00:00:00+00:00,2024-12-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-12
