candidate_id,expression,fields,field_families,pattern_id,oi_field,price_field,oi_window,price_window,windows,skeleton_key,production_key,parent_seed_id,source,deterministic_order_key,selected_for_fast_replay,q_decision,q_reasons,q_warnings,q_label_t1_positive_premay_splits,q_label_t2_positive_premay_splits,q_one_bar_lag_positive_premay_splits,q_timevarying_latent_positive_premay_splits,q_net_10bps_positive_premay_splits,q_control_ratio_premay_max_by_split,q_recent_net_mean_spread_10bps,q_recent_turnover,q_recent_newey_west_tstat_lag24,q_selector_score_no_may,r_decision,r_reasons,r_warnings,r_label_t1_positive_premay_splits,r_label_t2_positive_premay_splits,r_one_bar_lag_positive_premay_splits,r_latent_positive_premay_splits,r_net_10bps_positive_premay_splits,r_control_ratio_premay_max,r_top_symbol_abs_contribution_share,r_top_month_abs_contribution_share,r_top_latent_abs_contribution_share,s_a7al2s_tier,s_allowed_as_seed_for_large_search,s_allowed_as_seed_for_company_full_qr_comparison,s_allowed_for_may_stress_failure_attribution,s_allowed_for_local_expansion_before_full_pool,s_premay_positive_split_count,s_pre_may_control_ratio_max,s_may_control_ratio_max,s_may_gate_max,t_entry_rows,t_failure_labels,t_may_sign_flip_rows,t_may_control_dominated_rows,t_may_min_spread,t_may_mean_spread,t_premay_mean_spread,t_eligible_for_expansion,in_a7al2q_generated,in_a7al2q_fast_replay,in_a7al2r_forensic,in_a7al2s_followup,in_a7al2t_may_attribution,shared_pool_stage,has_repaired_canonical_chain,is_control_dominated_premay,is_may_stress_failed,eligible_for_large_search,eligible_for_alpha_proof,selector_feature_replay_alignment_score,selector_feature_latency_survival_score,selector_feature_neutral_survival_score,selector_feature_cost_survival_score,selector_feature_robust_stat_score,selector_feature_spread_score,selector_feature_control_penalty,selector_feature_turnover_penalty,selector_feature_concentration_penalty,selector_hard_reject_reason,selector_score_no_may,selector_score_uses_may,selected_by_a7al2v,signal_vector_cluster_id,max_corr_to_other_signal_vector,selected_by_a7al2w,a7al2w_queue_reason,a7al2w_max_corr_to_selected_before_pick
a7al2q_1378ff7d2322adee,"Sub(Abs(ZScore(Mean(open_interest_value_last,24))),Abs(ZScore(Mean(trade_close,8))))",open_interest_value_last|trade_close,open_interest|price,abs_level_gap,open_interest_value_last,trade_close,24,8,24|8,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|trade_close::24|8,,local_mutation,0024b4ba9e3b7dd9,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,3.0,0.5977895485931952,0.0020192349055928,0.0049589823946907,,13.921445356999644,A7AL2R_LOCAL_FORENSIC_PASS,,,3.0,3.0,3.0,3.0,3.0,0.5977895485931952,0.0445498272264011,0.2897293591915247,0.2035102347394666,primary_clean_premay__may_control_dominated,False,False,True,False,4.0,0.8716560101906301,1.1844655797854338,HOLD_CONTROL_DOMINATED,2.0,MAY_SIGN_FLIP|MAY_CONTROL_DOMINATED,2.0,2.0,-0.0018621614500395,-0.0018518846569548,0.001755270810517,False,True,True,True,True,True,stress_attributed,True,False,True,False,False,1.0,1.0,0.5,1.0,0.0,0.7375703914674848,0.2988947742965976,0.0054401350654223,0.2897293591915247,,3.36419934,False,True,svc_015,0.9790223685271872,True,selected_strict_diversity,0.0
a7al2q_69d146749c30da3c,"Sub(Abs(ZScore(Mean(open_interest_value_mean,8))),Abs(ZScore(Mean(index_close,12))))",index_close|open_interest_value_mean,open_interest|price,abs_level_gap,open_interest_value_mean,index_close,8,12,8|12,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_mean|index_close::8|12,,local_mutation,0089060360bb28d3,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,3.0,0.6386744001375635,0.002076146952258,0.0068762097889206,,13.937472552120497,A7AL2R_LOCAL_FORENSIC_PASS,,,3.0,3.0,3.0,3.0,3.0,0.6386744001375635,0.0449619372406618,0.2969904166274211,0.2029412537152442,primary_clean_premay__may_control_dominated,False,False,True,False,4.0,1.049028058407117,2.047495730206119,HOLD_CONTROL_DOMINATED,2.0,MAY_SIGN_FLIP|MAY_CONTROL_DOMINATED,2.0,2.0,-0.0018072072312029,-0.0017665200614218,0.001828299295033,False,True,True,True,True,True,stress_attributed,True,False,True,False,False,1.0,1.0,0.5,1.0,0.0,0.744662263122336,0.3193372000687817,0.0078788163016461,0.2969904166274211,,3.3357056,False,True,svc_008,0.9664563792634604,False,skip_selected_queue_corr_ge_0.9,0.9327494387752833
a7al2q_0de0d41346741bd1,"Sub(Abs(ZScore(Mean(open_interest_value_last,24))),Abs(ZScore(Mean(trade_close,24))))",open_interest_value_last|trade_close,open_interest|price,abs_level_gap,open_interest_value_last,trade_close,24,24,24|24,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|trade_close::24|24,,local_mutation,0041dfda1ad09e43,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,3.0,0.6049334484305215,0.0019896866149119,0.0048115033643653,,13.884753166481424,A7AL2R_LOCAL_FORENSIC_PASS,,,3.0,3.0,3.0,3.0,3.0,0.6438314312964573,0.0445558048280246,0.2892728857383039,0.2036129071849568,primary_clean_premay__may_control_dominated,False,False,True,False,4.0,0.864621324308874,1.215722607865385,HOLD_CONTROL_DOMINATED,2.0,MAY_SIGN_FLIP|MAY_CONTROL_DOMINATED,2.0,2.0,-0.0018528277024546,-0.0018441812191608,0.0017405768373257,False,True,True,True,True,True,stress_attributed,True,False,True,False,False,1.0,1.0,0.5,1.0,0.0,0.7338883470250853,0.3219157156482286,0.0052525442010973,0.2892728857383039,,3.32987059,False,True,svc_008,0.9637534172188452,False,skip_selected_queue_corr_ge_0.9,0.933076744554425
a7al2q_f00f22bbcc48dc2c,"Sub(Abs(ZScore(Mean(open_interest_value_mean,48))),Abs(ZScore(Mean(index_close,96))))",index_close|open_interest_value_mean,open_interest|price,abs_level_gap,open_interest_value_mean,index_close,48,96,48|96,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_mean|index_close::48|96,,local_mutation,0034c35fee8a3080,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,3.0,0.7371290356519459,0.0018263690736925,0.0030970596368328,,13.589240038040616,A7AL2R_LOCAL_FORENSIC_PASS,,,3.0,3.0,3.0,3.0,3.0,0.7371290356519459,0.0450271148930863,0.2852357571105751,0.2046259429881021,primary_clean_premay__may_control_dominated,False,False,True,False,4.0,0.7625024999687683,2.7761562178053643,HOLD_CONTROL_DOMINATED,2.0,MAY_SIGN_FLIP|MAY_CONTROL_DOMINATED,2.0,2.0,-0.0015547433524247,-0.0015465942422031,0.001635925540385,False,True,True,True,True,True,stress_attributed,True,False,True,False,False,1.0,1.0,0.5,1.0,0.0,0.7135371716732756,0.3685645178259729,0.0030718004033203,0.2852357571105751,,3.25411583,False,True,svc_008,0.9637994481067866,False,skip_selected_queue_corr_ge_0.9,0.9387829439450973
a7al2q_5da100b2822dc1a6,"Sub(Abs(ZScore(Mean(open_interest_value_last,24))),Abs(ZScore(Mean(mark_close,504))))",mark_close|open_interest_value_last,open_interest|price,abs_level_gap,open_interest_value_last,mark_close,24,504,24|504,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|mark_close::24|504,,local_mutation,00d1f2c1b288b509,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,3.0,0.6678080866883747,0.0019715324048275,0.0046271545764586,,13.803724318139173,A7AL2R_LOCAL_FORENSIC_PASS,,,3.0,3.0,3.0,3.0,3.0,0.7821360461711647,0.0444900371846226,0.2865330406113265,0.2028933167484852,primary_clean_premay__may_control_dominated,False,False,True,False,4.0,0.8357258792210284,2.04793252723278,HOLD_CONTROL_DOMINATED,2.0,MAY_SIGN_FLIP|MAY_CONTROL_DOMINATED,2.0,2.0,-0.0017047660235598,-0.0017014596239658,0.0017018057070277,False,True,True,True,True,True,stress_attributed,True,False,True,False,False,1.0,1.0,0.5,1.0,0.0,0.7316261312824119,0.3910680230855823,0.0050180556206912,0.2865330406113265,,3.23303891,False,False,svc_039,0.9664563792634604,False,skip_selected_queue_corr_ge_0.9,0.9386271463141918
a7al2q_132c2a7c6c4a9142,"Sub(Abs(ZScore(Mean(open_interest_value_mean,168))),Abs(ZScore(Mean(trade_close,504))))",open_interest_value_mean|trade_close,open_interest|price,abs_level_gap,open_interest_value_mean,trade_close,168,504,168|504,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_mean|trade_close::168|504,,local_mutation,01043d7990fe61d6,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|control_close|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,3.0,0.8147654685480294,0.0019186764415893,0.0018619227578578,,13.603910973041293,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,3.0,3.0,3.0,3.0,3.0,0.8147654685480294,0.0447030778873562,0.2818882560000429,0.2072343562073227,watchlist_control_close__may_control_dominated,False,False,True,False,4.0,0.9812118076400712,1.2192282763605269,HOLD_CONTROL_DOMINATED,2.0,MAY_SIGN_FLIP|MAY_CONTROL_DOMINATED|PREMAY_CONTROL_CLOSE,2.0,2.0,-0.0016426349630539,-0.0016354241345934,0.0015695892228497,False,True,True,True,True,True,stress_attributed,True,False,True,False,False,1.0,1.0,0.5,1.0,0.0,0.7250396925678814,0.4073827342740147,0.0015007269145992,0.2818882560000429,,3.20947059,False,False,svc_014,0.938913950631998,False,skip_selected_queue_corr_ge_0.9,0.924453979297633
a7al2q_d6f7ebc0dbbdda7a,"Sub(Abs(ZScore(Mean(open_interest_value_last,48))),Abs(ZScore(Mean(index_close,12))))",index_close|open_interest_value_last,open_interest|price,abs_level_gap,open_interest_value_last,index_close,48,12,48|12,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|index_close::48|12,a7al2k_046e806368e99c76,seed_exact,13d8427a6de9f020,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|control_close|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,3.0,0.8138625769990896,0.0018480018389518,0.0032629735459489,,13.534139261952776,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,3.0,3.0,3.0,3.0,3.0,0.8138625769990896,0.0450585090983562,0.2865316235260094,0.2046041151414527,watchlist_control_close__may_control_dominated,False,False,True,False,4.0,0.829293498674171,1.9656091495260264,HOLD_CONTROL_DOMINATED,2.0,MAY_SIGN_FLIP|MAY_CONTROL_DOMINATED|PREMAY_CONTROL_CLOSE,2.0,2.0,-0.001667950704125,-0.0016618385678215,0.0016764323895842,False,True,True,True,True,True,stress_attributed,True,False,True,False,False,1.0,1.0,0.5,1.0,0.0,0.7162328539364877,0.4069312884995448,0.0032828401256859,0.2865316235260094,,3.20143275,False,False,svc_008,0.9790223685271872,False,skip_selected_queue_corr_ge_0.9,0.9790223685271872
a7al2q_6671d1fac5e57efe,"Sub(Abs(ZScore(Mean(open_interest_value_last,168))),Abs(ZScore(Mean(index_close,336))))",index_close|open_interest_value_last,open_interest|price,abs_level_gap,open_interest_value_last,index_close,168,336,168|336,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|index_close::168|336,a7al2k_0a247ec03472983b,seed_exact,2fb22eef8827a158,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|control_close|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,3.0,0.8901761602600439,0.0018767100449652,0.0018987925154392,,13.486533884705215,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,3.0,3.0,3.0,3.0,3.0,0.8901761602600439,0.0449654771741479,0.2787882254441636,0.2069863582303616,watchlist_control_close__may_control_dominated,False,False,True,False,4.0,0.979673889287454,1.1301620202730456,HOLD_CONTROL_DOMINATED,2.0,MAY_SIGN_FLIP|MAY_CONTROL_DOMINATED|PREMAY_CONTROL_CLOSE,2.0,2.0,-0.0017066665677292,-0.0016973671434801,0.0015652644347946,False,True,True,True,True,True,stress_attributed,True,False,True,False,False,1.0,1.0,0.5,1.0,0.0,0.7198102145203684,0.4450880801300219,0.0015476246306805,0.2787882254441636,,3.15481755,False,False,svc_015,0.9589565739175904,False,skip_same_signal_vector_cluster,
a7al2q_a4993fe3273bf0c8,"Sub(Abs(ZScore(Mean(open_interest_value_last,12))),Abs(ZScore(Mean(trade_close,72))))",open_interest_value_last|trade_close,open_interest|price,abs_level_gap,open_interest_value_last,trade_close,12,72,12|72,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|trade_close::12|72,,local_mutation,01e1791b4f05e81f,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,3.0,0.6664196226160567,0.002062825715511,0.005899161213015,,13.896406092895004,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,3.0,3.0,3.0,3.0,3.0,0.9553990254446422,0.0445405875831374,0.296252764575212,0.2029201015411791,watchlist_control_close__may_control_dominated,False,False,True,False,4.0,1.0468969756315754,1.6344406631131283,HOLD_CONTROL_DOMINATED,2.0,MAY_SIGN_FLIP|MAY_CONTROL_DOMINATED|PREMAY_CONTROL_CLOSE,2.0,2.0,-0.0018559170194277,-0.0018245250740785,0.0018085449515902,False,True,True,True,True,True,stress_attributed,True,False,True,False,False,1.0,1.0,0.5,1.0,0.0,0.7430022894115087,0.4776995127223211,0.0066360268254936,0.296252764575212,,3.11372318,False,False,svc_065,0.9450112568746184,True,selected_strict_diversity,0.8945560120210092
a7al2q_2ec6136e6ff32eb3,"Sub(Abs(ZScore(Mean(open_interest_value_mean,96))),Abs(ZScore(Mean(mark_close,12))))",mark_close|open_interest_value_mean,open_interest|price,abs_level_gap,open_interest_value_mean,mark_close,96,12,96|12,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_mean|mark_close::96|12,,local_mutation,0056c8d8c318cda6,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|control_close|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,3.0,0.9289268616254808,0.0017327007563599,0.002525578394322,,13.303773894734444,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,3.0,3.0,3.0,3.0,3.0,0.9289268616254808,0.0446373549356572,0.2836110120897562,0.2071387060820405,watchlist_control_close__may_control_dominated,False,False,True,False,4.0,0.9407864098624512,1.1756319463379306,HOLD_CONTROL_DOMINATED,2.0,MAY_SIGN_FLIP|MAY_CONTROL_DOMINATED|PREMAY_CONTROL_CLOSE,2.0,2.0,-0.0018924069640681,-0.0018774278785864,0.0015580063913768,False,True,True,True,True,True,stress_attributed,True,False,True,False,False,1.0,1.0,0.5,1.0,0.0,0.7018650613983368,0.4644634308127404,0.0023448858040613,0.2836110120897562,,3.11333727,False,False,svc_008,0.9637534172188452,False,skip_selected_queue_corr_ge_0.9,0.9450112568746185
