candidate_id,expression,objective_family,source_stage,field_families,fields,operator_signature,window_signature,skeleton_key,production_key,historical_source_ok,field_lineage_ok,pit_policy_ok,negative_control_attached,selected_for_family_balanced_preflight,preflight_decision,shared_pool_stage,control_modes
a7al2x3_c6d040e141ee4a7a,"Mul(Winsor(ZScore(Delta(open_interest_last,12))),Winsor(ZScore(Delta(index_close,12))))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Delta|Mul|Winsor|ZScore,12,skeleton-0f95d494e3163e7b,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Delta|Mul|Winsor|ZScore::12,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_a685d04007266d3e,"Mul(Sign(Delta(open_interest_last,12)),Rank(Delta(index_close,12)))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Delta|Mul|Rank|Sign,12,skeleton-57a021ebecabcc57,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Delta|Mul|Rank|Sign::12,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_7ea2d37cbc880c31,"Sub(ZScore(Delta(open_interest_last,12)),ZScore(Delta(index_close,12)))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Delta|Sub|ZScore,12,skeleton-7bb80280bed53044,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Delta|Sub|ZScore::12,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_e2d80967eacd522d,"Sub(Rank(Mean(Delta(open_interest_last,12),12)),Rank(Mean(Delta(index_close,12),12)))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Delta|Mean|Rank|Sub,12,skeleton-97885bc9cf5b75ae,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Delta|Mean|Rank|Sub::12,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_45f95ac3577b7530,"Add(ZScore(Delta(open_interest_last,12)),Neg(ZScore(Delta(index_close,12))))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Add|Delta|Neg|ZScore,12,skeleton-ce90f730823c326b,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Add|Delta|Neg|ZScore::12,True,True,True,True,False,,dry_generated,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_d8c70a3d4844c27b,"Sub(Abs(ZScore(Delta(open_interest_last,12))),Abs(ZScore(Delta(index_close,12))))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Abs|Delta|Sub|ZScore,12,skeleton-df45a983764233a6,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Abs|Delta|Sub|ZScore::12,True,True,True,True,False,,dry_generated,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_b952dbdf91861b7e,"Mul(Clip(ZScore(Delta(open_interest_last,12))),Sign(Delta(index_close,12)))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Clip|Delta|Mul|Sign|ZScore,12,skeleton-feb27d2488d27cee,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Clip|Delta|Mul|Sign|ZScore::12,True,True,True,True,False,,dry_generated,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_66e1442493b16731,"Mul(Winsor(ZScore(Delta(open_interest_last,168))),Winsor(ZScore(Delta(index_close,12))))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Delta|Mul|Winsor|ZScore,12|168,skeleton-0f95d494e3163e7b,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Delta|Mul|Winsor|ZScore::12|168,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_1c279a7fbcfa6e13,"Mul(Sign(Delta(open_interest_last,12)),Rank(Delta(index_close,168)))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Delta|Mul|Rank|Sign,12|168,skeleton-57a021ebecabcc57,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Delta|Mul|Rank|Sign::12|168,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_3e4ba1b6fdb0397c,"Sub(ZScore(Delta(open_interest_last,168)),ZScore(Delta(index_close,12)))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Delta|Sub|ZScore,12|168,skeleton-7bb80280bed53044,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Delta|Sub|ZScore::12|168,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
