interaction_family,left_field,left_family,right_field,right_family,transform,operator,blueprint_id
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_delta_4h
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate,funding,delta_4h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_SafeDiv_funding_rate_delta_4h
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate,funding,delta_24h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_delta_24h
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate,funding,delta_24h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_SafeDiv_funding_rate_delta_24h
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate,funding,zscore_168h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_zscore_168h
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate,funding,zscore_168h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_SafeDiv_funding_rate_zscore_168h
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate_abs_168h,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_abs_168h_delta_4h
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate_abs_168h,funding,delta_4h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_SafeDiv_funding_rate_abs_168h_delta_4h
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate_abs_168h,funding,delta_24h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_abs_168h_delta_24h
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate_abs_168h,funding,delta_24h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_SafeDiv_funding_rate_abs_168h_delta_24h
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate_abs_168h,funding,zscore_168h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_abs_168h_zscore_168h
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate_abs_168h,funding,zscore_168h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_SafeDiv_funding_rate_abs_168h_zscore_168h
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate_mean_168h,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_mean_168h_delta_4h
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate_mean_168h,funding,delta_4h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_SafeDiv_funding_rate_mean_168h_delta_4h
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate_mean_168h,funding,delta_24h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_mean_168h_delta_24h
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate_mean_168h,funding,delta_24h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_SafeDiv_funding_rate_mean_168h_delta_24h
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate_mean_168h,funding,zscore_168h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_mean_168h_zscore_168h
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate_mean_168h,funding,zscore_168h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_SafeDiv_funding_rate_mean_168h_zscore_168h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_Mul_funding_rate_delta_4h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate,funding,delta_4h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_SafeDiv_funding_rate_delta_4h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate,funding,delta_24h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_Mul_funding_rate_delta_24h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate,funding,delta_24h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_SafeDiv_funding_rate_delta_24h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate,funding,zscore_168h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_Mul_funding_rate_zscore_168h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate,funding,zscore_168h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_SafeDiv_funding_rate_zscore_168h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate_abs_168h,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_Mul_funding_rate_abs_168h_delta_4h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate_abs_168h,funding,delta_4h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_SafeDiv_funding_rate_abs_168h_delta_4h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate_abs_168h,funding,delta_24h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_Mul_funding_rate_abs_168h_delta_24h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate_abs_168h,funding,delta_24h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_SafeDiv_funding_rate_abs_168h_delta_24h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate_abs_168h,funding,zscore_168h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_Mul_funding_rate_abs_168h_zscore_168h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate_abs_168h,funding,zscore_168h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_SafeDiv_funding_rate_abs_168h_zscore_168h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate_mean_168h,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_Mul_funding_rate_mean_168h_delta_4h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate_mean_168h,funding,delta_4h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_SafeDiv_funding_rate_mean_168h_delta_4h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate_mean_168h,funding,delta_24h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_Mul_funding_rate_mean_168h_delta_24h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate_mean_168h,funding,delta_24h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_SafeDiv_funding_rate_mean_168h_delta_24h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate_mean_168h,funding,zscore_168h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_Mul_funding_rate_mean_168h_zscore_168h
I1_OI_delta_x_funding_abs,open_interest_value_last,open_interest,funding_rate_mean_168h,funding,zscore_168h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_value_last_SafeDiv_funding_rate_mean_168h_zscore_168h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_Mul_funding_rate_delta_4h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate,funding,delta_4h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_SafeDiv_funding_rate_delta_4h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate,funding,delta_24h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_Mul_funding_rate_delta_24h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate,funding,delta_24h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_SafeDiv_funding_rate_delta_24h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate,funding,zscore_168h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_Mul_funding_rate_zscore_168h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate,funding,zscore_168h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_SafeDiv_funding_rate_zscore_168h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate_abs_168h,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_Mul_funding_rate_abs_168h_delta_4h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate_abs_168h,funding,delta_4h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_SafeDiv_funding_rate_abs_168h_delta_4h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate_abs_168h,funding,delta_24h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_Mul_funding_rate_abs_168h_delta_24h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate_abs_168h,funding,delta_24h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_SafeDiv_funding_rate_abs_168h_delta_24h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate_abs_168h,funding,zscore_168h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_Mul_funding_rate_abs_168h_zscore_168h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate_abs_168h,funding,zscore_168h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_SafeDiv_funding_rate_abs_168h_zscore_168h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate_mean_168h,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_Mul_funding_rate_mean_168h_delta_4h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate_mean_168h,funding,delta_4h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_SafeDiv_funding_rate_mean_168h_delta_4h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate_mean_168h,funding,delta_24h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_Mul_funding_rate_mean_168h_delta_24h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate_mean_168h,funding,delta_24h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_SafeDiv_funding_rate_mean_168h_delta_24h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate_mean_168h,funding,zscore_168h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_Mul_funding_rate_mean_168h_zscore_168h
I1_OI_delta_x_funding_abs,open_interest_change_24h,open_interest,funding_rate_mean_168h,funding,zscore_168h,SafeDiv,core16ge_I1_OI_delta_x_funding_abs_open_interest_change_24h_SafeDiv_funding_rate_mean_168h_zscore_168h
