label_families,packet_rows
L0_raw_forward_return;L1_cross_sectional_relative_return,9
L0_raw_forward_return;L1_cross_sectional_relative_return;L3_liquidity_tier_relative_return,10
L0_raw_forward_return;L1_cross_sectional_relative_return;L3_liquidity_tier_relative_return;L5_vol_adjusted_return,1
L3_liquidity_tier_relative_return,3
L5_vol_adjusted_return,2
