blueprint_id,expression,clue_rows,label_family_count,label_families,horizon_count,horizons,source_info_axis,next_wave_family,semantic_pair,motif,skeleton_key,production_key,min_control_ratio,median_control_ratio,max_robust_min_tstat,median_robust_min_tstat,max_lag_recent,max_cost10_recent,shortlist_best_score,candidate_score,consolidation_status,a7ls13_packet_rank,a7ls13_packet_role
a7ls9_13b0747d7cd8a637,"Mul(ZScore(Mean(premium_close_bps,168)),ZScore(Mean(basis_abs_168h,168)))",18,4,L0_raw_forward_return;L1_cross_sectional_relative_return;L3_liquidity_tier_relative_return;L5_vol_adjusted_return,4,1;4;8;24,raw_multi_axis,raw_multi_axis_probe,basis_premium|basis_premium,raw_typed_mul,skel_045f5659236f4c63,prod_3d61416a04d33c09,0.4426248538845634,0.8160473030592106,1.3518958644436143,0.9857490745106751,0.209399660096392,0.2087334595108101,457.7004582460698,636.839831041307,priority_multi_label,1,consolidated_replay_candidate
a7ls9_db1bf403691c180d,"Mul(Delta(realized_vol_72h,168),ZScore(Mean(liquidity_rank_active_universe,168)))",7,3,L0_raw_forward_return;L1_cross_sectional_relative_return;L3_liquidity_tier_relative_return,4,1;4;8;24,vol_liquidity_x_basis,vol_liquidity_interaction,volatility_like|liquidity_rank_active_universe,typed_interaction,skel_3ff54a6654b242d3,prod_8b056bc12360ccd4,0.6319615628357301,0.8071252304135432,0.8870915569132085,0.5213899640893639,0.0075204240945385,0.0057168312681299,43.006579648585806,431.2991427866845,priority_multi_label,2,consolidated_replay_candidate
a7ls9_d7a773685af27a8b,"Mul(Abs(ZScore(Mean(premium_abs_168h,72))),ZScore(Mean(taker_buy_sell_volume_ratio_last,72)))",9,3,L0_raw_forward_return;L1_cross_sectional_relative_return;L3_liquidity_tier_relative_return,3,4;8;24,raw_multi_axis,raw_multi_axis_probe,basis_premium|positioning_flow,raw_abs_state,skel_ef7cc2ad85d60bf9,prod_bf1926105090e0f0,0.4912593460954589,0.694348773005992,1.282239978808059,0.9090679538933212,0.0026690204060275,0.0006738051025173,57.076850044471335,429.7384327338363,priority_multi_label,3,consolidated_replay_candidate
a7ls9_0c00218805a15710,"Mul(Abs(ZScore(Mean(basis_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,24))))",23,3,L0_raw_forward_return;L1_cross_sectional_relative_return;L3_liquidity_tier_relative_return,3,4;8;24,vol_liquidity_x_basis,basis_context_interaction,basis_premium_like|age_x_volatility,basis_abs_gate,skel_a48d4f61289851a6,prod_8798ec5798472960,0.7006231129010496,0.8590699326696849,2.49152446600609,2.249933276726988,0.0048908886238223,0.0029379845882931,44.77633394546194,420.1134540857137,multi_label_control_clean,4,consolidated_replay_candidate
a7ls9_a5baef25254e750a,"Mul(ZScore(Mean(basis_abs_168h,24)),ZScore(Mean(premium_abs_168h,24)))",35,3,L0_raw_forward_return;L1_cross_sectional_relative_return;L3_liquidity_tier_relative_return,3,4;8;24,raw_multi_axis,raw_multi_axis_probe,basis_premium|basis_premium,raw_typed_mul,skel_8cb0abec7e5d45e7,prod_85dd1a672ca1c4d5,0.708683317907577,0.7588286761632018,1.7436370171882052,1.5498288600262051,0.0033718265885501,0.0013745607755381,38.83405056076721,410.92608217360987,multi_label_control_clean,5,consolidated_replay_candidate
a7ls9_9060064e491093b0,"Mul(Abs(ZScore(Mean(basis_abs_168h,72))),ZScore(Mean(taker_buy_sell_volume_ratio_last,72)))",4,3,L0_raw_forward_return;L1_cross_sectional_relative_return;L3_liquidity_tier_relative_return,2,4;8,raw_multi_axis,raw_multi_axis_probe,basis_premium|positioning_flow,raw_abs_state,skel_236de345d469127b,prod_40f14544127b4340,0.5628423829191963,0.7475712585424461,1.3617704230538596,1.1009399736472423,0.0011097336024484,-0.0008759668052192,51.11523133264057,402.5559624321279,priority_multi_label,6,consolidated_replay_candidate
a7ls9_164ffbbc7312fdc6,"Mul(Abs(ZScore(Mean(realized_vol_168h,168))),ZScore(Mean(volume_volatility_ratio_168h,168)))",7,3,L0_raw_forward_return;L1_cross_sectional_relative_return;L3_liquidity_tier_relative_return,3,4;8;24,vol_liquidity_x_basis,vol_liquidity_interaction,volatility_like|volume_volatility_ratio_168h,abs_state_interaction,skel_df80f8d3e6d95ae3,prod_cb0b5968545ab16c,0.7779458203449603,0.9050406087062032,1.7674049191702856,1.644804691702958,0.0034363019078708,0.0014815340591494,0.0,400.37125075390884,multi_label_control_clean,7,consolidated_replay_candidate
a7ls9_f131878ada5f7bdb,"Mul(Abs(ZScore(Mean(premium_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12))))",5,3,L0_raw_forward_return;L1_cross_sectional_relative_return;L3_liquidity_tier_relative_return,1,24,vol_liquidity_x_basis,basis_context_interaction,basis_premium_like|age_x_volatility,basis_abs_gate,skel_6ef80d25d0bfaa17,prod_2a2f2e27fa48743e,0.4827376293989953,0.5628833312622604,2.0996989231646648,2.0996989231646643,0.0039353463136527,0.0020439969022577,68.2040748918342,400.14156810252155,priority_multi_label,8,consolidated_replay_candidate
a7ls9_1d98ff9117e75a6f,"Mul(Abs(ZScore(Mean(trade_return_24h,504))),ZScore(Mean(volume_volatility_ratio_168h,504)))",16,3,L0_raw_forward_return;L1_cross_sectional_relative_return;L3_liquidity_tier_relative_return,2,8;24,vol_liquidity_x_basis,vol_liquidity_interaction,volatility_like|volume_volatility_ratio_168h,abs_state_interaction,skel_0b7da1bf94010641,prod_e3e6c03018bf0a66,0.6605941222384033,0.769144888143724,1.531965420565859,1.032575812682003,0.0038822641323237,0.0019118699628312,45.423663279827046,394.3820217193164,priority_multi_label,9,consolidated_replay_candidate
a7ls9_a86ac02d201ae3f4,"Mul(ZScore(Mean(age_x_volatility,24)),Abs(ZScore(Mean(basis_abs_168h,24))))",3,3,L0_raw_forward_return;L1_cross_sectional_relative_return;L3_liquidity_tier_relative_return,1,24,listing_x_basis_regime,listing_state_interaction,listing_age_like|regime_state,age_abs_state,skel_b5524cfee7bab833,prod_b09a864c1a4ec386,0.6409137595403798,0.8770794655875079,2.021072200709288,2.002639089353987,0.0054296625538617,0.0035140173873182,53.99236553938096,382.412950601111,priority_multi_label,10,consolidated_replay_candidate
