candidate_id,expression,fields,field_families,pattern_id,oi_field,price_field,oi_window,price_window,windows,skeleton_key,production_key,parent_seed_id,source,deterministic_order_key,selected_for_fast_replay,decision,reasons,warnings,label_t1_positive_premay_splits,label_t2_positive_premay_splits,one_bar_lag_positive_premay_splits,timevarying_latent_positive_premay_splits,timevarying_latent_audited,net_2bps_positive_premay_splits,net_5bps_positive_premay_splits,net_10bps_positive_premay_splits,control_ratio_premay_max_by_split,recent_net_mean_spread_10bps,recent_turnover,recent_newey_west_tstat_lag24,selector_score_no_may
a7al2q_1378ff7d2322adee,"Sub(Abs(ZScore(Mean(open_interest_value_last,24))),Abs(ZScore(Mean(trade_close,8))))",open_interest_value_last|trade_close,open_interest|price,abs_level_gap,open_interest_value_last,trade_close,24,8,24|8,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|trade_close::24|8,,local_mutation,0024b4ba9e3b7dd9,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3,3,3,,False,3,3,3,0.5977895485931952,0.0020192349055928372,0.004958982394690755,,13.921445356999643
a7al2q_f00f22bbcc48dc2c,"Sub(Abs(ZScore(Mean(open_interest_value_mean,48))),Abs(ZScore(Mean(index_close,96))))",index_close|open_interest_value_mean,open_interest|price,abs_level_gap,open_interest_value_mean,index_close,48,96,48|96,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_mean|index_close::48|96,,local_mutation,0034c35fee8a3080,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3,3,3,,False,3,3,3,0.7371290356519459,0.001826369073692563,0.0030970596368328873,,13.589240038040616
a7al2q_d6f7ebc0dbbdda7a,"Sub(Abs(ZScore(Mean(open_interest_value_last,48))),Abs(ZScore(Mean(index_close,12))))",index_close|open_interest_value_last,open_interest|price,abs_level_gap,open_interest_value_last,index_close,48,12,48|12,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|index_close::48|12,a7al2k_046e806368e99c76,seed_exact,13d8427a6de9f020,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|control_close|overlap_adjusted_recent_tstat_weak,3,3,3,,False,3,3,3,0.8138625769990896,0.0018480018389518647,0.0032629735459489347,,13.534139261952776
a7al2q_6671d1fac5e57efe,"Sub(Abs(ZScore(Mean(open_interest_value_last,168))),Abs(ZScore(Mean(index_close,336))))",index_close|open_interest_value_last,open_interest|price,abs_level_gap,open_interest_value_last,index_close,168,336,168|336,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|index_close::168|336,a7al2k_0a247ec03472983b,seed_exact,2fb22eef8827a158,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|control_close|overlap_adjusted_recent_tstat_weak,3,3,3,,False,3,3,3,0.8901761602600439,0.0018767100449652598,0.001898792515439211,,13.486533884705215
a7al2q_8e279dd3d23e1613,"Sub(Abs(ZScore(Delta(open_interest_last,336))),Abs(ZScore(Delta(trade_close,168))))",open_interest_last|trade_close,open_interest|price,abs_delta_gap,open_interest_last,trade_close,336,168,336|168,skeleton-65ce4cb2af0cf72a,a7al2q_local_oi_price::abs_delta_gap::open_interest_last|trade_close::336|168,,local_mutation,0027676a2169cd1a,True,HOLD_A7AL2Q_CONTROL_DOMINATED,control_dominated,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3,3,3,,False,3,3,3,1.8718382230555923,0.0004999618533164002,0.21769748363904506,,11.128123630260808
a7al2q_ceda68bb417b5cad,"Mul(Abs(ZScore(Mean(open_interest_value_last,336))),Abs(ZScore(Delta(index_close,96))))",index_close|open_interest_value_last,open_interest|price,oi_abs_x_price_abs_delta,open_interest_value_last,index_close,336,96,336|96,skeleton-5ca10905a35c5fca,a7al2q_local_oi_price::oi_abs_x_price_abs_delta::open_interest_value_last|index_close::336|96,,local_mutation,002fef3fce4df845,True,HOLD_A7AL2Q_CONTROL_DOMINATED,control_dominated,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3,3,3,,False,3,3,3,9.941975815989,0.001419907878405975,0.13905429071803851,,3.9779320624169747
a7al2q_fe342a17a3bf56da,"Sub(Abs(ZScore(Mean(open_interest_last,720))),Abs(ZScore(Mean(mark_close,72))))",mark_close|open_interest_last,open_interest|price,abs_level_gap,open_interest_last,mark_close,720,72,720|72,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_last|mark_close::720|72,,local_mutation,003cad54ed5a61f5,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile|recent_10bps_negative,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,0,0,0,,False,0,0,0,1.3821737494618163,-0.0002634992987960888,0.0006820905152548622,,0.35432695174209494
a7al2q_58ec268c498480a1,"Mul(Abs(ZScore(Delta(open_interest_last,12))),Abs(ZScore(Mean(trade_close,504))))",open_interest_last|trade_close,open_interest|price,oi_abs_delta_x_price_abs,open_interest_last,trade_close,12,504,12|504,skeleton-bb9ca3f57ba3a72b,a7al2q_local_oi_price::oi_abs_delta_x_price_abs::open_interest_last|trade_close::12|504,,local_mutation,0003b930b7fe5a22,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile|recent_10bps_negative,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,0,0,0,,False,0,0,0,4.342875555582075,-0.0018342524504313111,0.5003594801364182,,-4.177128006013386
a7al2q_f962751a6f713294,"Sub(ZScore(Delta(open_interest_last,8)),ZScore(Delta(mark_close,24)))",mark_close|open_interest_last,open_interest|price,delta_spread,open_interest_last,mark_close,8,24,8|24,skeleton-b86d839c2c31ff74,a7al2q_local_oi_price::delta_spread::open_interest_last|mark_close::8|24,,local_mutation,00205b3c3f51722d,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile|recent_10bps_negative,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,1,1,1,,False,1,1,0,8.631318896313052,-0.002385368424685855,0.3949488432113558,,-6.016687320998908
a7al2q_153d45b2cb3aebdd,"Mul(ZScore(Delta(open_interest_mean,4)),ZScore(Mean(mark_close,72)))",mark_close|open_interest_mean,open_interest|price,oi_delta_x_price_level,open_interest_mean,mark_close,4,72,4|72,skeleton-6a73164c2e3655ed,a7al2q_local_oi_price::oi_delta_x_price_level::open_interest_mean|mark_close::4|72,,local_mutation,004188769dc9629b,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,2,2,2,,False,2,2,1,16.387932294952506,0.0003286736943577095,0.5299290257166559,,-7.559258600594797
a7al2q_0a44f7b06019cff8,"Mul(Abs(ZScore(Delta(open_interest_value_mean,168))),Abs(ZScore(Mean(trade_close,72))))",open_interest_value_mean|trade_close,open_interest|price,oi_abs_delta_x_price_abs,open_interest_value_mean,trade_close,168,72,168|72,skeleton-bb9ca3f57ba3a72b,a7al2q_local_oi_price::oi_abs_delta_x_price_abs::open_interest_value_mean|trade_close::168|72,,local_mutation,003dff1a4ad35031,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,1,1,1,,False,1,1,1,15.657102872450244,0.0011994310645524217,0.21780809291178913,,-8.957671807897821
a7al2q_b463b7c4454b038d,"Mul(Abs(ZScore(Delta(open_interest_last,48))),Abs(ZScore(Mean(trade_close,720))))",open_interest_last|trade_close,open_interest|price,oi_abs_delta_x_price_abs,open_interest_last,trade_close,48,720,48|720,skeleton-bb9ca3f57ba3a72b,a7al2q_local_oi_price::oi_abs_delta_x_price_abs::open_interest_last|trade_close::48|720,,local_mutation,0037096485c1aae2,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile|recent_10bps_negative,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,2,2,2,,False,2,2,2,21.262958385778468,-0.0005192504605881268,0.3107383168955664,,-12.782208846366595
a7al2q_d7a6680d151b7968,"Mul(Abs(ZScore(Delta(open_interest_value_mean,8))),Abs(ZScore(Mean(trade_close,72))))",open_interest_value_mean|trade_close,open_interest|price,oi_abs_delta_x_price_abs,open_interest_value_mean,trade_close,8,72,8|72,skeleton-bb9ca3f57ba3a72b,a7al2q_local_oi_price::oi_abs_delta_x_price_abs::open_interest_value_mean|trade_close::8|72,,local_mutation,000715ebbb4990ef,True,HOLD_A7AL2Q_CONTROL_DOMINATED,control_dominated|cost_proxy_fragile,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3,3,3,,False,3,3,1,28.020203521337894,0.0010664302925230493,0.6091068301225919,,-15.453773228814844
a7al2q_5b4e7d3dc1984b26,"Add(ZScore(Delta(open_interest_value_last,168)),Neg(ZScore(Mean(trade_close,4))))",open_interest_value_last|trade_close,open_interest|price,oi_delta_plus_neg_price_level,open_interest_value_last,trade_close,168,4,168|4,skeleton-a31a62d6cd42777e,a7al2q_local_oi_price::oi_delta_plus_neg_price_level::open_interest_value_last|trade_close::168|4,,local_mutation,0019f7f1a4255473,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile|recent_10bps_negative,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,0,0,0,,False,0,0,0,66.18104811281883,-0.0023722404298550854,0.10930039634989401,,-66.55328854267391
a7al2q_bac72457ad9e4104,"Mul(ZScore(Mean(open_interest_last,72)),ZScore(Delta(index_close,8)))",index_close|open_interest_last,open_interest|price,oi_level_x_price_delta,open_interest_last,index_close,72,8,72|8,skeleton-34595505730d2c62,a7al2q_local_oi_price::oi_level_x_price_delta::open_interest_last|index_close::72|8,,local_mutation,001ba5e49990814c,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile|recent_10bps_negative,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,1,1,1,,False,1,1,1,109.95222394564146,-0.0008010248540284144,0.5301686791409346,,-105.25324879966988
a7al2q_69233c377095f5a4,"Sub(ZScore(Delta(open_interest_value_mean,96)),ZScore(Delta(trade_close,720)))",open_interest_value_mean|trade_close,open_interest|price,delta_spread,open_interest_value_mean,trade_close,96,720,96|720,skeleton-b86d839c2c31ff74,a7al2q_local_oi_price::delta_spread::open_interest_value_mean|trade_close::96|720,,local_mutation,0013cc8c134c325f,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,2,2,2,,False,2,2,1,166.60227647372395,0.0005672844578171244,0.13411374320213842,,-157.53499201590682
