field,semantic_type,source_panel,coverage,finite_count,non_null_count,unique_count,unique_ratio,median_xs_std,active_xs_share,info_cluster_id,cluster_size,input_approval,approval_reason
age_percentile_active_universe,state_or_taxonomy,latent_state_v1,0.956964420641656,1295637,1295637,31395,0.02423132405141255,0.25958273517414804,0.96142578125,ic_007,1,approved_condition_or_neutralizer_only,state_taxonomy_not_standalone_alpha
age_x_funding_abs,funding_like,latent_state_v1,0.5577696481948855,755166,755166,697525,0.9236710868868566,0.001175071194777639,0.967041015625,ic_002,2,blocked_low_coverage,coverage_below_70pct
age_x_volatility,volatility_like,latent_state_v1,0.9534353642764659,1290859,1290859,1290112,0.9994213155735832,0.02367280162687038,0.968994140625,ic_008,1,approved_incremental_signal_input,incremental_enough
funding_rate,funding_like,base_universe498_v2,0.19548076930178898,264662,264662,63040,0.23819059781910512,0.00043548264209954454,0.515380859375,ic_009,1,blocked_low_coverage,coverage_below_70pct
funding_rate_abs_168h,funding_like,latent_state_v1,0.5577696481948855,755166,755166,407823,0.5400441757176567,0.00026110148924735185,0.967041015625,ic_002,2,blocked_low_coverage,coverage_below_70pct
funding_rate_mean_168h,funding_like,latent_state_v1,0.5577696481948855,755166,755166,461079,0.6105664185093079,0.0002746611870275224,0.967041015625,ic_010,1,blocked_low_coverage,coverage_below_70pct
gap_hours_recent_168h,liquidity_like,latent_state_v1,0.9552360841212406,1293297,1293297,6,4.639305588739478e-06,0.0,0.06396484375,ic_011,1,blocked_low_cross_sectional_variation,low_cross_sectional_variation
global_long_short_account_ratio_last,positioning_like,base_universe498_v2,0.9990944698401584,1352677,1352677,1119484,0.8276062947769497,0.7905122126073068,0.99951171875,ic_003,2,approved_redundant_cluster_member_requires_cap,high_corr_cluster_member
global_long_short_account_ratio_mean,positioning_like,base_universe498_v2,0.9990944698401584,1352677,1352677,1352518,0.999882455308991,0.7894694753677285,0.99951171875,ic_003,2,approved_redundant_cluster_member_requires_cap,high_corr_cluster_member
history_length_hours,state_or_taxonomy,latent_state_v1,0.956964420641656,1295637,1295637,19748,0.015241923470848703,3661.5180278619514,0.96142578125,ic_001,3,approved_condition_or_neutralizer_only,state_taxonomy_not_standalone_alpha
index_close,price_like,base_universe498_v2,0.9982029731819784,1351470,1351470,1312576,0.9712209667991151,4635.7418999494,0.999755859375,ic_000,6,approved_redundant_cluster_member_requires_cap,high_corr_cluster_member
kline_taker_buy_quote_share,liquidity_like,base_universe498_v2,0.9988411282049009,1352334,1352334,1352334,1.0,0.06018021531615234,0.99951171875,ic_012,1,approved_incremental_signal_input,incremental_enough
listing_age_days,state_or_taxonomy,latent_state_v1,0.956964420641656,1295637,1295637,19748,0.015241923470848703,152.5632511609147,0.96142578125,ic_001,3,approved_condition_or_neutralizer_only,state_taxonomy_not_standalone_alpha
mark_close,price_like,base_universe498_v2,0.9993145742346387,1352975,1352975,903561,0.6678327389641346,4633.313729886568,0.999755859375,ic_000,6,approved_redundant_cluster_member_requires_cap,high_corr_cluster_member
mark_index_basis_bps,basis_premium_like,base_universe498_v2,0.9978853728812183,1351040,1351040,1326802,0.9820597465656087,8.680931483934016,0.999755859375,ic_013,1,approved_incremental_signal_input,incremental_enough
mark_trade_basis_bps,basis_premium_like,base_universe498_v2,0.9993145742346387,1352975,1352975,851618,0.6294410465825311,4.52133711520897,0.999755859375,ic_014,1,approved_incremental_signal_input,incremental_enough
open_interest_last,positioning_like,base_universe498_v2,0.9990944698401584,1352677,1352677,1348952,0.9972462014213297,9105546683.589718,0.99951171875,ic_004,2,approved_redundant_cluster_member_requires_cap,high_corr_cluster_member
open_interest_mean,positioning_like,base_universe498_v2,0.9990944698401584,1352677,1352677,1352397,0.9997930030598583,9106117492.573069,0.99951171875,ic_004,2,approved_redundant_cluster_member_requires_cap,high_corr_cluster_member
premium_close,basis_premium_like,base_universe498_v2,0.9989290222416229,1352453,1352453,318522,0.23551428404536054,0.0006906072057252113,0.999755859375,ic_005,2,approved_redundant_cluster_member_requires_cap,high_corr_cluster_member
premium_close_bps,basis_premium_like,base_universe498_v2,0.9989290222416229,1352453,1352453,321480,0.23770142104753364,6.906072057252118,0.999755859375,ic_005,2,approved_redundant_cluster_member_requires_cap,high_corr_cluster_member
realized_vol_168h,volatility_like,latent_state_v1,0.9534353642764659,1290859,1290859,1290106,0.9994166675059011,0.005657719127512588,0.968994140625,ic_015,1,approved_incremental_signal_input,incremental_enough
realized_vol_24h,volatility_like,latent_state_v1,0.9560123583447263,1294348,1294348,1293520,0.9993602956855497,0.006042420535159884,0.970703125,ic_016,1,approved_incremental_signal_input,incremental_enough
rolling_coverage_168h,liquidity_like,latent_state_v1,0.9552360841212406,1293297,1293297,165,0.00012758090369033564,0.0,0.283203125,ic_017,1,blocked_low_cross_sectional_variation,low_cross_sectional_variation
sqrt_listing_age_days,state_or_taxonomy,latent_state_v1,0.956964420641656,1295637,1295637,19748,0.015241923470848703,5.494042790575642,0.96142578125,ic_001,3,approved_condition_or_neutralizer_only,state_taxonomy_not_standalone_alpha
taker_buy_quote_volume,liquidity_like,base_universe498_v2,0.9996321745353988,1353405,1353405,1352304,0.9991864962816008,18051680.478907708,0.99951171875,ic_006,2,approved_redundant_cluster_member_requires_cap,high_corr_cluster_member
taker_buy_sell_volume_ratio_last,liquidity_like,base_universe498_v2,0.9990944698401584,1352677,1352677,1060586,0.7840644884181516,1.3525695085309075,0.99951171875,ic_018,1,approved_incremental_signal_input,incremental_enough
taker_buy_sell_volume_ratio_mean,liquidity_like,base_universe498_v2,0.9990944698401584,1352677,1352677,1319551,0.9755107834316692,0.9215716918647177,0.99951171875,ic_019,1,approved_incremental_signal_input,incremental_enough
trade_close,price_like,base_universe498_v2,0.9996321745353988,1353405,1353405,211055,0.15594371234035637,4630.55778569546,0.999755859375,ic_000,6,approved_redundant_cluster_member_requires_cap,high_corr_cluster_member
trade_count,liquidity_like,base_universe498_v2,0.9996321745353988,1353405,1353405,110111,0.08135849948832759,32111.64209924136,0.99951171875,ic_020,1,approved_incremental_signal_input,incremental_enough
trade_high,price_like,base_universe498_v2,0.9996321745353988,1353405,1353405,209530,0.15481692471950376,4645.665880455581,0.999755859375,ic_000,6,approved_redundant_cluster_member_requires_cap,high_corr_cluster_member
trade_low,price_like,base_universe498_v2,0.9996321745353988,1353405,1353405,206451,0.15254192204107417,4617.29137180958,0.999755859375,ic_000,6,approved_redundant_cluster_member_requires_cap,high_corr_cluster_member
trade_open,price_like,base_universe498_v2,0.9996321745353988,1353405,1353405,211638,0.15637447770622984,4629.158715269541,0.999755859375,ic_000,6,approved_redundant_cluster_member_requires_cap,high_corr_cluster_member
trade_quote_volume,liquidity_like,base_universe498_v2,0.9996321745353988,1353405,1353405,1352326,0.9992027515784263,36129889.61359117,0.99951171875,ic_006,2,approved_redundant_cluster_member_requires_cap,high_corr_cluster_member
trade_return_1h,price_like,base_universe498_v2,0.9994475231977475,1353155,1353155,838764,0.6198580354800448,0.009319545350705928,0.999267578125,ic_021,1,approved_incremental_signal_input,incremental_enough
trade_return_24h,price_like,latent_state_v1,0.9552028468804634,1293252,1293252,1100999,0.8513414245638128,0.046731766683642276,0.97021484375,ic_022,1,approved_incremental_signal_input,incremental_enough
trade_volume,liquidity_like,base_universe498_v2,0.9996321745353988,1353405,1353405,1304394,0.9637868930586189,1378281918.778072,0.99951171875,ic_023,1,approved_incremental_signal_input,incremental_enough
