info_cluster_id,field_count,fields,semantic_types,dominant_semantic_type
ic_000,6,index_close|mark_close|trade_close|trade_high|trade_low|trade_open,price_like,price_like
ic_001,3,history_length_hours|listing_age_days|sqrt_listing_age_days,state_or_taxonomy,state_or_taxonomy
ic_002,2,age_x_funding_abs|funding_rate_abs_168h,funding_like,funding_like
ic_003,2,global_long_short_account_ratio_last|global_long_short_account_ratio_mean,positioning_like,positioning_like
ic_004,2,open_interest_last|open_interest_mean,positioning_like,positioning_like
ic_005,2,premium_close|premium_close_bps,basis_premium_like,basis_premium_like
ic_006,2,taker_buy_quote_volume|trade_quote_volume,liquidity_like,liquidity_like
ic_007,1,age_percentile_active_universe,state_or_taxonomy,state_or_taxonomy
ic_008,1,age_x_volatility,volatility_like,volatility_like
ic_009,1,funding_rate,funding_like,funding_like
ic_010,1,funding_rate_mean_168h,funding_like,funding_like
ic_011,1,gap_hours_recent_168h,liquidity_like,liquidity_like
ic_012,1,kline_taker_buy_quote_share,liquidity_like,liquidity_like
ic_013,1,mark_index_basis_bps,basis_premium_like,basis_premium_like
ic_014,1,mark_trade_basis_bps,basis_premium_like,basis_premium_like
ic_015,1,realized_vol_168h,volatility_like,volatility_like
ic_016,1,realized_vol_24h,volatility_like,volatility_like
ic_017,1,rolling_coverage_168h,liquidity_like,liquidity_like
ic_018,1,taker_buy_sell_volume_ratio_last,liquidity_like,liquidity_like
ic_019,1,taker_buy_sell_volume_ratio_mean,liquidity_like,liquidity_like
ic_020,1,trade_count,liquidity_like,liquidity_like
ic_021,1,trade_return_1h,price_like,price_like
ic_022,1,trade_return_24h,price_like,price_like
ic_023,1,trade_volume,liquidity_like,liquidity_like
