consolidated_decision,semantic_pair,count
DIAGNOSTIC_NUMERIC_ONLY,basis_premium_like|positioning_like,232
DIAGNOSTIC_NUMERIC_ONLY,open_interest_like|positioning_like,83
DIAGNOSTIC_NUMERIC_ONLY,basis_premium_like|age_x_volatility|positioning_like,50
DIAGNOSTIC_NUMERIC_ONLY,open_interest_like|positioning_like|listing_age_like,16
SOURCE_LAG_RETEST_REQUIRED,open_interest|positioning,10
DIAGNOSTIC_NUMERIC_ONLY,open_interest_like|positioning_like|regime_state,6
SOURCE_LAG_RETEST_REQUIRED,open_interest_like|positioning_like,5
SHADOW_READINESS_REVIEW_CANDIDATE,open_interest|premium,4
SOURCE_LAG_RETEST_REQUIRED,open_interest|taker_flow,4
SOURCE_LAG_RETEST_REQUIRED,positioning|regime,3
SHADOW_READINESS_REVIEW_CANDIDATE,open_interest,2
SHADOW_READINESS_REVIEW_CANDIDATE,open_interest|funding_state,1
SHADOW_READINESS_REVIEW_CANDIDATE,funding_dense|open_interest,1
SHADOW_READINESS_REVIEW_CANDIDATE,basis|premium,1
SOURCE_LAG_RETEST_REQUIRED,basis|positioning,1
SOURCE_LAG_RETEST_REQUIRED,liquidity|positioning,1
SOURCE_LAG_RETEST_REQUIRED,basis|open_interest,1
SOURCE_LAG_RETEST_REQUIRED,positioning|taker_flow,1
HOLD_REVIEW_REQUIRED,open_interest_like|positioning_like,1
