shadow_rank,consolidated_decision,decision_reasons,evidence_tier,source_count,source_ids,source_kinds,source_lag_status,source_lag_required,canonical_key,canonical_expression,canonical_skeleton,blueprint_id,semantic_pair,motif,horizon_h,expression,skeleton_key,train_sortino,validation_sortino,test_sortino,recent_sortino,min_oos_sortino,min_oos_floor_sortino,stress_floor_sortino,recent_sharpe,recent_rankic,recent_avg_turnover,recent_control_ratio,recent_shuffle_control_ratio,oos_control_dominated_count,oos_lag_stale_dominated_count,hard_reject,hard_reject_reasons,gate_pass,pareto_rank,source_file
,HOLD_REVIEW_REQUIRED,stress_floor_not_positive;source_lag_required_not_proven,TIER5_HOLD,2,A7LS30_SELECTED_TOP|A7REWARD1_OLD_ACCEPTED,diagnostic_numeric|strict_reward_legacy,HOLD_SOURCE_LAG_NOT_TESTED,True,"safediv(safediv(zscore(mean(open_interest_value_last,4)),abs(mean(account_position_divergence,96))),abs(zscore(mean(open_interest_last,168))))|h=24","safediv(safediv(zscore(mean(open_interest_value_last,4)),abs(mean(account_position_divergence,96))),abs(zscore(mean(open_interest_last,168))))",open_interest_like|positioning_like|safe_div_abs|c35df304e3ff,a7ls30_c139d322017158f7,open_interest_like|positioning_like,safe_div_abs,24,"SafeDiv(SafeDiv(ZScore(Mean(open_interest_value_last,4)),Abs(Mean(account_position_divergence,96))),Abs(ZScore(Mean(open_interest_last,168))))",open_interest_like|positioning_like|safe_div_abs|c35df304e3ff,1.4631902341038934,5.289023567273699,21.38203076941563,7.333923899304577,5.289023567273699,2.5229011674735253,-0.4745585707396623,3.6807566882746254,0.020846741562961,0.005397014853395,1.004024944843695,0.5678125422504314,,,False,,True,1,runtime/a7reward1_portfolio_reward_model_20260610/a7reward1_accepted_for_next_search.csv
,DIAGNOSTIC_NUMERIC_ONLY,not_strict_reward_validated,TIER4_DIAGNOSTIC_NUMERIC,2,A7LS29_SELECTED_TOP|A7LS30_SELECTED_TOP,diagnostic_numeric,HOLD_SOURCE_LAG_NOT_TESTED,True,"csrank(mul(sub(csrank(delta(mark_index_basis_bps,48)),csrank(decay(global_long_short_account_ratio_mean,6))),sign(decay(global_long_short_account_ratio_mean,6))))|h=8","csrank(mul(sub(csrank(delta(mark_index_basis_bps,48)),csrank(decay(global_long_short_account_ratio_mean,6))),sign(decay(global_long_short_account_ratio_mean,6))))",basis_premium_like|positioning_like|signed_spread|efbfa119cac1,a7ls30_f82e6338a9d33426,basis_premium_like|positioning_like,signed_spread,8,"CSRank(Mul(Sub(CSRank(Delta(mark_index_basis_bps,48)),CSRank(Decay(global_long_short_account_ratio_mean,6))),Sign(Decay(global_long_short_account_ratio_mean,6))))",basis_premium_like|positioning_like|signed_spread|efbfa119cac1,,,,,,,,,,,,,,,,,,,runtime/a7ls30_productive_numeric_acceptance_20260610/a7ls30_selected_top240.csv
,DIAGNOSTIC_NUMERIC_ONLY,not_strict_reward_validated,TIER4_DIAGNOSTIC_NUMERIC,2,A7LS29_SELECTED_TOP|A7LS30_SELECTED_TOP,diagnostic_numeric,HOLD_SOURCE_LAG_NOT_TESTED,True,"clip(mul(sub(csrank(delta(mark_index_basis_bps,48)),csrank(decay(global_long_short_account_ratio_mean,6))),sign(decay(global_long_short_account_ratio_mean,6))),-3,3)|h=8","clip(mul(sub(csrank(delta(mark_index_basis_bps,48)),csrank(decay(global_long_short_account_ratio_mean,6))),sign(decay(global_long_short_account_ratio_mean,6))),-3,3)",basis_premium_like|positioning_like|signed_spread|d8a4b8811704,a7ls30_9254be7c7479597f,basis_premium_like|positioning_like,signed_spread,8,"Clip(Mul(Sub(CSRank(Delta(mark_index_basis_bps,48)),CSRank(Decay(global_long_short_account_ratio_mean,6))),Sign(Decay(global_long_short_account_ratio_mean,6))),-3,3)",basis_premium_like|positioning_like|signed_spread|d8a4b8811704,,,,,,,,,,,,,,,,,,,runtime/a7ls30_productive_numeric_acceptance_20260610/a7ls30_selected_top240.csv
,DIAGNOSTIC_NUMERIC_ONLY,not_strict_reward_validated,TIER4_DIAGNOSTIC_NUMERIC,2,A7LS29_SELECTED_TOP|A7LS30_SELECTED_TOP,diagnostic_numeric,HOLD_SOURCE_LAG_NOT_TESTED,True,"sub(csrank(delta(mark_index_basis_bps,48)),csrank(decay(global_long_short_account_ratio_mean,6)))|h=8","sub(csrank(delta(mark_index_basis_bps,48)),csrank(decay(global_long_short_account_ratio_mean,6)))",basis_premium_like|positioning_like|spread_rank|f6895cda2696,a7ls30_d18787649d48e83a,basis_premium_like|positioning_like,spread_rank,8,"Sub(CSRank(Delta(mark_index_basis_bps,48)),CSRank(Decay(global_long_short_account_ratio_mean,6)))",basis_premium_like|positioning_like|spread_rank|f6895cda2696,,,,,,,,,,,,,,,,,,,runtime/a7ls30_productive_numeric_acceptance_20260610/a7ls30_selected_top240.csv
,DIAGNOSTIC_NUMERIC_ONLY,not_strict_reward_validated,TIER4_DIAGNOSTIC_NUMERIC,2,A7LS29_SELECTED_TOP|A7LS30_SELECTED_TOP,diagnostic_numeric,HOLD_SOURCE_LAG_NOT_TESTED,True,"zscore(mul(sub(csrank(delta(mark_index_basis_bps,48)),csrank(decay(global_long_short_account_ratio_mean,6))),sign(decay(global_long_short_account_ratio_mean,6))))|h=8","zscore(mul(sub(csrank(delta(mark_index_basis_bps,48)),csrank(decay(global_long_short_account_ratio_mean,6))),sign(decay(global_long_short_account_ratio_mean,6))))",basis_premium_like|positioning_like|signed_spread|5ac72a6cc73f,a7ls30_a293b5f986477e96,basis_premium_like|positioning_like,signed_spread,8,"ZScore(Mul(Sub(CSRank(Delta(mark_index_basis_bps,48)),CSRank(Decay(global_long_short_account_ratio_mean,6))),Sign(Decay(global_long_short_account_ratio_mean,6))))",basis_premium_like|positioning_like|signed_spread|5ac72a6cc73f,,,,,,,,,,,,,,,,,,,runtime/a7ls30_productive_numeric_acceptance_20260610/a7ls30_selected_top240.csv
,DIAGNOSTIC_NUMERIC_ONLY,not_strict_reward_validated,TIER4_DIAGNOSTIC_NUMERIC,2,A7LS29_SELECTED_TOP|A7LS30_SELECTED_TOP,diagnostic_numeric,HOLD_SOURCE_LAG_NOT_TESTED,True,"sub(csrank(delta(mark_index_basis_bps,48)),csrank(mean(global_long_short_account_ratio_mean,4)))|h=8","sub(csrank(delta(mark_index_basis_bps,48)),csrank(mean(global_long_short_account_ratio_mean,4)))",basis_premium_like|positioning_like|spread_rank|3706452569c1,a7ls30_58ec3503a85df3e6,basis_premium_like|positioning_like,spread_rank,8,"Sub(CSRank(Delta(mark_index_basis_bps,48)),CSRank(Mean(global_long_short_account_ratio_mean,4)))",basis_premium_like|positioning_like|spread_rank|3706452569c1,,,,,,,,,,,,,,,,,,,runtime/a7ls30_productive_numeric_acceptance_20260610/a7ls30_selected_top240.csv
,DIAGNOSTIC_NUMERIC_ONLY,not_strict_reward_validated,TIER4_DIAGNOSTIC_NUMERIC,2,A7LS29_SELECTED_TOP|A7LS30_SELECTED_TOP,diagnostic_numeric,HOLD_SOURCE_LAG_NOT_TESTED,True,"sub(csrank(delta(mark_index_basis_bps,48)),csrank(zscore(mean(global_long_short_account_ratio_mean,3))))|h=8","sub(csrank(delta(mark_index_basis_bps,48)),csrank(zscore(mean(global_long_short_account_ratio_mean,3))))",basis_premium_like|positioning_like|spread_rank|f953fb4d68c7,a7ls30_c737c948fecd9074,basis_premium_like|positioning_like,spread_rank,8,"Sub(CSRank(Delta(mark_index_basis_bps,48)),CSRank(ZScore(Mean(global_long_short_account_ratio_mean,3))))",basis_premium_like|positioning_like|spread_rank|f953fb4d68c7,,,,,,,,,,,,,,,,,,,runtime/a7ls30_productive_numeric_acceptance_20260610/a7ls30_selected_top240.csv
,DIAGNOSTIC_NUMERIC_ONLY,not_strict_reward_validated,TIER4_DIAGNOSTIC_NUMERIC,2,A7LS29_SELECTED_TOP|A7LS30_SELECTED_TOP,diagnostic_numeric,HOLD_SOURCE_LAG_NOT_TESTED,True,"sub(csrank(delta(mark_index_basis_bps,48)),csrank(global_long_short_account_ratio_mean))|h=8","sub(csrank(delta(mark_index_basis_bps,48)),csrank(global_long_short_account_ratio_mean))",basis_premium_like|positioning_like|spread_rank|d76fa02dc03b,a7ls30_26fc82f959a87fb9,basis_premium_like|positioning_like,spread_rank,8,"Sub(CSRank(Delta(mark_index_basis_bps,48)),CSRank(global_long_short_account_ratio_mean))",basis_premium_like|positioning_like|spread_rank|d76fa02dc03b,,,,,,,,,,,,,,,,,,,runtime/a7ls30_productive_numeric_acceptance_20260610/a7ls30_selected_top240.csv
,DIAGNOSTIC_NUMERIC_ONLY,not_strict_reward_validated,TIER4_DIAGNOSTIC_NUMERIC,2,A7LS29_SELECTED_TOP|A7LS30_SELECTED_TOP,diagnostic_numeric,HOLD_SOURCE_LAG_NOT_TESTED,True,"sub(delta(mark_index_basis_bps,2),zscore(mean(global_long_short_account_ratio_last,24)))|h=24","sub(delta(mark_index_basis_bps,2),zscore(mean(global_long_short_account_ratio_last,24)))",basis_premium_like|positioning_like|sub|dafa24409e7b,a7ls30_6c19daf6a3591792,basis_premium_like|positioning_like,sub,24,"Sub(Delta(mark_index_basis_bps,2),ZScore(Mean(global_long_short_account_ratio_last,24)))",basis_premium_like|positioning_like|sub|dafa24409e7b,,,,,,,,,,,,,,,,,,,runtime/a7ls30_productive_numeric_acceptance_20260610/a7ls30_selected_top240.csv
,DIAGNOSTIC_NUMERIC_ONLY,not_strict_reward_validated,TIER4_DIAGNOSTIC_NUMERIC,2,A7LS29_SELECTED_TOP|A7LS30_SELECTED_TOP,diagnostic_numeric,HOLD_SOURCE_LAG_NOT_TESTED,True,"csrank(sub(delta(mark_index_basis_bps,2),zscore(mean(global_long_short_account_ratio_mean,96))))|h=24","csrank(sub(delta(mark_index_basis_bps,2),zscore(mean(global_long_short_account_ratio_mean,96))))",basis_premium_like|positioning_like|sub|038dfebf59b8,a7ls30_80e00bfed764bb62,basis_premium_like|positioning_like,sub,24,"CSRank(Sub(Delta(mark_index_basis_bps,2),ZScore(Mean(global_long_short_account_ratio_mean,96))))",basis_premium_like|positioning_like|sub|038dfebf59b8,,,,,,,,,,,,,,,,,,,runtime/a7ls30_productive_numeric_acceptance_20260610/a7ls30_selected_top240.csv
