source_id,path,source_kind,exists,rows
A7DEDUP1_RECENT_CANONICAL,runtime/a7dedup1_canonical_reward_queue_20260703/a7dedup1_canonical_selected_queue.csv,strict_reward_dedup,True,3
A7REWARD3_RECENT_MECH,runtime/a7reward3_oi_funding_mechanism_strict_reward_20260703/a7reward1_accepted_for_next_search.csv,strict_reward,True,8
A7REWARD2_SOURCE_LAG_SURVIVOR,runtime/a7reward2_source_lag_survivor_strict_reward_20260703/a7reward1_accepted_for_next_search.csv,strict_reward,True,1
A7SEARCH6_VALIDATION_R2,runtime/a7search6_validation_pack_reward_r2_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv,strict_reward,True,18
A7SEARCH6_SELECTED_R1,runtime/a7search6_selected_full_reward_r1_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv,strict_reward,True,27
A7V3S10_BASELINE,runtime/a7v3s10_accepted_candidate_validation_20260614/baseline_reward_runtime/a7reward1_accepted_for_next_search.csv,strict_reward,True,0
A7V3S9_ACCEPTED,runtime/a7v3s9_selected_full_reward_aggregate_20260614/a7v3s0_reward_accepted_enriched.csv,strict_reward,True,1
A7REWARD1_OLD_ACCEPTED,runtime/a7reward1_portfolio_reward_model_20260610/a7reward1_accepted_for_next_search.csv,strict_reward_legacy,True,6
A7LS30_SELECTED_TOP,runtime/a7ls30_productive_numeric_acceptance_20260610/a7ls30_selected_top240.csv,diagnostic_numeric,True,240
A7LS29_SELECTED_TOP,runtime/a7ls29_productive_numeric_acceptance_20260610/a7ls29_selected_top160.csv,diagnostic_numeric,True,160
