machine,venue,market_type,data_family,dataset_root,files,known_size_bytes,size_known_files,known_rows_in_metadata_samples,symbols,symbol_count,months,month_count,start,end,fields,sealed_files,row_data_read,qualification
DESKTOP-SR4PA0E,BINANCE,PERPETUAL_OR_FUTURES,AGG_TRADES,G:\AlphaFactory_CryptoData\raw\binance_vision\aggtrades_package_a_raw\futures_um\aggTrades,270,220723482,3,0,ADAUSDT|AVAXUSDT|BCHUSDT|BNBUSDT|BTCUSDT|DOGEUSDT|ETHUSDT|LINKUSDT|LTCUSDT|SOLUSDT|SUIUSDT|XRPUSDT,12,2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03|2026-04,28,2024-01-01,,,0,False,DISCOVERED_REQUIRES_OBSERVABLE_TIME_AND_COVERAGE_QUALIFICATION
DESKTOP-SR4PA0E,BINANCE,PERPETUAL_OR_FUTURES,AGG_TRADES,G:\AlphaFactory_CryptoData\raw\binance_vision\microstructure_package_a_aggtrades_core3_202401_202604\futures_um\aggTrades,9,1842501440,3,0,BTCUSDT,1,2024-01,1,2024-01-01,,,0,False,DISCOVERED_REQUIRES_OBSERVABLE_TIME_AND_COVERAGE_QUALIFICATION
DESKTOP-SR4PA0E,BINANCE,PERPETUAL_OR_FUTURES,AGG_TRADES,G:\AlphaFactory_CryptoData\raw\binance_vision\microstructure_pilot_20260519\futures_um\aggTrades,1,123468417,1,0,SOLUSDT,1,2026-05,1,2026-05-01,,,0,False,DISCOVERED_REQUIRES_OBSERVABLE_TIME_AND_COVERAGE_QUALIFICATION
DESKTOP-SR4PA0E,BINANCE,PERPETUAL_OR_FUTURES,BASIS_PREMIUM,G:\AlphaFactory_CryptoData\raw\binance_api\premium_index,524,944881,3,0,AAVEUSDT|ADAUSDT|ALGOUSDT|APTUSDT|ARBUSDT|ARUSDT|ATOMUSDT|AVAXUSDT|BCHUSDT|BNBUSDT|BTCUSDT|DOGEUSDT|DOTUSDT|ETCUSDT|ETHUSDT|FILUSDT|GALAUSDT|HBARUSDT|ICPUSDT|IMXUSDT|INJUSDT|JTOUSDT|LINKUSDT|LTCUSDT|MANAUSDT|NEARUSDT|OPUSDT|ORDIUSDT|SANDUSDT|SEIUSDT|SOLUSDT|STXUSDT|SUIUSDT|TIAUSDT|TRXUSDT|UNIUSDT|WLDUSDT|XLMUSDT|XRPUSDT,39,2026-05,1,2026-05-01,,,0,False,DISCOVERED_REQUIRES_OBSERVABLE_TIME_AND_COVERAGE_QUALIFICATION
DESKTOP-SR4PA0E,BINANCE,PERPETUAL_OR_FUTURES,BASIS_PREMIUM,G:\AlphaFactory_CryptoData\raw\binance_rest_forward\20260519_083705\futures_premium_bar,2,0,0,0,BTCUSDT|ETHUSDT,2,2026-05,1,2026-05-01,,,2,False,DISCOVERED_REQUIRES_OBSERVABLE_TIME_AND_COVERAGE_QUALIFICATION
DESKTOP-SR4PA0E,BINANCE,PERPETUAL_OR_FUTURES,BASIS_PREMIUM,G:\AlphaFactory_CryptoData\raw\binance_rest_forward\20260519_083949\futures_premium_bar,12,0,0,0,ADAUSDT|AVAXUSDT|BCHUSDT|BNBUSDT|BTCUSDT|DOGEUSDT|ETHUSDT|LINKUSDT|LTCUSDT|SOLUSDT|SUIUSDT|XRPUSDT,12,2026-05,1,2026-05-01,,,12,False,DISCOVERED_REQUIRES_OBSERVABLE_TIME_AND_COVERAGE_QUALIFICATION
DESKTOP-SR4PA0E,BINANCE,PERPETUAL_OR_FUTURES,BASIS_PREMIUM,G:\AlphaFactory_CryptoData\raw\binance_rest_forward\20260519_085102\futures_premium_bar,12,0,0,0,ADAUSDT|AVAXUSDT|BCHUSDT|BNBUSDT|BTCUSDT|DOGEUSDT|ETHUSDT|LINKUSDT|LTCUSDT|SOLUSDT|SUIUSDT|XRPUSDT,12,2026-05,1,2026-05-01,,,12,False,DISCOVERED_REQUIRES_OBSERVABLE_TIME_AND_COVERAGE_QUALIFICATION
DESKTOP-SR4PA0E,BINANCE,PERPETUAL_OR_FUTURES,BASIS_PREMIUM,G:\AlphaFactory_CryptoData\raw\binance_rest_forward\20260520_082447\futures_premium_bar,12,0,0,0,ADAUSDT|AVAXUSDT|BCHUSDT|BNBUSDT|BTCUSDT|DOGEUSDT|ETHUSDT|LINKUSDT|LTCUSDT|SOLUSDT|SUIUSDT|XRPUSDT,12,2026-05,1,2026-05-01,,,12,False,DISCOVERED_REQUIRES_OBSERVABLE_TIME_AND_COVERAGE_QUALIFICATION
DESKTOP-SR4PA0E,BINANCE,PERPETUAL_OR_FUTURES,BASIS_PREMIUM,G:\AlphaFactory_CryptoData\raw\binance_rest_forward\20260521_010002\futures_premium_bar,12,0,0,0,ADAUSDT|AVAXUSDT|BCHUSDT|BNBUSDT|BTCUSDT|DOGEUSDT|ETHUSDT|LINKUSDT|LTCUSDT|SOLUSDT|SUIUSDT|XRPUSDT,12,2026-05,1,2026-05-01,,,12,False,DISCOVERED_REQUIRES_OBSERVABLE_TIME_AND_COVERAGE_QUALIFICATION
DESKTOP-SR4PA0E,BINANCE,PERPETUAL_OR_FUTURES,BASIS_PREMIUM,G:\AlphaFactory_CryptoData\raw\binance_rest_forward\20260521_043623\futures_premium_bar,12,0,0,0,ADAUSDT|AVAXUSDT|BCHUSDT|BNBUSDT|BTCUSDT|DOGEUSDT|ETHUSDT|LINKUSDT|LTCUSDT|SOLUSDT|SUIUSDT|XRPUSDT,12,2026-05,1,2026-05-01,,,12,False,DISCOVERED_REQUIRES_OBSERVABLE_TIME_AND_COVERAGE_QUALIFICATION
DESKTOP-SR4PA0E,BINANCE,PERPETUAL_OR_FUTURES,BASIS_PREMIUM,G:\AlphaFactory_CryptoData\raw\binance_rest_forward\20260522_011014\futures_premium_bar,11,0,0,0,ADAUSDT|AVAXUSDT|BCHUSDT|BNBUSDT|BTCUSDT|DOGEUSDT|ETHUSDT|LTCUSDT|SOLUSDT|SUIUSDT|XRPUSDT,11,2026-05,1,2026-05-01,,,11,False,DISCOVERED_REQUIRES_OBSERVABLE_TIME_AND_COVERAGE_QUALIFICATION
DESKTOP-SR4PA0E,BINANCE,PERPETUAL_OR_FUTURES,BASIS_PREMIUM,G:\AlphaFactory_CryptoData\raw\binance_rest_forward\20260522_013746\futures_premium_bar,1,0,0,0,LINKUSDT,1,2026-05,1,2026-05-01,,,1,False,DISCOVERED_REQUIRES_OBSERVABLE_TIME_AND_COVERAGE_QUALIFICATION
DESKTOP-SR4PA0E,BINANCE,PERPETUAL_OR_FUTURES,BASIS_PREMIUM,G:\AlphaFactory_CryptoData\raw\binance_rest_forward\20260524_044410\futures_premium_bar,12,0,0,0,ADAUSDT|AVAXUSDT|BCHUSDT|BNBUSDT|BTCUSDT|DOGEUSDT|ETHUSDT|LINKUSDT|LTCUSDT|SOLUSDT|SUIUSDT|XRPUSDT,12,2026-05,1,2026-05-01,,,12,False,DISCOVERED_REQUIRES_OBSERVABLE_TIME_AND_COVERAGE_QUALIFICATION
DESKTOP-SR4PA0E,BINANCE,PERPETUAL_OR_FUTURES,BASIS_PREMIUM,G:\AlphaFactory_CryptoData\raw\binance_vision\binance_universe498_recent_patch_1h_v1_20260612\daily\premiumIndexKlines\0GUSDT\1h,17,0,0,0,0GUSDT,1,2026-06,1,2026-06-01,,,17,False,DISCOVERED_REQUIRES_OBSERVABLE_TIME_AND_COVERAGE_QUALIFICATION
DESKTOP-SR4PA0E,BINANCE,PERPETUAL_OR_FUTURES,BASIS_PREMIUM,G:\AlphaFactory_CryptoData\raw\binance_vision\binance_universe498_recent_patch_1h_v1_20260612\daily\premiumIndexKlines\1000000BOBUSDT\1h,17,0,0,0,1000000BOBUSDT,1,2026-06,1,2026-06-01,,,17,False,DISCOVERED_REQUIRES_OBSERVABLE_TIME_AND_COVERAGE_QUALIFICATION
