candidate_id,return_corr_cluster,max_corr_to_prior,cluster_size
a7o_l1_C0320_1357,rc_000,0.0,1
a7o_l1_C0320_0872,rc_001,0.0,1
a7o_l1_C0320_2036,rc_002,0.0,1
a7o_l1_C0321_0096,rc_003,0.0,1
a7o_l1_C0321_0484,rc_004,0.0,1
a7o_l1_C0321_0180,rc_005,0.0,1
a7o_l1_C0322_0674,rc_006,0.0,4
a7o_l1_C0322_0376,rc_007,0.0,8
a7o_l1_C0322_0192,rc_008,0.0,11
a7o_l1_C0323_0564,rc_009,0.0,1
a7o_l1_C0323_0180,rc_010,0.0,1
a7o_l1_C0323_0756,rc_011,0.0,1
a7o_l1_C0324_1357,rc_008,0.8099419387960973,11
a7o_l1_C0324_0677,rc_008,0.874214590731408,11
a7o_l1_C0324_0096,rc_007,0.8733839622586044,8
a7o_l1_C0325_0372,rc_012,0.0,1
a7o_l1_C0325_0969,rc_013,0.0,1
a7o_l1_C0325_0193,rc_014,0.0,1
a7o_l1_C0326_0386,rc_015,0.0,1
a7o_l1_C0326_1745,rc_016,0.0,1
a7o_l1_C0326_0774,rc_017,0.0,1
a7o_l1_C0327_0373,rc_018,0.0,1
a7o_l1_C0327_0757,rc_019,0.0,1
a7o_l1_C0327_0677,rc_020,0.0,1
a7o_l1_C0328_0564,rc_021,0.0,1
a7o_l1_C0328_2036,rc_022,0.0,1
a7o_l1_C0328_0752,rc_023,0.0,1
a7o_l1_C0329_1449,rc_024,0.0,1
a7o_l1_C0329_1064,rc_025,0.0,1
a7o_l1_C0329_1356,rc_026,0.0,1
a7o_l1_C0330_1454,rc_027,0.0,1
a7o_l1_C0330_0775,rc_028,0.0,1
a7o_l1_C0330_0387,rc_029,0.0,1
a7o_l1_C0331_0372,rc_030,0.0,1
a7o_l1_C0331_0872,rc_031,0.0,1
a7o_l1_C0331_0096,rc_032,0.0,1
a7o_l1_C0332_0949,rc_033,0.0,1
a7o_l1_C0332_0484,rc_034,0.0,1
a7o_l1_C0332_1454,rc_035,0.0,1
a7o_l1_C0333_2028,rc_036,0.0,2
a7o_l1_C0333_1251,rc_037,0.0,1
a7o_l1_C0333_0085,rc_036,0.8180583806695755,2
a7o_l1_C0334_0372,rc_038,0.0,1
a7o_l1_C0334_0564,rc_039,0.0,1
a7o_l1_C0334_0096,rc_040,0.0,1
a7o_l1_C0335_0372,rc_041,0.0,3
a7o_l1_C0335_0756,rc_041,0.959070121346037,3
a7o_l1_C0335_0180,rc_041,0.9806107250831151,3
a7o_l1_C0336_1356,rc_007,0.8630825213962646,8
a7o_l1_C0336_1647,rc_042,0.0,1
a7o_l1_C0336_0580,rc_043,0.0,1
a7o_l1_C0337_0774,rc_044,0.0,1
a7o_l1_C0337_0969,rc_045,0.0,1
a7o_l1_C0337_1745,rc_046,0.0,1
a7o_l1_C0338_1356,rc_007,0.9175589476152195,8
a7o_l1_C0338_0578,rc_007,0.8645399193818899,8
a7o_l1_C0338_1355,rc_007,0.8936329075878627,8
a7o_l1_C0339_0774,rc_006,0.817571818930225,4
a7o_l1_C0339_0386,rc_007,0.9152700586298872,8
a7o_l1_C0339_1454,rc_047,0.0,1
a7o_l1_C0340_1939,rc_048,0.0,1
a7o_l1_C0340_0872,rc_049,0.0,1
a7o_l1_C0340_0289,rc_050,0.0,1
a7o_l1_C0341_0372,rc_051,0.0,1
a7o_l1_C0341_0756,rc_052,0.0,1
a7o_l1_C0341_0564,rc_053,0.0,1
a7o_l1_C0342_0369,rc_054,0.0,1
a7o_l1_C0342_0753,rc_055,0.0,1
a7o_l1_C0342_0372,rc_056,0.0,1
a7o_l1_C0343_0967,rc_057,0.0,1
a7o_l1_C0343_1842,rc_008,0.851269545932749,11
a7o_l1_C0343_1356,rc_058,0.0,1
a7o_l1_C0344_1357,rc_059,0.0,1
a7o_l1_C0344_2036,rc_060,0.0,1
a7o_l1_C0344_0678,rc_061,0.0,1
a7o_l1_C0345_2036,rc_062,0.0,1
a7o_l1_C0345_0564,rc_063,0.0,1
a7o_l1_C0345_0368,rc_064,0.0,1
a7o_l1_C0346_1454,rc_065,0.0,1
a7o_l1_C0346_0387,rc_066,0.0,1
a7o_l1_C0346_0386,rc_067,0.0,1
a7o_l1_C0347_0180,rc_068,0.0,1
a7o_l1_C0347_0373,rc_069,0.0,1
a7o_l1_C0347_0757,rc_070,0.0,1
a7o_l1_C0348_0756,rc_071,0.0,1
a7o_l1_C0348_2036,rc_072,0.0,1
a7o_l1_C0348_0372,rc_073,0.0,1
a7o_l1_C0349_0180,rc_074,0.0,1
a7o_l1_C0349_2036,rc_075,0.0,1
a7o_l1_C0349_0775,rc_076,0.0,1
a7o_l1_C0350_0372,rc_077,0.0,1
a7o_l1_C0350_0193,rc_078,0.0,4
a7o_l1_C0350_2036,rc_079,0.0,1
a7o_l1_C0351_0969,rc_080,0.0,1
a7o_l1_C0351_0775,rc_081,0.0,1
a7o_l1_C0351_0872,rc_082,0.0,1
a7o_l1_C0352_0674,rc_006,0.8969166027428125,4
a7o_l1_C0352_1344,rc_083,0.0,1
a7o_l1_C0352_0483,rc_084,0.0,1
a7o_l1_C0353_1446,rc_085,0.0,1
a7o_l1_C0353_0483,rc_086,0.0,2
a7o_l1_C0353_1251,rc_086,0.9900537170609112,2
a7o_l1_C0354_0373,rc_087,0.0,1
a7o_l1_C0354_0289,rc_088,0.0,1
a7o_l1_C0354_0181,rc_089,0.0,1
a7o_l1_C0355_0565,rc_090,0.0,1
a7o_l1_C0355_0290,rc_091,0.0,1
a7o_l1_C0355_0756,rc_092,0.0,1
a7o_l1_C0356_0289,rc_093,0.0,1
a7o_l1_C0356_0949,rc_094,0.0,1
a7o_l1_C0356_0180,rc_095,0.0,1
a7o_l1_C0357_0579,rc_008,0.8449905423940445,11
a7o_l1_C0358_0564,rc_096,0.0,1
a7o_l1_C0358_0290,rc_097,0.0,1
a7o_l1_C0358_0193,rc_098,0.0,1
a7o_l1_C0359_0968,rc_099,0.0,1
a7o_l1_C0359_0677,rc_100,0.0,1
a7o_l1_C0359_1744,rc_101,0.0,1
a7o_l1_C0360_1551,rc_102,0.0,1
a7o_l1_C0360_2036,rc_103,0.0,1
a7o_l1_C0360_1939,rc_104,0.0,1
a7o_l1_C0361_0289,rc_105,0.0,1
a7o_l1_C0361_0484,rc_106,0.0,1
a7o_l1_C0361_1357,rc_107,0.0,1
a7o_l1_C0362_2036,rc_108,0.0,1
a7o_l1_C0362_0969,rc_109,0.0,1
a7o_l1_C0362_1551,rc_110,0.0,1
a7o_l1_C0363_0756,rc_111,0.0,1
a7o_l1_C0363_0757,rc_112,0.0,1
a7o_l1_C0363_0564,rc_113,0.0,1
a7o_l1_C0364_1066,rc_114,0.0,1
a7o_l1_C0364_0949,rc_115,0.0,1
a7o_l1_C0364_0096,rc_116,0.0,1
a7o_l1_C0367_0180,rc_117,0.0,1
a7o_l1_C0367_0565,rc_118,0.0,1
a7o_l1_C0367_2036,rc_119,0.0,1
a7o_l1_C0368_1163,rc_078,0.8225155558320175,4
a7o_l1_C0368_0193,rc_078,0.8992005441169024,4
a7o_l1_C0368_0678,rc_078,0.876552921088946,4
a7o_l1_C0369_0564,rc_120,0.0,1
a7o_l1_C0369_0290,rc_121,0.0,1
a7o_l1_C0369_0775,rc_122,0.0,1
a7o_l1_C0370_0753,rc_123,0.0,2
a7o_l1_C0370_1259,rc_006,0.8373384109843524,4
a7o_l1_C0370_1163,rc_123,0.8377048333245469,2
a7o_l1_C0371_0290,rc_124,0.0,1
a7o_l1_C0371_0387,rc_125,0.0,1
a7o_l1_C0371_0193,rc_126,0.0,1
a7o_l1_C0372_0191,rc_127,0.0,1
a7o_l1_C0372_0775,rc_128,0.0,1
