variant,feature_count,fit_runtime_seconds,best_iteration,train_rows,valid_rows,development_holdout_rows,evals_result
FULL_ALPHA158,158,90.20018849999178,1,840,240,240,"{""train"": {""l2"": [0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742]}, ""valid"": {""l2"": [0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053]}}"
FIRST_13_CONTROL,13,33.43434280005749,1,840,240,240,"{""train"": {""l2"": [0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742, 0.9000000078338742]}, ""valid"": {""l2"": [0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053, 0.9000000127057053]}}"
