core14se_rank,candidate_id,semantic_bucket,motif_bucket,generation_mode,clue_rows,label_count,horizon_count,best_abs_corr,best_original_score,min_control_ratio,median_control_ratio,median_spread,proposed_subgraph_id,expression,raw_inputs,outside_old_packet,repair_score
1,a7ffcore11e_2a2d48956a572ac1ab,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,4,3,3,0.0065763830766673,0.4540017717012015,0.2176107892427559,0.5241336479391847,0.1683130897008845,sgx_db392cbbb4b91c9cf5,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,4),24),Abs(ZScore(Delta(trade_low,24)))),4)),Delta(trade_count,16))",trade_count;trade_low,False,21.14481385553852
2,a7ffcore11e_108bca7372512beafd,taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,7,3,4,0.0469548118451763,0.1729000381468802,0.3884429861016146,0.6810464457850056,-0.0004926519606413,sgx_231613d6aaa4dafc44,"Mul(ZScore(Mean(Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4))),2)),Delta(mark_index_basis_bps,48))",mark_index_basis_bps;taker_buy_quote_volume,False,18.181114790734377
3,a7ffcore11e_a556c4fd6dec7dc783,open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,7,3,3,0.0166668676538901,0.1523608367505159,0.3671743220276484,0.4855866764308109,0.00029943650437,sgx_2cfd1c0f703b83c7ec,"Mul(ZScore(Mean(Sub(CSRank(Mean(open_interest_last,8)),CSRank(Delta(top_long_short_account_ratio_last,24))),2)),Delta(open_interest_last,24))",open_interest_last;top_long_short_account_ratio_last,False,16.31286809095502
4,a7ffcore11e_c6c5696a8e9141f9bf,taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,5,3,3,0.0304556391896153,0.1942491019188383,0.3893079370711423,0.6239522619946306,-9.249850078532916e-05,sgx_6aeea054808b968ff8,"Mul(ZScore(Mean(Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4))),4)),Delta(mark_index_basis_bps,48))",mark_index_basis_bps;taker_buy_quote_volume,False,16.10636616423448
5,a7ffcore11e_a8bc245f20ba6f090e,taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,5,3,3,0.0550181220929474,0.2063584267951393,0.6227314342579094,0.6273285402614429,-0.0005633448708365,sgx_36a3866dbd8d6aed0b,"Mul(ZScore(Mean(Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4))),2)),Delta(mark_index_basis_bps,32))",mark_index_basis_bps;taker_buy_quote_volume,False,15.881705667386967
6,a7ffcore11e_2e9ceddde79416ef0f,taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,5,3,3,0.0552398466718965,0.2016498009068806,0.6828784875727522,0.7280321826994004,-0.0003769799949513,sgx_98a71c5079d41b3ae3,"Mul(ZScore(Mean(Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4))),3)),Delta(mark_index_basis_bps,32))",mark_index_basis_bps;taker_buy_quote_volume,False,15.667239042992108
7,a7ffcore11e_620048b49bc3dfd43f,taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,5,3,3,0.0520420992223774,0.2000347857769908,0.7297369274012059,0.7549042833586476,-0.0005085774234214,sgx_2059848c42a40203e3,"Mul(ZScore(Mean(Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4))),4)),Delta(mark_index_basis_bps,32))",mark_index_basis_bps;taker_buy_quote_volume,False,15.541221860737405
8,a7ffcore11e_7b72349fd51af1e863,taker_flow_like|open_interest_like,flow_x_leverage,seed_field_mul_delta,5,3,3,0.0079828975814745,0.1456751352623335,0.330453230688708,0.4908368740008039,-0.0139917069865147,sgx_36a41d223c0ce96a0a,"Mul(ZScore(Mean(Mul(ZScore(Delta(taker_buy_quote_volume,4)),Delta(Delta(open_interest_mean,4),24)),2)),Delta(open_interest_mean,48))",open_interest_mean;taker_buy_quote_volume,False,15.252596243869256
9,a7ffcore11e_1a890ab9e1ac037f7e,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,2,1,2,0.0047912673204712,0.3514964099650609,0.3185776712895504,0.4236220866156368,0.11967981912082068,sgx_3a0848a2e5f3f2681a,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_high,4)))),2)),Delta(trade_count,12))",trade_count;trade_high,True,14.892772856722116
10,a7ffcore11e_a8d20b6bdd9fb53e86,taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,4,3,3,0.044484485035908,0.0868757242744581,0.5492273336606582,0.6594868639652065,-8.832462093989999e-05,sgx_71059c4607df6a947f,"Mul(ZScore(Mean(Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4))),2)),Delta(mark_index_basis_bps,72))",mark_index_basis_bps;taker_buy_quote_volume,False,13.139059818167846
11,a7ffcore11e_01b7a408bae766f6b9,open_interest_like,single,seed_field_mul_delta,5,3,3,0.010479410389978,0.0456033415031406,0.4520624282623037,0.6549780814053152,-0.0001467840083631,sgx_a9275b60132863bf8e,"Mul(ZScore(Mean(open_interest_change_24h,3)),Delta(open_interest_change_24h,12))",open_interest_change_24h,False,13.007941973538205
12,a7ffcore11e_649733921153c9d703,liquidity_like,single,seed_field_mul_delta,1,1,1,0.0020290571981665,0.364961297196941,0.6831402032687296,0.6831402032687296,-0.364961297196941,sgx_28fca3f2e1ece3bdaa,"Mul(ZScore(Mean(Mean(trade_volume,4),3)),Delta(trade_volume,8))",trade_volume,True,12.432945537401359
13,a7ffcore11e_e1c2883b278209d9b5,liquidity_like,single,seed_field_mul_delta,1,1,1,0.002071150976158,0.3667773789498854,0.7304990169221981,0.7304990169221981,-0.3667773789498854,sgx_0c5bf250ce6fb83226,"Mul(ZScore(Mean(Mean(trade_volume,4),2)),Delta(trade_volume,8))",trade_volume,True,12.374549545153313
14,a7ffcore11e_9f7d56ec455eafc3b3,taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,1,1,1,0.0011463099531211,0.3244153328035333,0.4226632305057762,0.4226632305057762,-0.3244153328035333,sgx_d9a84904d10940636d,"Mul(ZScore(Mean(Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4))),2)),Delta(mark_index_basis_bps,8))",mark_index_basis_bps;taker_buy_quote_volume,True,12.142980195059113
15,a7ffcore11e_c21abf533e137c4adb,taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,6,2,3,0.0535246867092134,0.0535246867092134,0.2598253641580449,0.41878626779956346,-0.0002994753710926,sgx_3c1471b0d42deb58d9,"Mul(ZScore(Mean(Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4))),3)),Delta(mark_index_basis_bps,6))",mark_index_basis_bps;taker_buy_quote_volume,False,12.050843005868177
16,a7ffcore11e_b22e934b8b01b76133,taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,6,2,3,0.0499790037165038,0.0499790037165038,0.2270860538029096,0.3938495416841593,-0.0002845986239714,sgx_3deb2d4567f406c3b3,"Mul(ZScore(Mean(Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4))),4)),Delta(mark_index_basis_bps,6))",mark_index_basis_bps;taker_buy_quote_volume,False,12.045407966724257
17,a7ffcore11e_e75225abf06a144055,liquidity_like,single,seed_field_mul_delta,1,1,1,0.0019992688112449,0.3488167081884513,0.7346321118721786,0.7346321118721786,-0.3488167081884513,sgx_c04ccceba7b7766b49,"Mul(ZScore(Mean(Mean(trade_volume,4),4)),Delta(trade_volume,8))",trade_volume,True,12.007069940024667
18,a7ffcore11e_1ca2fdf47a1754478f,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,3,2,3,0.0061957863657537,0.0061957863657537,0.4769884819064131,0.4978035579858323,-0.0001480135956915,sgx_245a58f7ce977f79d8,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_high,4)))),2)),Delta(trade_count,2))",trade_count;trade_high,True,11.669938763502248
