candidate_id,semantic_bucket,motif_bucket,generation_mode,clue_rows,label_count,horizon_count,best_abs_corr,best_original_score,min_control_ratio,median_control_ratio,median_spread,proposed_subgraph_id,expression,raw_inputs,outside_old_packet,repair_score
a7ffcore11e_2a2d48956a572ac1ab,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,4,3,3,0.0065763830766673,0.4540017717012015,0.2176107892427559,0.5241336479391847,0.1683130897008845,sgx_db392cbbb4b91c9cf5,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,4),24),Abs(ZScore(Delta(trade_low,24)))),4)),Delta(trade_count,16))",trade_count;trade_low,False,21.14481385553852
a7ffcore11e_34c80c6d72709214b6,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,6,3,4,0.0056924397860679,0.3545324980354856,0.4948149668590947,0.6037808823242643,5.9721019361700034e-05,sgx_61b332cba6831bbe3f,"Mul(ZScore(Mean(Mul(Delta(ZScore(Mean(trade_count,4)),24),Abs(ZScore(Delta(trade_high,4)))),3)),Delta(trade_count,16))",trade_count;trade_high,False,21.101020026991524
a7ffcore11e_540129e723d9aa7b52,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,7,3,4,0.0093362987543073,0.2278901948376465,0.1740682963679132,0.5979817671224165,0.0002601833433215,sgx_58851b999473ae1763,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,4),24),Abs(ZScore(Delta(trade_low,24)))),3)),Delta(trade_count,2))",trade_count;trade_low,False,19.709667304017103
a7ffcore11e_3103906ad46d1df38b,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,8,3,4,0.0138540312291122,0.1852372614455014,0.1909767466749101,0.31792870442838417,6.867278197498435e-05,sgx_42984c05a7963776c8,"Mul(ZScore(Mean(Mul(Delta(ZScore(Mean(trade_count,24)),24),Abs(ZScore(Delta(trade_low,24)))),4)),Delta(trade_count,4))",trade_count;trade_low,False,19.32279173556021
a7ffcore11e_47e7feb2ae3fd724af,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,4,3,3,0.0062166372943176,0.373250549412829,0.5683810402046899,0.6372700979019892,-0.00019382979849575,sgx_822987b3797cfcd887,"Mul(ZScore(Mean(Mul(Delta(ZScore(Mean(trade_count,4)),24),Abs(ZScore(Delta(trade_high,8)))),3)),Delta(trade_count,16))",trade_count;trade_high,False,18.8282489078472
a7ffcore11e_108bca7372512beafd,taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,7,3,4,0.0469548118451763,0.1729000381468802,0.3884429861016146,0.6810464457850056,-0.0004926519606413,sgx_231613d6aaa4dafc44,"Mul(ZScore(Mean(Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4))),2)),Delta(mark_index_basis_bps,48))",mark_index_basis_bps;taker_buy_quote_volume,False,18.181114790734377
a7ffcore11e_0700ec30c6b8fb8e9c,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,6,3,3,0.0067459749144152,0.1785527746133719,0.2120715965183493,0.6278427756751322,0.0309582199523494,sgx_5e3946d362c967ce83,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_low,24)))),3)),Delta(trade_count,48))",trade_count;trade_low,False,16.64691229923074
a7ffcore11e_a556c4fd6dec7dc783,open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,7,3,3,0.0166668676538901,0.1523608367505159,0.3671743220276484,0.4855866764308109,0.00029943650437,sgx_2cfd1c0f703b83c7ec,"Mul(ZScore(Mean(Sub(CSRank(Mean(open_interest_last,8)),CSRank(Delta(top_long_short_account_ratio_last,24))),2)),Delta(open_interest_last,24))",open_interest_last;top_long_short_account_ratio_last,False,16.31286809095502
a7ffcore11e_c6c5696a8e9141f9bf,taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,5,3,3,0.0304556391896153,0.1942491019188383,0.3893079370711423,0.6239522619946306,-9.249850078532916e-05,sgx_6aeea054808b968ff8,"Mul(ZScore(Mean(Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4))),4)),Delta(mark_index_basis_bps,48))",mark_index_basis_bps;taker_buy_quote_volume,False,16.10636616423448
a7ffcore11e_0d924ccf8c5f90f8cf,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,4,3,3,0.0050725454034973,0.1994990550870831,0.2547724017692405,0.4597431054403174,7.768830918030243e-05,sgx_0d2eff03986c496990,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,4),24),Abs(ZScore(Delta(trade_low,24)))),4)),Delta(trade_count,2))",trade_count;trade_low,False,15.980436298203182
a7ffcore11e_a8bc245f20ba6f090e,taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,5,3,3,0.0550181220929474,0.2063584267951393,0.6227314342579094,0.6273285402614429,-0.0005633448708365,sgx_36a3866dbd8d6aed0b,"Mul(ZScore(Mean(Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4))),2)),Delta(mark_index_basis_bps,32))",mark_index_basis_bps;taker_buy_quote_volume,False,15.881705667386967
