label_id,horizon,candidate_count,clue_rows,median_control_ratio
L1_cross_sectional_relative_return,4,51,51,0.4909868407198404
L1_cross_sectional_relative_return,8,47,47,0.5567633692111014
L3_liquidity_tier_relative_return,4,47,47,0.4623074030413233
L3_liquidity_tier_relative_return,8,47,47,0.5724606971761343
L1_cross_sectional_relative_return,24,31,31,0.6650609483882096
L1_cross_sectional_relative_return,1,29,29,0.6584177582031634
L3_liquidity_tier_relative_return,1,29,29,0.6188794705092173
L5_vol_adjusted_return,24,24,24,0.6834437908728674
L5_vol_adjusted_return,8,23,23,0.6393568943545511
L3_liquidity_tier_relative_return,24,18,18,0.5951537278560063
L5_vol_adjusted_return,4,18,18,0.6514673180078973
L5_vol_adjusted_return,1,12,12,0.6373293055592374
