candidate_id,semantic_bucket,motif_bucket,clue_rows,label_count,horizon_count,best_abs_corr,best_original_score,min_control_ratio,preflight_rank,root_subgraph_id,expression,raw_inputs,candidate_roles,semantic_pairs,motifs,formula_gen_gate,gate_mode,gate_allowed,uses_may,ordinary_alpha_allowed,authorizes_replay,authorizes_search,materialization_status,missing_field_count,label_or_may_token,non_null_ratio,active_ratio,std,clue_rows_from_detail,clue_label_count,clue_horizon_count,min_detail_control_ratio,max_abs_detail_corr,best_detail_score,packet_ready
a7ffcore5_f408fcf92eed3e3cea,liquidity_like|volatility_like,safe_div_abs,9,3,4,0.0115759511629764,0.8250897819144711,0.2894137141031,1,sg_41515d037bde13ea,"SafeDiv(Delta(trade_count,8),Abs(Delta(age_x_volatility,8)))",age_x_volatility;trade_count,role_mixed_allowed,liquidity_like|volatility_like,safe_div_abs,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.952378,0.952111,30120989926.82379,9,3,4,0.2894137141031,0.0115759511629764,0.8250897819144711,True
a7ffcore5_b14219288b18bf0b0c,liquidity_like|volatility_like,safe_div_abs,9,3,3,0.005416929937387,0.3327451129569743,0.3173581136739525,2,sg_1f7e0d4c189420cf,"SafeDiv(trade_count,Abs(ZScore(Mean(realized_vol_168h,24))))",realized_vol_168h;trade_count,role_mixed_allowed,liquidity_like|volatility_like,safe_div_abs,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.951845,0.951288,30859516.309105366,9,3,3,0.3173581136739525,0.005416929937387,0.3327451129569743,True
a7ffcore5_1f8c481e4c787863b8,liquidity_like|volatility_like,safe_div_abs,7,3,4,0.0052063087883757,0.0726521665935074,0.2286179293014896,3,sg_dcf04010188ce795,"SafeDiv(ZScore(Mean(trade_count,4)),Abs(Delta(age_x_volatility,8)))",age_x_volatility;trade_count,role_mixed_allowed,liquidity_like|volatility_like,safe_div_abs,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.952378,0.952378,1736045.0825123189,7,3,4,0.2286179293014896,0.0052063087883757,0.0726521665935074,True
a7ffcore5_fe6ab6fb0843878019,liquidity_like|volatility_like,safe_div_abs,7,3,3,0.0098956922244502,0.1219853567675567,0.117540469208229,4,sg_70e44b136f23867f,"SafeDiv(Mean(trade_count,4),Abs(Delta(age_x_volatility,8)))",age_x_volatility;trade_count,role_mixed_allowed,liquidity_like|volatility_like,safe_div_abs,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.952378,0.952378,62823301318.64502,7,3,3,0.117540469208229,0.0098956922244502,0.1219853567675567,True
a7ffcore5_f414f2621b03d718f6,open_interest_like|price_like,mean_reversion_gate,7,3,3,0.0070141530873141,0.6974343466508008,0.3364010630457452,5,sg_d23690139973776b,"Mul(Neg(ZScore(Delta(open_interest_last,24))),Sign(trade_return_24h))",open_interest_last;trade_return_24h,role_mixed_allowed,open_interest_like|price_like,mean_reversion_gate,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.95403,0.950677,0.9894415546,7,3,3,0.3364010630457452,0.0070141530873141,0.6974343466508008,True
a7ffcore5_291837028072641a1c,liquidity_like|volatility_like,safe_div_abs,7,2,4,0.0094772210020453,0.0094772210020453,0.4524087883611016,6,sg_6e542bfd5d9ed440,"SafeDiv(Delta(trade_count,4),Abs(ZScore(Mean(age_x_volatility,8))))",age_x_volatility;trade_count,role_mixed_allowed,liquidity_like|volatility_like,safe_div_abs,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.952992,0.952163,24169147.314910386,7,2,4,0.4524087883611016,0.0094772210020453,0.0094772210020453,True
a7ffcore5_89d456568ed9db84c6,liquidity_like|volatility_like,liquidity_shock,7,2,4,0.0071439195806037,0.0071439195806037,0.4544969621762753,7,sg_269942e760d798bf,"Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_low,24))))",trade_count;trade_low,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.99656,0.995991,73685.5715550374,7,2,4,0.4544969621762753,0.0071439195806037,0.0071439195806037,True
a7ffcore5_55d479db927df299ef,liquidity_like|volatility_like,liquidity_shock,7,2,4,0.0090934593466963,0.0090934593466963,0.456324731778188,8,sg_15cdf547964d7899,"Mul(Delta(ZScore(Mean(trade_count,24)),24),Abs(ZScore(Delta(trade_low,24))))",trade_count;trade_low,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.99656,0.99656,1.494523885,7,2,4,0.456324731778188,0.0090934593466963,0.0090934593466963,True
a7ffcore5_0df84c13bb1ed0cc5e,liquidity_like|volatility_like,safe_div_abs,6,3,3,0.0060432581202158,0.1887481018121899,0.2506410007523411,9,sg_9ae91aac705d8fbe,"SafeDiv(Mean(trade_count,4),Abs(ZScore(Mean(trade_low,4))))",trade_count;trade_low,role_mixed_allowed,liquidity_like|volatility_like,safe_div_abs,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.999713,0.999103,93786614.80832316,6,3,3,0.2506410007523411,0.0060432581202158,0.1887481018121899,True
a7ffcore5_2785be37d31870a000,open_interest_like|price_like,mean_reversion_gate,6,3,3,0.0091111075420305,0.4219122682496605,0.3331680731469889,10,sg_a6333ee05d3d2b9a,"Mul(Neg(ZScore(Delta(open_interest_last,8))),Sign(Delta(trade_close,24)))",open_interest_last;trade_close,role_mixed_allowed,open_interest_like|price_like,mean_reversion_gate,diagnostic_or_repair_root_only,diagnostic_repair,True,False,False,False,False,ok,0,False,0.99711,0.993549,0.9895647193,6,3,3,0.3331680731469889,0.0091111075420305,0.4219122682496605,True
