field,rows,mechanism_keep_probe,control_polluted_near_miss,control_dom_rate,lag_stale_dom_rate,oos_floor_clean_rate,stress_floor_clean_rate,median_recent_sortino,median_min_oos_floor_sortino
mark_index_basis_bps,120,0,4,0.7,0.65,0.06666666666666667,0.19166666666666668,-0.314773323694192,-8.198477059512634
account_position_divergence,144,0,3,0.9027777777777778,0.8472222222222222,0.20833333333333334,0.14583333333333334,2.4627699145824034,-7.022756053228941
top_long_short_account_ratio_last,72,0,3,0.9861111111111112,0.9722222222222222,0.041666666666666664,0.4027777777777778,-1.8476040704614642,-4.45166907028541
global_long_short_account_ratio_last,24,0,3,0.9583333333333334,0.9583333333333334,0.16666666666666666,0.5,0.7819077347169275,-6.958861811469816
open_interest_value_mean,108,0,2,0.9537037037037037,0.9259259259259259,0.05555555555555555,0.28703703703703703,-2.1346426591321146,-7.415784997405188
taker_buy_sell_volume_ratio_last,60,0,2,0.9833333333333333,0.9666666666666667,0.05,0.5,1.223187179524494,-5.00715531613497
mark_trade_basis_bps,168,0,1,0.8333333333333334,0.7857142857142857,0.03571428571428571,0.44047619047619047,-0.005531471016692449,-5.310383807725042
kline_taker_buy_quote_share,64,0,1,0.890625,0.8125,0.015625,0.25,-2.875249126361869,-8.823354163814766
premium_close_bps,300,0,0,0.88,0.8466666666666667,0.013333333333333334,0.14333333333333334,-1.682562647084365,-8.983954564686954
funding_rate_update_age_hours,224,0,0,0.8883928571428571,0.8571428571428571,0.0,0.45089285714285715,-0.9318855578015062,-6.296181355332935
top_global_account_divergence,168,0,0,0.9523809523809523,0.9285714285714286,0.03571428571428571,0.23809523809523808,0.24417394338650314,-7.838949056958314
trade_quote_volume,156,0,0,0.9358974358974359,0.9102564102564102,0.05128205128205128,0.16666666666666666,0.2425634052279955,-6.8381328176960245
open_interest_mean,140,0,0,0.8785714285714286,0.85,0.02142857142857143,0.07142857142857142,-0.5420103924119608,-9.38836775100139
premium_abs_state,120,0,0,0.9416666666666667,0.9333333333333333,0.0,0.49166666666666664,-0.8253056887676031,-7.039043296081766
funding_rate_state_last_ffill_8h,84,0,0,0.9166666666666666,0.8571428571428571,0.05952380952380952,0.4523809523809524,2.427068773438327,-7.570607163127471
quote_volume_z_168h,84,0,0,0.9642857142857143,0.9642857142857143,0.0,0.2976190476190476,-2.2213063503449137,-6.609393050166987
taker_buy_sell_volume_ratio_mean,76,0,0,0.9605263157894737,0.9078947368421053,0.06578947368421052,0.42105263157894735,0.6213441392201128,-4.446383277464967
stress_proxy_state,44,0,0,0.9090909090909091,0.9090909090909091,0.0,0.4090909090909091,-1.9502402858610814,-7.129375025259469
basis_dislocation_state,40,0,0,0.8,0.8,0.0,0.025,-2.8707327369022613,-7.4442649017172045
top_long_short_position_ratio_last,32,0,0,0.96875,0.96875,0.15625,0.1875,-3.3390483723064537,-4.125954270105454
open_interest_value_last,16,0,0,1.0,1.0,0.0,0.75,0.7579654947103688,-5.509435756769797
open_interest_last,8,0,0,1.0,1.0,0.0,0.5,2.2174691276952263,-2.9213209291564706
