primary_field,secondary_field,queue_count,queue_share
open_interest_last,global_long_short_account_ratio_mean,176,0.07333333333333333
trade_count,age_x_volatility,173,0.07208333333333333
taker_buy_quote_volume,open_interest_mean,170,0.07083333333333333
taker_buy_quote_volume,open_interest_value_last,168,0.07
trade_count,trade_high,165,0.06875
taker_buy_quote_volume,open_interest_last,165,0.06875
open_interest_last,global_long_short_account_ratio_last,165,0.06875
open_interest_last,top_long_short_account_ratio_last,161,0.06708333333333333
trade_count,trade_low,158,0.06583333333333333
trade_count,realized_vol_168h,104,0.043333333333333335
open_interest_last,top_long_short_account_ratio_mean,98,0.04083333333333333
open_interest_last,trade_return_24h,97,0.04041666666666666
taker_buy_quote_volume,open_interest_value_mean,97,0.04041666666666666
open_interest_mean,trade_close,95,0.03958333333333333
open_interest_last,trade_return_1h,93,0.03875
open_interest_last,trade_close,89,0.037083333333333336
open_interest_mean,trade_return_1h,66,0.0275
age_x_liquidity,,12,0.005
median_quote_volume_168h,,12,0.005
log_quote_volume_168h,,12,0.005
liquidity_rank_active_universe,,12,0.005
trade_volume,,12,0.005
trade_quote_volume,,12,0.005
trade_count_168h,,12,0.005
volume_volatility_ratio_168h,,12,0.005
trade_count,,12,0.005
open_interest_value_last,,6,0.0025
open_interest_mean,,6,0.0025
open_interest_last,,6,0.0025
open_interest_change_24h,,5,0.0020833333333333333
open_interest_value_mean,,5,0.0020833333333333333
realized_vol_24h,,4,0.0016666666666666668
realized_vol_168h,,4,0.0016666666666666668
taker_buy_volume,,4,0.0016666666666666668
taker_buy_sell_volume_ratio_mean,,4,0.0016666666666666668
taker_buy_sell_volume_ratio_last,,4,0.0016666666666666668
taker_buy_quote_volume,,4,0.0016666666666666668
