production_type,production_value,initial_weight,non_may_score,may_used,eligible_for_elite
operator_signature,Mul;Rank,0.93012,0.18012,False,True
operator_signature,Mul;Rank;ZScore,0.963153,0.213153,False,True
operator_signature,Mul;ZScore,0.888461,0.138461,False,True
operator_signature,Rank,0.912903,0.162903,False,True
operator_signature,ZScore,0.887097,0.137097,False,True
operator_signature,missing,0.887097,0.137097,False,True
field_family_signature,basis,0.941667,0.191667,False,True
field_family_signature,basis;liquidity,0.825,0.075,False,True
field_family_signature,basis;liquidity;price,0.848611,0.098611,False,True
field_family_signature,basis;liquidity;volatility,0.965731,0.215731,False,True
field_family_signature,basis;price,0.900541,0.150541,False,True
field_family_signature,basis;price;volatility,0.815555,0.065556,False,True
field_family_signature,basis;volatility,0.931481,0.181481,False,True
field_family_signature,flow,0.85,0.1,False,True
field_family_signature,flow;liquidity,0.85,0.1,False,True
field_family_signature,flow;price,0.88,0.13,False,True
field_family_signature,liquidity,1.060417,0.310417,False,True
field_family_signature,liquidity;price,0.885802,0.135802,False,True
field_family_signature,liquidity;price;volatility,1.074,0.324,False,True
field_family_signature,liquidity;volatility,1.255469,0.505469,False,True
field_family_signature,price,0.854854,0.104854,False,True
field_family_signature,price;volatility,0.909836,0.159836,False,True
field_family_signature,volatility,0.913889,0.163889,False,True
horizon,12,0.930356,0.180356,False,True
horizon,24,1.0124,0.2624,False,True
horizon,6,0.899866,0.149866,False,True
formula_depth,0,0.887097,0.137097,False,True
formula_depth,1,0.9,0.15,False,True
formula_depth,2,0.934956,0.184956,False,True
formula_depth,3,0.945455,0.195455,False,True
family,basis_premium,0.9128,0.1628,False,True
family,basis_premium_clean,0.8612,0.1112,False,True
family,flow_liquidity,0.9328,0.1828,False,True
family,flow_liquidity_clean,1.0044,0.2544,False,True
family,microstructure_lite,0.8994,0.1494,False,True
family,microstructure_lite_latency_robust,1.0492,0.2992,False,True
