production_type,production_value,observed_count,raw_survive_rate,residual_survive_rate,cost20_survive_rate,lag1_survive_rate,near_miss_rate,research_candidate_rate,may_used
operator_signature,Mul;Rank,498,0.082329,0.574297,0.088353,0.14257,0.036145,0.0,False
operator_signature,Mul;Rank;ZScore,1072,0.172575,0.581157,0.103545,0.188433,0.070896,0.000933,False
operator_signature,Mul;ZScore,494,0.072874,0.350202,0.08502,0.1417,0.052632,0.0,False
operator_signature,Rank,62,0.064516,0.548387,0.064516,0.096774,0.048387,0.0,False
operator_signature,ZScore,62,0.032258,0.516129,0.064516,0.064516,0.016129,0.0,False
operator_signature,missing,62,0.032258,0.516129,0.064516,0.064516,0.016129,0.0,False
field_family_signature,basis,96,0.0,0.083333,0.4375,0.4375,0.0,0.0,False
field_family_signature,basis;liquidity,60,0.1,0.2,0.016667,0.083333,0.016667,0.0,False
field_family_signature,basis;liquidity;price,72,0.097222,0.375,0.0,0.069444,0.0,0.0,False
field_family_signature,basis;liquidity;volatility,89,0.280899,0.516854,0.078652,0.292135,0.033708,0.0,False
field_family_signature,basis;price,277,0.01083,0.375451,0.180505,0.191336,0.0,0.0,False
field_family_signature,basis;price;volatility,90,0.011111,0.322222,0.0,0.0,0.0,0.0,False
field_family_signature,basis;volatility,108,0.083333,0.537037,0.12037,0.194444,0.009259,0.0,False
field_family_signature,flow,24,0.0,0.5,0.0,0.0,0.0,0.0,False
field_family_signature,flow;liquidity,132,0.0,0.5,0.0,0.0,0.0,0.0,False
field_family_signature,flow;price,40,0.0,0.65,0.0,0.0,0.0,0.0,False
field_family_signature,liquidity,192,0.322917,0.53125,0.125,0.3125,0.28125,0.0,False
field_family_signature,liquidity;price,162,0.12963,0.450617,0.006173,0.111111,0.030864,0.0,False
field_family_signature,liquidity;price;volatility,100,0.33,0.66,0.23,0.31,0.17,0.0,False
field_family_signature,liquidity;volatility,128,0.601562,0.804688,0.34375,0.609375,0.3125,0.007812,False
field_family_signature,price,206,0.0,0.524272,0.0,0.0,0.0,0.0,False
field_family_signature,price;volatility,366,0.065574,0.699454,0.010929,0.043716,0.008197,0.0,False
field_family_signature,volatility,108,0.018519,0.777778,0.0,0.018519,0.009259,0.0,False
horizon,12,1125,0.12,0.529778,0.077333,0.152,0.055111,0.000889,False
horizon,24,375,0.317333,0.453333,0.170667,0.317333,0.141333,0.0,False
horizon,6,750,0.021333,0.552,0.077333,0.089333,0.013333,0.0,False
formula_depth,0,62,0.032258,0.516129,0.064516,0.064516,0.016129,0.0,False
formula_depth,1,124,0.048387,0.532258,0.064516,0.080645,0.032258,0.0,False
formula_depth,2,1602,0.104245,0.536205,0.096754,0.157303,0.054931,0.000624,False
formula_depth,3,462,0.205628,0.482684,0.090909,0.19697,0.069264,0.0,False
family,basis_premium,500,0.004,0.392,0.208,0.212,0.0,0.0,False
family,basis_premium_clean,250,0.1,0.388,0.012,0.088,0.012,0.0,False
family,flow_liquidity,500,0.136,0.496,0.048,0.128,0.116,0.0,False
family,flow_liquidity_clean,250,0.288,0.548,0.132,0.28,0.112,0.0,False
family,microstructure_lite,500,0.04,0.676,0.01,0.032,0.006,0.002,False
family,microstructure_lite_latency_robust,250,0.332,0.656,0.16,0.316,0.132,0.0,False
