recent_decile,count,raw_recent_mean,post_may_positive_count,post_may_positive_rate,pre_may_core_gate_count,control_contaminated_count
1,9,-2.2172680286209316,0,0.0,0,0
2,9,-6.007630059206209,0,0.0,0,0
3,9,-7.680953822462255,2,0.2222222222222222,0,0
4,9,-8.279054123455886,7,0.7777777777777778,0,0
5,10,-8.457783092524616,9,0.9,0,0
6,9,-9.040215725075253,0,0.0,0,0
7,9,-9.675888134743563,0,0.0,0,1
8,9,-10.486924784907636,0,0.0,0,0
9,9,-11.700861017336198,2,0.2222222222222222,0,0
10,10,-12.42816650006017,0,0.0,0,2
