selector_stage,semantic_pair,motif,label_family,rows
rank_label_diagnostic_clue,basis_premium_like|price_like,spread_rank,L7_ranked_future_return,65
rank_label_diagnostic_clue,basis_premium_like|volatility_like,spread_rank,L7_ranked_future_return,50
rank_label_diagnostic_clue,basis_premium_like|price_like,mul,L7_ranked_future_return,43
rank_label_diagnostic_clue,basis_premium_like|price_like,gated_sign,L7_ranked_future_return,33
rank_label_diagnostic_clue,basis_premium_like|price_like,smooth_mul,L7_ranked_future_return,27
rank_label_diagnostic_clue,basis_premium_like|basis_premium_like,smooth_mul,L7_ranked_future_return,20
rank_label_diagnostic_clue,price_like|volatility_like,smooth_mul,L7_ranked_future_return,17
rank_label_diagnostic_clue,basis_premium_like|basis_premium_like,spread_rank,L7_ranked_future_return,14
rank_label_diagnostic_clue,price_like,single,L7_ranked_future_return,9
rank_label_diagnostic_clue,price_like|volatility_like,gated_sign,L7_ranked_future_return,8
rank_label_diagnostic_clue,basis_premium_like|basis_premium_like,mul,L7_ranked_future_return,6
selected_portfolio_queue,basis_premium_like|volatility_like,spread_rank,L7_ranked_future_return,6
rank_label_diagnostic_clue,volatility_like|volatility_like,smooth_mul,L7_ranked_future_return,6
rank_label_diagnostic_clue,volatility_like,single,L7_ranked_future_return,6
rank_label_diagnostic_clue,basis_premium_like|volatility_like,smooth_mul,L7_ranked_future_return,6
rank_label_diagnostic_clue,basis_premium_like|volatility_like,gated_sign,L7_ranked_future_return,6
rank_label_diagnostic_clue,basis_premium_like|basis_premium_like,sub,L7_ranked_future_return,5
rank_label_diagnostic_clue,basis_premium_like|price_like,safe_div_abs,L7_ranked_future_return,4
selected_portfolio_queue,basis_premium_like|price_like,mul,L7_ranked_future_return,4
rank_label_diagnostic_clue,volatility_like|volatility_like,mul,L7_ranked_future_return,4
selected_portfolio_queue,basis_premium_like|price_like,spread_rank,L7_ranked_future_return,4
rank_label_diagnostic_clue,basis_premium_like|volatility_like,mul,L7_ranked_future_return,3
selected_portfolio_queue,basis_premium_like|basis_premium_like,smooth_mul,L7_ranked_future_return,3
selected_portfolio_queue,basis_premium_like|price_like,smooth_mul,L7_ranked_future_return,3
rank_label_diagnostic_clue,price_like|volatility_like,mul,L7_ranked_future_return,3
selected_portfolio_queue,price_like,single,L7_ranked_future_return,3
rank_label_diagnostic_clue,basis_premium_like|basis_premium_like,safe_div_abs,L7_ranked_future_return,2
selected_portfolio_queue,basis_premium_like|basis_premium_like,mul,L7_ranked_future_return,2
selected_portfolio_queue,basis_premium_like|volatility_like,smooth_mul,L7_ranked_future_return,2
selected_portfolio_queue,volatility_like,single,L7_ranked_future_return,2
selected_portfolio_queue,volatility_like|volatility_like,smooth_mul,L7_ranked_future_return,2
rank_label_diagnostic_clue,basis_premium_like|basis_premium_like,gated_sign,L7_ranked_future_return,2
non_l7_numeric_clue,basis_premium_like|price_like,safe_div_abs,L5_vol_adjusted_return,2
selected_portfolio_queue,basis_premium_like|basis_premium_like,spread_rank,L7_ranked_future_return,2
non_l7_numeric_clue,basis_premium_like|price_like,mul,L1_cross_sectional_relative_return,1
non_l7_numeric_clue,basis_premium_like|price_like,sub,L3_liquidity_tier_relative_return,1
rank_label_diagnostic_clue,basis_premium_like,single,L7_ranked_future_return,1
non_l7_numeric_clue,basis_premium_like|volatility_like,mul,L0_raw_forward_return,1
non_l7_numeric_clue,basis_premium_like|price_like,safe_div_abs,L0_raw_forward_return,1
selected_portfolio_queue,basis_premium_like|price_like,gated_sign,L7_ranked_future_return,1
selected_portfolio_queue,basis_premium_like|basis_premium_like,sub,L7_ranked_future_return,1
selected_portfolio_queue,basis_premium_like,single,L7_ranked_future_return,1
rank_label_diagnostic_clue,volatility_like|volatility_like,gated_sign,L7_ranked_future_return,1
selected_portfolio_queue,basis_premium_like|volatility_like,gated_sign,L7_ranked_future_return,1
selected_portfolio_queue,basis_premium_like|volatility_like,mul,L7_ranked_future_return,1
selected_portfolio_queue,basis_premium_like|price_like,safe_div_abs,L5_vol_adjusted_return,1
selected_portfolio_queue,price_like|volatility_like,gated_sign,L7_ranked_future_return,1
selected_portfolio_queue,price_like|volatility_like,smooth_mul,L7_ranked_future_return,1
selected_portfolio_queue,price_like|volatility_like,mul,L7_ranked_future_return,1
selected_portfolio_queue,volatility_like|volatility_like,gated_sign,L7_ranked_future_return,1
selected_portfolio_queue,volatility_like|volatility_like,mul,L7_ranked_future_return,1
