semantic_pair,motif,materialization_status,rows
basis_premium_like|funding_like,relative_shock,inactive_or_sparse,216
basis_premium_like|funding_like,mean_reversion_gate,inactive_or_sparse,144
basis_premium_like|price_like,smooth_mul,activity_ok,71
basis_premium_like|volatility_like,spread_rank,activity_ok,58
basis_premium_like|price_like,spread_rank,activity_ok,51
basis_premium_like|basis_premium_like,smooth_mul,activity_ok,51
basis_premium_like,single,activity_ok,36
basis_premium_like|volatility_like,gated_sign,activity_ok,36
basis_premium_like|volatility_like,mul,activity_ok,35
basis_premium_like|price_like,gated_sign,activity_ok,33
basis_premium_like|price_like,mul,activity_ok,29
basis_premium_like|basis_premium_like,spread_rank,activity_ok,29
basis_premium_like|price_like,sub,activity_ok,25
basis_premium_like|price_like,smooth_mul,inactive_or_sparse,24
basis_premium_like|volatility_like,smooth_mul,activity_ok,22
basis_premium_like|price_like,safe_div_abs,activity_ok,21
price_like|volatility_like,spread_rank,activity_ok,19
basis_premium_like|basis_premium_like,mul,activity_ok,17
basis_premium_like|basis_premium_like,spread_rank,inactive_or_sparse,16
basis_premium_like|volatility_like,spread_rank,inactive_or_sparse,16
basis_premium_like|basis_premium_like,gated_sign,activity_ok,15
basis_premium_like|basis_premium_like,smooth_mul,inactive_or_sparse,15
price_like|volatility_like,smooth_mul,activity_ok,14
volatility_like,single,activity_ok,14
basis_premium_like|basis_premium_like,sub,inactive_or_sparse,13
basis_premium_like|volatility_like,sub,activity_ok,13
funding_like|positioning_like,gated_sign,inactive_or_sparse,13
basis_premium_like|basis_premium_like,mul,inactive_or_sparse,12
basis_premium_like|price_like,spread_rank,inactive_or_sparse,11
basis_premium_like|volatility_like,mul,inactive_or_sparse,11
basis_premium_like|basis_premium_like,sub,activity_ok,10
basis_premium_like|basis_premium_like,safe_div_abs,activity_ok,10
volatility_like|volatility_like,smooth_mul,activity_ok,9
volatility_like|volatility_like,spread_rank,activity_ok,9
basis_premium_like|volatility_like,gated_sign,inactive_or_sparse,8
basis_premium_like|volatility_like,smooth_mul,inactive_or_sparse,7
basis_premium_like|basis_premium_like,gated_sign,inactive_or_sparse,7
price_like|volatility_like,spread_rank,inactive_or_sparse,5
basis_premium_like|price_like,safe_div_abs,inactive_or_sparse,5
basis_premium_like|basis_premium_like,safe_div_abs,inactive_or_sparse,5
basis_premium_like|price_like,mul,inactive_or_sparse,5
basis_premium_like|price_like,gated_sign,inactive_or_sparse,5
price_like|volatility_like,mul,activity_ok,5
price_like|volatility_like,gated_sign,activity_ok,4
basis_premium_like|volatility_like,safe_div_abs,activity_ok,3
price_like,single,activity_ok,3
basis_premium_like,single,inactive_or_sparse,2
basis_premium_like|volatility_like,sub,inactive_or_sparse,2
basis_premium_like|volatility_like,safe_div_abs,inactive_or_sparse,2
basis_premium_like|price_like,sub,inactive_or_sparse,2
price_like|volatility_like,mul,inactive_or_sparse,2
volatility_like|volatility_like,smooth_mul,inactive_or_sparse,2
volatility_like|volatility_like,spread_rank,inactive_or_sparse,2
price_like|volatility_like,sub,activity_ok,1
price_like|volatility_like,smooth_mul,inactive_or_sparse,1
volatility_like|volatility_like,safe_div_abs,activity_ok,1
volatility_like|volatility_like,mul,activity_ok,1
volatility_like|volatility_like,gated_sign,activity_ok,1
volatility_like|volatility_like,sub,activity_ok,1
