motif,queue_rows,materialized_rows,activity_ok_rows,label_response_rows,rank_label_clue_rows,selected_rows,non_l7_rows,activity_ok_rate_vs_queue,selected_rate_vs_rank_clue,non_l7_rate_vs_selected
smooth_mul,216,216,167,3340,76,11,0,0.7731481481481481,0.14473684210526316,0.0
spread_rank,216,216,166,3320,129,12,0,0.7685185185185185,0.09302325581395349,0.0
relative_shock,216,216,0,0,0,0,0,0.0,,
mean_reversion_gate,144,144,0,0,0,0,0,0.0,,
gated_sign,122,122,89,1780,50,4,0,0.7295081967213115,0.08,0.0
mul,117,117,87,1740,59,9,2,0.7435897435897436,0.15254237288135594,0.2222222222222222
sub,67,67,50,1000,5,1,1,0.746268656716418,0.2,1.0
single,55,55,53,1060,16,6,0,0.9636363636363636,0.375,0.0
safe_div_abs,47,47,35,700,6,1,3,0.7446808510638298,0.16666666666666666,3.0
