replay_candidate_id,family_id,dataset,motif,operator,label_family,horizon_h,split,spread,net_spread,control_ratio,turnover,tstat,n,timestamp_count,positive_net,control_clean
a7ffcore33_007,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,TSRank,L0,4,train_2024,2.2621441456567745e-05,-0.0001860309759625659,3.5612425894106594,0.41730483483826725,0.9265321931670512,105000,8750,False,False
a7ffcore33_007,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,TSRank,L0,4,validation_2025H1,-3.8464224967374634e-05,-0.000248975392363184,0.5891390957952439,0.4210223347916187,-1.2691179445471732,52128,4344,False,True
a7ffcore33_007,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,TSRank,L0,4,test_2025H2,-1.4840944933960812e-05,-0.0002204845840430586,3.3386675372660664,0.4112872782181956,-0.542072960420312,51948,4416,False,False
a7ffcore33_007,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,TSRank,L0,4,recent_2026JanApr,-1.904703334447924e-05,-0.00024383754717847126,3.4039129726928654,0.4495810276679841,-0.668186782605151,31636,2876,False,False
a7ffcore33_007,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,TSRank,L1,4,train_2024,-2.7867187736092028e-06,-0.00021143913619274283,28.899615970686238,0.41730483483826725,-0.1322289943720492,105000,8750,False,False
a7ffcore33_007,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,TSRank,L1,4,validation_2025H1,-1.382412107151324e-05,-0.0002243352884673226,1.6391442606266677,0.4210223347916187,-0.5767546245663885,52128,4344,False,False
a7ffcore33_007,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,TSRank,L1,4,test_2025H2,9.30790828274624e-06,-0.00019633573082635154,5.323107526233676,0.4112872782181956,0.46068098906526067,51948,4416,False,False
a7ffcore33_007,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,TSRank,L1,4,recent_2026JanApr,8.713745201257057e-06,-0.00021607676863273498,7.440016467286573,0.4495810276679841,0.42375172192586535,31636,2876,False,False
a7ffcore33_007,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,TSRank,L5,4,train_2024,0.0026353741983737556,0.002426721780954622,0.030570220908693768,0.41730483483826725,0.8690873879214589,105000,8750,True,True
a7ffcore33_007,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,TSRank,L5,4,validation_2025H1,-0.0052831085279892226,-0.005493619695385032,0.004289399592566229,0.4210223347916187,-1.3430833637800321,52128,4344,False,True
