dataset,rows,symbols,timestamp_min,timestamp_max
core12_aggtrades_all_features,796123,39,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
top498_replay_v2,6650298,498,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
