"group_key","count"
"adjacent_signed_rank","55"
"adjacent_mul","25"
"adjacent_spread_rank","25"
"adjacent_safe_div_abs","20"
"adjacent_safe_div_csrank","19"
"safe_div_abs","17"
"regime_rank_mul","8"
"regime_scaled","6"
"regime_signed","5"
"safe_div_csrank","3"
"safe_div_abs_csrank","2"
"scaled_spread_abs","1"
"z_safe_div_abs_csrank","1"
