company_shard,row_count,raw_funding_rate_rows,dense_funding_rows,semantic_pairs,motifs
shard_00,200,0,0,2,5
shard_01,200,0,0,1,3
shard_02,200,0,0,2,4
shard_03,200,0,0,1,3
shard_04,200,0,0,2,4
shard_05,200,0,0,1,4
shard_06,200,0,0,2,6
shard_07,200,13,0,6,7
shard_08,200,0,200,1,2
shard_09,200,0,200,1,2
shard_10,200,0,200,1,2
shard_11,200,0,200,2,4
