field,dtype,non_null_rate_all,non_null_rate_common_window,core12_non_null_rate,primary_addition_non_null_rate
agg_avg_agg_trade_notional,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_avg_trade_notional_24h,float64,0.06365935405240707,0.0625,0.2495699746762865,0.0
agg_avg_trade_notional_4h,float64,0.06368982327848872,0.0625,0.2496894261550958,0.0
agg_avg_underlying_trade_notional,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_avg_underlying_trades_per_agg,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_btcusdt_flow_imbalance_4h,float64,0.06368982327848872,0.0625,0.2496894261550958,0.0
agg_buy_agg_trade_count,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_buy_notional,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_buy_notional_share,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_buy_quantity,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_buy_sell_notional_ratio,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_buy_sell_vwap_spread_bps,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_buy_underlying_trade_count,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_buy_vwap,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_close_price,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_close_to_open_bps,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_close_to_open_bps_sum_24h,float64,0.06365935405240707,0.0625,0.2495699746762865,0.0
agg_close_to_open_bps_sum_4h,float64,0.06368982327848872,0.0625,0.2496894261550958,0.0
agg_cross_symbol_large_notional_share,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_cross_symbol_notional_share,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_cross_symbol_signed_flow_share,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_ethusdt_flow_imbalance_4h,float64,0.06368982327848872,0.0625,0.2496894261550958,0.0
agg_first_agg_trade_id,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_first_transact_time_ms,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_flow_accel_4h_vs_24h,float64,0.06365935405240707,0.0625,0.2495699746762865,0.0
agg_flow_imbalance_notional,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_flow_imbalance_notional_24h,float64,0.06365935405240707,0.0625,0.2495699746762865,0.0
agg_flow_imbalance_notional_4h,float64,0.06368982327848872,0.0625,0.2496894261550958,0.0
agg_flow_imbalance_qty,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_flow_minus_btcusdt_4h,float64,0.06368982327848872,0.0625,0.2496894261550958,0.0
agg_flow_minus_ethusdt_4h,float64,0.06368982327848872,0.0625,0.2496894261550958,0.0
agg_high_price,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_large_count_share_100k_plus,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_large_notional_100k_plus,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_large_notional_ratio_100k_plus,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_large_notional_share_100k_plus,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_large_notional_share_24h,float64,0.06365935405240707,0.0625,0.2495699746762865,0.0
agg_large_notional_share_4h,float64,0.06368982327848872,0.0625,0.2496894261550958,0.0
agg_large_notional_sum_24h,float64,0.06365935405240707,0.0625,0.2495699746762865,0.0
agg_large_notional_sum_4h,float64,0.06368982327848872,0.0625,0.2496894261550958,0.0
agg_large_trade_count_100k_plus,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_large_trade_count_ratio_100k_plus,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_last_agg_trade_id,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_last_transact_time_ms,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_low_price,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_max_trade_notional,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_notional,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_notional_100_1k,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_notional_100k_1m,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_notional_10k_100k,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_notional_1k_10k,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
agg_notional_accel_4h_vs_24h,float64,0.06365935405240707,0.0625,0.2495699746762865,0.0
agg_notional_gt_1m,float64,0.06369287020109689,0.0625,0.24970137130297673,0.0
