label_horizon_h,objective_family,candidate_count,pre_may_positive_count,lag_ok_count,may_stress_clean_count,median_control_ratio
1,Z0_funding_basis_premium_dislocation,16,2,6,4,3.303936620901242
1,Z1_price_range_volatility_structure,16,5,7,8,7.6291128232643395
1,Z2_liquidity_taker_microstructure_lite,16,6,4,7,12.424438674055748
1,Z3_basis_price_trend_reversal,16,10,4,10,2.90530888543638
1,Z4_upper_regime_relative_value,16,6,7,0,4.765340923917155
1,Z5_latent_listing_meme_neutral_structure,16,7,8,12,12.394229236881506
1,Z6_cross_sectional_relative_flow_value,16,0,6,7,6.839784470368238
1,Z7_market_regime_price_breadth,16,7,11,0,2.886170282017427
4,Z0_funding_basis_premium_dislocation,16,2,5,5,3.9662579240313343
4,Z1_price_range_volatility_structure,16,2,4,6,6.5407688831364394
4,Z2_liquidity_taker_microstructure_lite,16,2,2,8,7.087479175395566
4,Z3_basis_price_trend_reversal,16,4,4,8,9.562343528093207
4,Z4_upper_regime_relative_value,16,1,2,0,4.460440281056937
4,Z5_latent_listing_meme_neutral_structure,16,2,3,12,10.284941276975111
4,Z6_cross_sectional_relative_flow_value,16,0,7,9,3.616523318403334
4,Z7_market_regime_price_breadth,16,5,7,0,7.7391913544266915
8,Z0_funding_basis_premium_dislocation,16,1,8,4,5.80098668467885
8,Z1_price_range_volatility_structure,16,1,5,7,9.662090699570689
8,Z2_liquidity_taker_microstructure_lite,16,1,3,9,5.157830516092232
8,Z3_basis_price_trend_reversal,16,3,5,4,15.552088137170792
8,Z4_upper_regime_relative_value,16,1,3,0,3.654738863071216
8,Z5_latent_listing_meme_neutral_structure,16,2,4,10,12.36488070627272
8,Z6_cross_sectional_relative_flow_value,16,0,6,11,6.750082084769765
8,Z7_market_regime_price_breadth,16,3,6,0,9.61632124064313
24,Z0_funding_basis_premium_dislocation,16,1,5,4,4.453893660714096
24,Z1_price_range_volatility_structure,16,2,8,8,5.3859640645029
24,Z2_liquidity_taker_microstructure_lite,16,2,8,7,21.32991128850386
24,Z3_basis_price_trend_reversal,16,0,6,5,29.679565850635854
24,Z4_upper_regime_relative_value,16,0,3,0,2.912044247286116
24,Z5_latent_listing_meme_neutral_structure,16,4,7,11,28.47924352609822
24,Z6_cross_sectional_relative_flow_value,16,0,9,9,5.327049434165519
24,Z7_market_regime_price_breadth,16,3,8,0,16.611552650061203
